label,area,bbox-0,bbox-1,bbox-2,bbox-3,major_axis_length,minor_axis_length,eccentricity,perimeter,solidity,area_um2,area_nm2,equiv_diameter_nm,major_axis_length_nm,minor_axis_length_nm,bbox_height_px,bbox_width_px,bbox_height_nm,bbox_width_nm,bbox_major_nm,bbox_minor_nm,aspect_ratio,fraction_of_total_grain_area,sample_id,field_of_view_area_um2,masked_area_um2,masked_area_fraction,grain_area_fraction_of_total_grain_area,grain_area_fraction_of_fov,area_rank
2,63.0,1,14,11,26,13.425720930336054,7.1997700801105955,0.8440484494860792,34.55634918610404,0.7875,0.00046214492255859375,462.14492255859375,24.257394559188977,36.36272603225706,19.50012727634954,10,12,27.084375,32.50125,32.50125,27.084375,1.2,0.0006603219855777294,230728F-JC-41_230818,1.9229923584,0.6946038186055664,0.3612098693847656,0.0006653359946773121,0.000240325927734375,251
3,27.0,1,110,7,116,6.107372948800249,5.575802222479567,0.40804356301730593,16.485281374238568,0.9642857142857143,0.00019806210966796873,198.06210966796874,15.880192389984776,16.541437921016175,15.101711831947002,6,6,16.250625,16.250625,16.250625,16.250625,1.0,0.0002829951366761697,230728F-JC-41_230818,1.9229923584,0.6946038186055664,0.3612098693847656,0.000285143997718848,0.000102996826171875,1438
4,14.0,1,156,5,160,4.20883424647321,4.120630029101703,0.2036532699906393,10.82842712474619,1.0,0.0001026988716796875,102.6988716796875,11.435045457813459,11.399364504432286,11.160468894445144,4,4,10.83375,10.83375,10.83375,10.83375,1.0,0.0001467382190172732,230728F-JC-41_230818,1.9229923584,0.6946038186055664,0.3612098693847656,0.00014785244326162488,5.340576171875e-05,2381
5,7.0,1,187,4,190,3.0237157840738176,2.7994168488950604,0.3779644730092273,6.82842712474619,1.0,5.134943583984375e-05,51.34943583984375,8.085798186396326,8.18954521892743,7.582045571679215,3,3,8.1253125,8.1253125,8.1253125,8.1253125,1.0,7.33691095086366e-05,230728F-JC-41_230818,1.9229923584,0.6946038186055664,0.3612098693847656,7.392622163081244e-05,2.6702880859375e-05,2748
6,26.0,1,355,7,361,5.991561365257521,5.583736695374926,0.3626292454934795,17.071067811865476,0.896551724137931,0.0001907264759765625,190.7264759765625,15.583340188847204,16.22776948521467,15.123201855879525,6,6,16.250625,16.250625,16.250625,16.250625,1.0,0.00027251383531779307,230728F-JC-41_230818,1.9229923584,0.6946038186055664,0.3612098693847656,0.00027458310891444627,9.918212890625e-05,1516
7,24.0,1,489,7,494,6.081140986576509,4.932066489508719,0.5849866175853743,15.071067811865476,1.0,0.00017605520859375,176.05520859375,14.971988967340323,16.470390290830814,13.35819383267877,6,5,16.250625,13.5421875,16.250625,13.5421875,1.2,0.00025155123260103975,230728F-JC-41_230818,1.9229923584,0.6946038186055664,0.3612098693847656,0.00025346133130564266,9.1552734375e-05,1661
8,21.0,2,7,8,12,5.6751396205609685,4.774417017902317,0.5405898809480022,15.071067811865476,0.875,0.00015404830751953124,154.04830751953125,14.00501327858672,15.370760966063099,12.931210091924806,6,5,16.250625,13.5421875,16.250625,13.5421875,1.2,0.00022010732852590978,230728F-JC-41_230818,1.9229923584,0.6946038186055664,0.3612098693847656,0.00022177866489243733,8.0108642578125e-05,1895
10,24.0,2,70,8,76,5.858287368224157,5.2559407869333645,0.44166420947138857,15.899494936611665,0.9230769230769231,0.00017605520859375,176.05520859375,14.971988967340323,15.866805193874615,14.235387125109835,6,6,16.250625,16.250625,16.250625,16.250625,1.0,0.00025155123260103975,230728F-JC-41_230818,1.9229923584,0.6946038186055664,0.3612098693847656,0.00025346133130564266,9.1552734375e-05,1662
11,19.0,2,129,7,134,5.447543815574656,4.478035086212478,0.5694466637667496,13.65685424949238,0.95,0.00013937704013671875,139.37704013671876,13.321424816070175,14.754331952995484,12.12847815381361,5,5,13.5421875,13.5421875,13.5421875,13.5421875,1.0,0.00019914472580915649,230728F-JC-41_230818,1.9229923584,0.6946038186055664,0.3612098693847656,0.00020065688728363378,7.2479248046875e-05,2054
12,33.0,2,218,9,225,6.941022853911666,6.143551921157578,0.46538648119004355,19.899494936611667,0.8918918918918919,0.00024207591181640625,242.07591181640626,17.55621325207889,18.79932658589138,16.639426406460228,7,7,18.959062499999998,18.959062499999998,18.959062499999998,18.959062499999998,1.0,0.00034588294482642965,230728F-JC-41_230818,1.9229923584,0.6946038186055664,0.3612098693847656,0.0003485093305452587,0.000125885009765625,1080
