label,area,bbox-0,bbox-1,bbox-2,bbox-3,major_axis_length,minor_axis_length,eccentricity,perimeter,solidity,area_um2,area_nm2,equiv_diameter_nm,major_axis_length_nm,minor_axis_length_nm,bbox_height_px,bbox_width_px,bbox_height_nm,bbox_width_nm,bbox_major_nm,bbox_minor_nm,aspect_ratio,fraction_of_total_grain_area,sample_id,field_of_view_area_um2,masked_area_um2,masked_area_fraction,grain_area_fraction_of_total_grain_area,grain_area_fraction_of_fov,area_rank
2,15.0,11,313,16,318,5.769821527157382,4.060410979510453,0.7104650278827476,12.828427124746192,0.7894736842105263,0.001430511474609375,1430.511474609375,42.67767307000309,56.34591335114631,39.65245097178177,5,5,48.828125,48.828125,48.828125,48.828125,1.0,0.022935779816513763,230720C-JC-30,25.0,0.056743621826171875,0.002269744873046875,0.025210084033613446,5.7220458984375e-05,15
3,11.0,44,386,48,390,3.9999999999999996,3.468869823334348,0.49792959773196893,9.65685424949238,0.9166666666666666,0.001049041748046875,1049.041748046875,36.54697576669487,39.06249999999999,33.87568186849949,4,4,39.0625,39.0625,39.0625,39.0625,1.0,0.016819571865443424,230720C-JC-30,25.0,0.056743621826171875,0.002269744873046875,0.018487394957983194,4.1961669921875e-05,20
4,9.0,48,342,52,345,3.885753375057407,2.7954428906961324,0.6945875203623408,8.242640687119284,1.0,0.000858306884765625,858.306884765625,33.057983411001345,37.94681030329499,27.299246979454416,4,3,39.0625,29.296875,39.0625,29.296875,1.3333333333333333,0.013761467889908258,230720C-JC-30,25.0,0.056743621826171875,0.002269744873046875,0.015126050420168067,3.4332275390625e-05,24
9,7.0,94,154,97,157,3.0237157840738176,2.799416848895061,0.377964473009227,6.82842712474619,1.0,0.000667572021484375,667.572021484375,29.154400983602766,29.528474453845874,27.338055164990827,3,3,29.296875,29.296875,29.296875,29.296875,1.0,0.010703363914373088,230720C-JC-30,25.0,0.056743621826171875,0.002269744873046875,0.011764705882352941,2.6702880859375e-05,27
10,4.0,98,47,100,50,3.4641016151377544,1.4142135623730951,0.9128709291752769,3.2071067811865475,0.8,0.0003814697265625,381.4697265625,22.03865560733423,33.829117335329634,13.810679320049758,2,3,19.53125,29.296875,29.296875,19.53125,1.5,0.0061162079510703364,230720C-JC-30,25.0,0.056743621826171875,0.002269744873046875,0.0067226890756302525,1.52587890625e-05,31
11,64.0,110,40,131,55,27.475884523921092,5.31889211943178,0.981083700834335,47.834523779156065,0.5378151260504201,0.006103515625,6103.515625,88.15462242933692,268.3191848039169,51.94230585382598,21,15,205.078125,146.484375,205.078125,146.484375,1.4,0.09785932721712538,230720C-JC-30,25.0,0.056743621826171875,0.002269744873046875,0.10756302521008404,0.000244140625,1
13,10.0,155,273,158,277,3.9191835884530852,3.0983866769659336,0.6123724356957946,8.82842712474619,1.0,0.00095367431640625,953.67431640625,34.84617414360881,38.27327723098716,30.257682392245446,3,4,29.296875,39.0625,39.0625,29.296875,1.3333333333333333,0.01529051987767584,230720C-JC-30,25.0,0.056743621826171875,0.002269744873046875,0.01680672268907563,3.814697265625e-05,23
14,40.0,155,454,162,462,7.895704892865931,6.496756440314891,0.5682997746848952,21.31370849898476,0.9302325581395349,0.003814697265625,3814.697265625,69.69234828721763,77.10649309439385,63.444887112450104,7,8,68.359375,78.125,78.125,68.359375,1.1428571428571428,0.06116207951070336,230720C-JC-30,25.0,0.056743621826171875,0.002269744873046875,0.06722689075630252,0.000152587890625,3
15,34.0,162,144,169,151,7.486343710912011,5.918388480148103,0.6123872465350418,19.31370849898476,1.0,0.00324249267578125,3242.49267578125,64.25317033671426,73.1088253018751,57.79676250144632,7,7,68.359375,68.359375,68.359375,68.359375,1.0,0.05198776758409786,230720C-JC-30,25.0,0.056743621826171875,0.002269744873046875,0.05714285714285714,0.00012969970703125,4
16,17.0,168,392,173,397,5.223375262575888,4.164035090696581,0.6037253253949397,13.071067811865476,0.8947368421052632,0.001621246337890625,1621.246337890625,45.43385245782498,51.00952404859266,40.6644051825838,5,5,48.828125,48.828125,48.828125,48.828125,1.0,0.02599388379204893,230720C-JC-30,25.0,0.056743621826171875,0.002269744873046875,0.02857142857142857,6.4849853515625e-05,13
17,4.0,177,321,180,323,3.23606797749979,1.2360679774997898,0.9241763718304448,4.414213562373095,1.0,0.0003814697265625,381.4697265625,22.03865560733423,31.602226342771385,12.070976342771385,3,2,29.296875,19.53125,29.296875,19.53125,1.5,0.0061162079510703364,230720C-JC-30,25.0,0.056743621826171875,0.002269744873046875,0.0067226890756302525,1.52587890625e-05,32
18,34.0,183,0,191,8,10.89081317214371,3.9938380140760614,0.9303328448534035,22.727922061357855,0.918918918918919,0.00324249267578125,3242.49267578125,64.25317033671426,106.35559738421593,39.00232435621154,8,8,78.125,78.125,78.125,78.125,1.0,0.05198776758409786,230720C-JC-30,25.0,0.056743621826171875,0.002269744873046875,0.05714285714285714,0.00012969970703125,5
19,14.0,193,0,198,3,5.449353665897314,3.145851452097728,0.8165399631383784,11.414213562373096,1.0,0.00133514404296875,1335.14404296875,41.23054927387454,53.21634439352845,30.721205586891877,5,3,48.828125,29.296875,48.828125,29.296875,1.6666666666666667,0.021406727828746176,230720C-JC-30,25.0,0.056743621826171875,0.002269744873046875,0.023529411764705882,5.340576171875e-05,17
