label,area,bbox-0,bbox-1,bbox-2,bbox-3,major_axis_length,minor_axis_length,eccentricity,perimeter,solidity,area_um2,area_nm2,equiv_diameter_nm,major_axis_length_nm,minor_axis_length_nm,bbox_height_px,bbox_width_px,bbox_height_nm,bbox_width_nm,bbox_major_nm,bbox_minor_nm,aspect_ratio,fraction_of_total_grain_area,sample_id,field_of_view_area_um2,masked_area_um2,masked_area_fraction,grain_area_fraction_of_total_grain_area,grain_area_fraction_of_fov,area_rank
2,7.0,0,47,4,49,4.155374705678736,1.9054711331003737,0.8886656215775005,7.207106781186548,1.0,0.0026702880859375,2670.2880859375,58.30880196720553,81.15966222028781,37.21623306836668,4,2,78.125,39.0625,78.125,39.0625,2.0,0.003769520732364028,230723A-JC-32-Center,25.0,0.3223419189453125,0.0128936767578125,0.008284023668639054,0.0001068115234375,15
3,4.0,0,119,4,120,4.47213595499958,0.0,1.0,2.0,1.0,0.00152587890625,1525.87890625,44.07731121466846,87.34640537108554,0.0,4,1,78.125,19.53125,78.125,19.53125,4.0,0.002154011847065159,230723A-JC-32-Center,25.0,0.3223419189453125,0.0128936767578125,0.004733727810650888,6.103515625e-05,83
7,5.0,1,223,4,226,4.0,1.3856406460551023,0.9380831519646858,5.414213562373095,1.0,0.0019073486328125,1907.3486328125,49.27993207070625,78.125,27.063293868263717,3,3,58.59375,58.59375,58.59375,58.59375,1.0,0.0026925148088314485,230723A-JC-32-Center,25.0,0.3223419189453125,0.0128936767578125,0.005917159763313609,7.62939453125e-05,53
10,4.0,2,245,6,246,4.47213595499958,0.0,1.0,2.0,1.0,0.00152587890625,1525.87890625,44.07731121466846,87.34640537108554,0.0,4,1,78.125,19.53125,78.125,19.53125,4.0,0.002154011847065159,230723A-JC-32-Center,25.0,0.3223419189453125,0.0128936767578125,0.004733727810650888,6.103515625e-05,84
23,4.0,7,252,10,254,3.23606797749979,1.2360679774997898,0.9241763718304448,4.414213562373095,1.0,0.00152587890625,1525.87890625,44.07731121466846,63.20445268554277,24.14195268554277,3,2,58.59375,39.0625,58.59375,39.0625,1.5,0.002154011847065159,230723A-JC-32-Center,25.0,0.3223419189453125,0.0128936767578125,0.004733727810650888,6.103515625e-05,85
25,4.0,8,237,10,239,2.0,2.0,0.0,4.0,1.0,0.00152587890625,1525.87890625,44.07731121466846,39.0625,39.0625,2,2,39.0625,39.0625,39.0625,39.0625,1.0,0.002154011847065159,230723A-JC-32-Center,25.0,0.3223419189453125,0.0128936767578125,0.004733727810650888,6.103515625e-05,86
47,5.0,13,23,15,26,3.098386676965933,1.7888543819998317,0.816496580927726,5.207106781186548,1.0,0.0019073486328125,1907.3486328125,49.27993207070625,60.515364784490885,34.938562148434215,2,3,39.0625,58.59375,58.59375,39.0625,1.5,0.0026925148088314485,230723A-JC-32-Center,25.0,0.3223419189453125,0.0128936767578125,0.005917159763313609,7.62939453125e-05,54
54,4.0,14,32,17,34,3.4641016151377544,1.4142135623730951,0.9128709291752769,3.2071067811865475,0.8,0.00152587890625,1525.87890625,44.07731121466846,67.65823467065927,27.621358640099515,3,2,58.59375,39.0625,58.59375,39.0625,1.5,0.002154011847065159,230723A-JC-32-Center,25.0,0.3223419189453125,0.0128936767578125,0.004733727810650888,6.103515625e-05,87
55,7.0,14,129,18,131,4.71459177171839,1.9735940326311023,0.9081642662569636,7.207106781186548,0.875,0.0026702880859375,2670.2880859375,58.30880196720553,92.08187054137481,38.546758449826214,4,2,78.125,39.0625,78.125,39.0625,2.0,0.003769520732364028,230723A-JC-32-Center,25.0,0.3223419189453125,0.0128936767578125,0.008284023668639054,0.0001068115234375,16
58,6.0,16,43,22,44,6.831300510639732,0.0,1.0,4.0,1.0,0.002288818359375,2288.818359375,53.983460854896165,133.42383809843227,0.0,6,1,117.1875,19.53125,117.1875,19.53125,6.0,0.0032310177705977385,230723A-JC-32-Center,25.0,0.3223419189453125,0.0128936767578125,0.007100591715976331,9.1552734375e-05,27
