label,area,bbox-0,bbox-1,bbox-2,bbox-3,major_axis_length,minor_axis_length,eccentricity,perimeter,solidity,area_um2,area_nm2,equiv_diameter_nm,major_axis_length_nm,minor_axis_length_nm,bbox_height_px,bbox_width_px,bbox_height_nm,bbox_width_nm,bbox_major_nm,bbox_minor_nm,aspect_ratio,fraction_of_total_grain_area,sample_id,field_of_view_area_um2,masked_area_um2,masked_area_fraction,grain_area_fraction_of_total_grain_area,grain_area_fraction_of_fov,area_rank
1,5.0,0,461,3,464,4.0,1.3856406460551023,0.9380831519646858,5.414213562373095,1.0,0.000476837158203125,476.837158203125,24.639966035353126,39.0625,13.531646934131858,3,3,29.296875,29.296875,29.296875,29.296875,1.0,0.0007314218841427735,230730D-JC-52,25.0,0.5873680114746094,0.023494720458984375,0.0008118201006656925,1.9073486328125e-05,406
2,5.0,1,156,4,158,3.098386676965933,1.7888543819998317,0.816496580927726,5.207106781186548,1.0,0.000476837158203125,476.837158203125,24.639966035353126,30.257682392245442,17.469281074217108,3,2,29.296875,19.53125,29.296875,19.53125,1.5,0.0007314218841427735,230730D-JC-52,25.0,0.5873680114746094,0.023494720458984375,0.0008118201006656925,1.9073486328125e-05,407
3,36.0,3,197,10,210,14.7063700833751,3.9760657343530137,0.9627583165908137,28.31370849898476,0.72,0.0034332275390625,3433.2275390625,66.11596682200269,143.61689534545997,38.82876693704115,7,13,68.359375,126.953125,126.953125,68.359375,1.8571428571428572,0.0052662375658279695,230730D-JC-52,25.0,0.5873680114746094,0.023494720458984375,0.0058451047247929854,0.0001373291015625,12
5,15.0,5,421,11,430,11.442131859986105,3.1877990750885377,0.9604066902053113,13.0,0.5,0.001430511474609375,1430.511474609375,42.67767307000309,111.73956894517681,31.1308503426615,6,9,58.59375,87.890625,87.890625,58.59375,1.5,0.0021942656524283205,230730D-JC-52,25.0,0.5873680114746094,0.023494720458984375,0.0024354603019970775,5.7220458984375e-05,115
6,23.0,6,124,10,130,6.647843013195008,4.544564245259024,0.7298429477862621,16.82842712474619,0.9583333333333334,0.002193450927734375,2193.450927734375,52.84683964654307,64.9203419257325,44.38051020760766,4,6,39.0625,58.59375,58.59375,39.0625,1.5,0.0033645406670567584,230730D-JC-52,25.0,0.5873680114746094,0.023494720458984375,0.0037343724630621855,8.7738037109375e-05,36
7,32.0,6,164,12,175,10.945390838728116,4.30968901285077,0.9192198625903937,23.485281374238568,0.8,0.0030517578125,3051.7578125,62.334731312723854,106.88858240945426,42.0868067661208,6,11,58.59375,107.421875,107.421875,58.59375,1.8333333333333333,0.004681100058513751,230730D-JC-52,25.0,0.5873680114746094,0.023494720458984375,0.005195648644260432,0.0001220703125,15
9,4.0,10,205,11,209,4.47213595499958,0.0,1.0,2.0,1.0,0.0003814697265625,381.4697265625,22.03865560733423,43.67320268554277,0.0,1,4,9.765625,39.0625,39.0625,9.765625,4.0,0.0005851375073142189,230730D-JC-52,25.0,0.5873680114746094,0.023494720458984375,0.000649456080532554,1.52587890625e-05,465
10,13.0,11,102,15,106,4.318667337728677,3.6794648440311994,0.523556754446835,10.242640687119284,1.0,0.001239776611328125,1239.776611328125,39.73075141726777,42.17448572000661,35.932273867492185,4,4,39.0625,39.0625,39.0625,39.0625,1.0,0.0019016968987712111,230730D-JC-52,25.0,0.5873680114746094,0.023494720458984375,0.0021107322617308004,4.9591064453125e-05,147
12,4.0,11,176,12,180,4.47213595499958,0.0,1.0,2.0,1.0,0.0003814697265625,381.4697265625,22.03865560733423,43.67320268554277,0.0,1,4,9.765625,39.0625,39.0625,9.765625,4.0,0.0005851375073142189,230730D-JC-52,25.0,0.5873680114746094,0.023494720458984375,0.000649456080532554,1.52587890625e-05,466
14,6.0,11,292,14,294,3.265986323710904,2.0,0.7905694150420949,6.0,1.0,0.00057220458984375,572.20458984375,26.991730427448083,31.8943976924893,19.53125,3,2,29.296875,19.53125,29.296875,19.53125,1.5,0.0008777062609713282,230730D-JC-52,25.0,0.5873680114746094,0.023494720458984375,0.000974184120798831,2.288818359375e-05,354
