#	z_max	A_0	V_L	D_min	D_max	M_min	M_max
3.84269e-09	8.58307e-16	1.59578e-24	2.92969e-08	4.36732e-08	2.38993e-08	4.01167e-08
6.84206e-09	2.09808e-15	4.6435e-24	4.83374e-08	6.55098e-08	3.92632e-08	6.14554e-08
3.30395e-09	6.67572e-16	9.46885e-25	1.95312e-08	4.36732e-08	1.96316e-08	4.26773e-08
5.86522e-09	1.52588e-15	4.38551e-24	3.90625e-08	5.52427e-08	3.92632e-08	5.20664e-08
5.66135e-09	1.71661e-15	3.79634e-24	4.83374e-08	5.69429e-08	3.75561e-08	5.20664e-08
6.6229e-09	1.43051e-15	3.26783e-24	3.90625e-08	5.25895e-08	3.41419e-08	5.03593e-08
6.26813e-09	1.23978e-15	2.60922e-24	3.90625e-08	4.88281e-08	2.98741e-08	4.69451e-08
6.5043e-09	1.62125e-15	2.88157e-24	4.01461e-08	7.04209e-08	2.98741e-08	6.4016e-08
4.96924e-09	1.43051e-15	2.86383e-24	3.90625e-08	5.25895e-08	3.75561e-08	5.03593e-08
5.58682e-09	1.90735e-15	3.15525e-24	4.88281e-08	7.43728e-08	3.67025e-08	6.82838e-08
5.73387e-09	1.90735e-15	2.7261e-24	4.83374e-08	6.90534e-08	3.67025e-08	6.14554e-08
6.1073e-09	1.81198e-15	3.94355e-24	4.88281e-08	5.69429e-08	4.09703e-08	5.63341e-08
5.5534e-09	1.62125e-15	4.52222e-24	3.90625e-08	5.69429e-08	3.75561e-08	5.29199e-08
5.50106e-09	1.14441e-15	2.92683e-24	2.92969e-08	5.25895e-08	2.98741e-08	4.86522e-08
5.34099e-09	2.00272e-15	3.83488e-24	4.88281e-08	8.34375e-08	3.75561e-08	8.1087e-08
5.0846e-09	1.52588e-15	3.31467e-24	3.90625e-08	5.69429e-08	3.92632e-08	5.4627e-08
4.70802e-09	1.43051e-15	2.13585e-24	3.90625e-08	6.17632e-08	3.07277e-08	5.88947e-08
5.74593e-09	1.90735e-15	3.72854e-24	4.88281e-08	6.55098e-08	4.18238e-08	6.4016e-08
2.07592e-09	7.62939e-16	1.26418e-24	2.92969e-08	4.1432e-08	2.8167e-08	4.18238e-08
