#	z_max	A_0	V_L	D_min	D_max	M_min	M_max
3.07369e-09	3.8147e-16	4.2905e-25	1.95312e-08	2.76214e-08	1.96316e-08	2.8167e-08
4.55216e-09	4.76837e-16	1.57638e-24	9.76562e-09	4.97951e-08	9.38902e-09	4.86522e-08
5.72947e-09	4.29153e-15	1.84433e-23	4.88281e-08	1.00543e-07	4.86522e-08	9.81579e-08
1.01507e-08	4.57764e-15	2.79117e-23	6.83594e-08	9.00346e-08	6.57231e-08	8.62082e-08
9.26275e-09	4.00543e-15	2.18061e-23	5.85937e-08	9.26449e-08	5.29199e-08	9.13295e-08
4.76023e-09	2.57492e-15	6.7835e-24	4.88281e-08	7.10948e-08	4.86522e-08	6.82838e-08
1.4483e-08	5.14984e-15	4.13942e-23	7.8125e-08	9.21287e-08	7.42586e-08	9.0476e-08
3.61223e-09	9.53674e-17	8.37936e-26	9.76562e-09	1.38107e-08	9.38902e-09	1.45103e-08
9.52433e-09	3.91006e-15	2.06998e-23	5.85937e-08	8.73464e-08	5.88947e-08	8.45011e-08
1.01655e-08	7.72476e-15	6.17042e-23	8.78906e-08	1.17594e-07	8.79153e-08	1.10961e-07
1.32487e-08	4.3869e-15	3.11202e-23	7.59587e-08	8.73464e-08	6.74302e-08	8.45011e-08
1.05923e-08	4.1008e-15	2.37076e-23	6.83594e-08	9.26449e-08	4.86522e-08	8.87689e-08
8.50578e-09	4.86374e-15	2.83804e-23	5.85937e-08	1.00543e-07	5.80412e-08	9.47437e-08
1.01718e-08	1.43051e-15	7.02948e-24	3.90625e-08	5.52427e-08	3.92632e-08	5.54805e-08
9.41071e-09	4.29153e-15	2.36278e-23	5.85937e-08	9.26449e-08	5.80412e-08	9.0476e-08
8.77957e-09	4.19617e-15	2.36586e-23	5.85937e-08	9.26449e-08	5.88947e-08	8.87689e-08
1.03955e-08	4.00543e-15	2.42232e-23	5.85937e-08	8.73464e-08	5.80412e-08	8.45011e-08
6.10612e-09	2.19345e-15	8.01552e-24	4.88281e-08	6.25305e-08	4.26773e-08	6.14554e-08
1.70855e-08	6.96182e-15	7.75099e-23	7.8125e-08	1.17998e-07	7.08444e-08	1.16082e-07
1.36561e-08	4.19617e-15	2.81435e-23	6.83594e-08	8.40071e-08	6.4016e-08	8.1087e-08
3.23576e-09	1.04904e-15	6.3798e-25	3.45267e-08	4.88281e-08	2.47529e-08	4.60915e-08
