#	z_max	A_0	V_L	D_min	D_max	M_min	M_max
2.08926e-08	3.91006e-15	3.34516e-23	5.85937e-08	9.26449e-08	4.95057e-08	9.0476e-08
1.18575e-08	1.62125e-15	8.01962e-24	2.92969e-08	6.55098e-08	2.90206e-08	6.31625e-08
3.85787e-09	2.47955e-15	6.66935e-24	4.88281e-08	7.04209e-08	4.86522e-08	6.74302e-08
4.19118e-09	2.38419e-15	7.86081e-24	2.92969e-08	9.00346e-08	2.98741e-08	8.87689e-08
1.15907e-08	2.95639e-15	1.5048e-23	4.88281e-08	8.34375e-08	4.01167e-08	8.1087e-08
4.75679e-09	3.33786e-15	8.43946e-24	5.85937e-08	7.6272e-08	5.88947e-08	7.3405e-08
6.80681e-09	4.3869e-15	1.41751e-23	5.85937e-08	9.26449e-08	5.88947e-08	9.13295e-08
8.53112e-09	3.62396e-15	1.35531e-23	5.85937e-08	7.8733e-08	5.88947e-08	7.76728e-08
5.99511e-09	4.57764e-15	1.49739e-23	6.83594e-08	9.00346e-08	6.74302e-08	8.62082e-08
4.08475e-09	2.76566e-15	5.80302e-24	5.85937e-08	7.04209e-08	4.86522e-08	6.82838e-08
4.13684e-09	2.09808e-15	4.75899e-24	4.88281e-08	6.25305e-08	4.26773e-08	5.97483e-08
5.81876e-09	6.19888e-15	1.80572e-23	6.83594e-08	1.14304e-07	6.82838e-08	1.11815e-07
1.57546e-08	4.19617e-15	1.9694e-23	6.83594e-08	8.40071e-08	6.82838e-08	7.93799e-08
1.57461e-08	1.52588e-15	6.15169e-24	2.92969e-08	6.17632e-08	2.90206e-08	5.88947e-08
1.74448e-08	3.91006e-15	1.76111e-23	6.83594e-08	8.28641e-08	6.74302e-08	7.59657e-08
6.37336e-09	4.19617e-15	1.23569e-23	5.85937e-08	8.73464e-08	5.88947e-08	8.45011e-08
4.10094e-09	2.38419e-15	4.93757e-24	4.88281e-08	7.10948e-08	4.5238e-08	6.91373e-08
4.50839e-09	4.86374e-15	1.14208e-23	7.8125e-08	9.21287e-08	6.74302e-08	9.0476e-08
3.33073e-09	6.67572e-16	8.91445e-25	2.92969e-08	3.52105e-08	2.47529e-08	3.41419e-08
3.02082e-09	8.58307e-16	1.24085e-24	2.92969e-08	4.36732e-08	2.38993e-08	4.01167e-08
2.59241e-09	5.72205e-16	4.96819e-25	2.76214e-08	3.52105e-08	2.04851e-08	3.15812e-08
2.4139e-09	2.86102e-16	1.92107e-25	1.95312e-08	2.76214e-08	1.36568e-08	2.47529e-08
8.49135e-09	2.76566e-15	9.00139e-24	5.85937e-08	7.04209e-08	4.95057e-08	6.74302e-08
3.4813e-09	1.62125e-15	3.0875e-24	3.90625e-08	5.69429e-08	3.75561e-08	5.29199e-08
4.49168e-09	3.91006e-15	1.01942e-23	6.83594e-08	7.8733e-08	6.82838e-08	7.42586e-08
3.05244e-09	7.62939e-16	1.33728e-24	2.92969e-08	4.1432e-08	2.8167e-08	4.18238e-08
6.99803e-09	5.53131e-15	1.96294e-23	5.85937e-08	1.11345e-07	5.88947e-08	1.084e-07
3.94157e-09	2.67029e-15	5.51169e-24	4.88281e-08	7.43728e-08	4.86522e-08	6.91373e-08
3.36383e-09	1.90735e-15	4.01512e-24	4.88281e-08	6.25305e-08	4.09703e-08	5.97483e-08
4.76271e-09	4.76837e-16	1.61237e-24	9.76562e-09	4.97951e-08	9.38902e-09	4.86522e-08
1.4071e-08	4.76837e-15	2.54681e-23	6.83594e-08	9.21287e-08	6.82838e-08	9.0476e-08
5.69239e-09	2.38419e-15	6.67075e-24	4.88281e-08	6.55098e-08	4.86522e-08	6.31625e-08
8.4286e-09	3.43323e-15	1.17696e-23	5.85937e-08	7.8733e-08	5.80412e-08	7.42586e-08
1.35936e-08	4.00543e-15	1.57225e-23	6.83594e-08	8.40071e-08	6.06018e-08	8.02334e-08
5.08611e-09	6.29425e-15	1.78046e-23	7.8125e-08	1.11345e-07	6.91373e-08	1.084e-07
2.21909e-08	6.10352e-15	3.65112e-23	6.83594e-08	1.09183e-07	6.91373e-08	1.0584e-07
1.36258e-08	5.14984e-15	2.41084e-23	7.8125e-08	9.76562e-08	7.3405e-08	9.47437e-08
5.67831e-09	3.24249e-15	9.6866e-24	5.85937e-08	7.6272e-08	5.71876e-08	7.42586e-08
6.64268e-09	7.9155e-15	3.00868e-23	9.76562e-08	1.13886e-07	9.0476e-08	1.12668e-07
2.71806e-09	8.58307e-16	1.06274e-24	2.92969e-08	4.88281e-08	2.47529e-08	4.43844e-08
7.55822e-09	7.62939e-15	3.09342e-23	7.8125e-08	1.17998e-07	7.85263e-08	1.14375e-07
1.10538e-08	6.77109e-15	2.85214e-23	7.8125e-08	1.14304e-07	7.85263e-08	1.10961e-07
4.99441e-09	3.14713e-15	7.90011e-24	5.85937e-08	7.6272e-08	5.4627e-08	7.25515e-08
1.33518e-08	6.96182e-15	3.93628e-23	8.78906e-08	1.09183e-07	8.1087e-08	1.0584e-07
3.3933e-09	2.47955e-15	6.13457e-24	4.88281e-08	7.6272e-08	4.86522e-08	7.3405e-08
3.71012e-09	6.67572e-16	1.09232e-24	2.92969e-08	3.52105e-08	2.47529e-08	3.41419e-08
7.21711e-09	8.2016e-15	3.5685e-23	8.78906e-08	1.27328e-07	8.62082e-08	1.24618e-07
1.39879e-09	8.58307e-16	1.4936e-25	2.92969e-08	4.36732e-08	2.38993e-08	4.01167e-08
1.26316e-08	4.57764e-15	2.21639e-23	6.83594e-08	9.26449e-08	6.31625e-08	8.87689e-08
3.58246e-09	4.76837e-16	8.15166e-25	1.95312e-08	3.52105e-08	1.96316e-08	3.32883e-08
6.99235e-09	6.58035e-15	2.46165e-23	7.8125e-08	1.05631e-07	7.85263e-08	1.02426e-07
4.87859e-09	2.86102e-15	6.52963e-24	5.85937e-08	7.04209e-08	5.54805e-08	6.82838e-08
3.01635e-09	1.23978e-15	2.33121e-24	3.90625e-08	4.88281e-08	2.98741e-08	4.69451e-08
3.23621e-09	1.14441e-15	1.59333e-24	3.90625e-08	5.25895e-08	2.73135e-08	5.03593e-08
4.20682e-09	3.33786e-15	7.70758e-24	5.85937e-08	7.6272e-08	5.88947e-08	7.3405e-08
1.93488e-09	1.90735e-16	4.56114e-26	9.76562e-09	2.18366e-08	9.38902e-09	2.13387e-08
5.40436e-09	3.91006e-15	1.13288e-23	5.85937e-08	8.40071e-08	5.88947e-08	8.02334e-08
1.31846e-08	4.3869e-15	1.94073e-23	6.83594e-08	8.40071e-08	6.74302e-08	8.1087e-08
3.53612e-09	2.47955e-15	3.7162e-24	4.88281e-08	7.43728e-08	4.18238e-08	7.25515e-08
6.44685e-09	2.38419e-15	8.7284e-24	3.90625e-08	7.43728e-08	3.84096e-08	7.08444e-08
1.08294e-08	4.95911e-15	2.09229e-23	7.8125e-08	9.21287e-08	6.82838e-08	9.0476e-08
7.01026e-09	4.48227e-15	1.68022e-23	6.83594e-08	8.84315e-08	6.91373e-08	8.79153e-08
3.15601e-09	2.95639e-15	6.89272e-24	4.88281e-08	8.40071e-08	4.86522e-08	8.02334e-08
4.14054e-09	2.09808e-15	3.75614e-24	4.88281e-08	6.17632e-08	4.18238e-08	5.88947e-08
1.59375e-08	3.91006e-15	1.99397e-23	5.85937e-08	8.73464e-08	5.88947e-08	8.45011e-08
3.55191e-09	2.09808e-15	4.70117e-24	4.88281e-08	6.25305e-08	4.26773e-08	5.97483e-08
6.66637e-09	2.86102e-15	8.22551e-24	4.88281e-08	7.43728e-08	4.86522e-08	7.3405e-08
7.78592e-09	4.1008e-15	1.42473e-23	5.85937e-08	8.73464e-08	5.80412e-08	8.53547e-08
3.14439e-09	7.62939e-16	1.16487e-24	2.92969e-08	4.02647e-08	2.30458e-08	4.01167e-08
4.07539e-09	3.05176e-15	6.60407e-24	4.88281e-08	8.05294e-08	4.86522e-08	7.85263e-08
3.74416e-09	1.90735e-15	3.948e-24	4.88281e-08	5.69429e-08	4.5238e-08	5.54805e-08
1.87695e-09	1.90735e-16	4.52859e-26	9.76562e-09	2.18366e-08	9.38902e-09	2.13387e-08
5.27187e-09	5.05447e-15	1.37703e-23	6.83594e-08	9.61803e-08	6.06018e-08	9.47437e-08
4.54423e-09	4.86374e-15	1.32456e-23	6.83594e-08	9.76562e-08	5.88947e-08	9.64508e-08
4.00712e-09	3.43323e-15	6.59597e-24	6.83594e-08	7.43728e-08	5.88947e-08	7.3405e-08
4.01665e-09	1.71661e-15	4.08737e-24	3.90625e-08	5.69429e-08	3.84096e-08	5.29199e-08
8.39797e-09	4.48227e-15	1.6601e-23	6.83594e-08	9.00346e-08	6.74302e-08	8.45011e-08
1.65908e-08	5.91278e-15	2.51088e-23	8.00781e-08	1.13886e-07	6.82838e-08	1.10108e-07
2.79629e-09	6.67572e-16	8.63307e-25	2.92969e-08	3.52105e-08	2.47529e-08	3.41419e-08
3.95924e-09	4.86374e-15	1.3002e-23	6.83594e-08	9.61803e-08	6.06018e-08	9.13295e-08
1.08852e-08	4.673e-15	1.63205e-23	6.83594e-08	9.26449e-08	6.74302e-08	8.87689e-08
3.84044e-09	2.09808e-15	4.50794e-24	4.88281e-08	6.17632e-08	4.69451e-08	6.06018e-08
6.66807e-09	3.43323e-15	9.63385e-24	5.85937e-08	8.34375e-08	5.29199e-08	8.1087e-08
6.66473e-09	3.05176e-15	8.50547e-24	4.88281e-08	8.73464e-08	4.86522e-08	8.45011e-08
1.37932e-08	3.91006e-15	1.46287e-23	6.83594e-08	8.40071e-08	6.06018e-08	7.93799e-08
1.41341e-08	9.72748e-15	6.63776e-23	1.0358e-07	1.40842e-07	9.47437e-08	1.35714e-07
4.58797e-09	2.57492e-15	6.45688e-24	5.85937e-08	6.55098e-08	4.86522e-08	6.4016e-08
7.66355e-09	4.76837e-15	1.89828e-23	6.83594e-08	9.21287e-08	6.82838e-08	9.0476e-08
3.41417e-09	8.58307e-16	1.09751e-24	2.92969e-08	4.1432e-08	2.98741e-08	4.18238e-08
2.70503e-09	3.8147e-16	5.8734e-25	1.95312e-08	2.76214e-08	1.96316e-08	2.8167e-08
1.13012e-08	4.1008e-15	1.51896e-23	6.83594e-08	8.40071e-08	6.23089e-08	8.1087e-08
1.01057e-08	4.673e-15	1.78379e-23	7.8125e-08	9.00346e-08	6.82838e-08	8.62082e-08
9.25059e-09	5.72205e-15	2.37369e-23	7.8125e-08	9.76562e-08	7.76728e-08	9.64508e-08
2.60418e-09	9.53674e-17	5.25085e-26	9.76562e-09	1.38107e-08	9.38902e-09	1.45103e-08
2.2028e-09	9.53674e-17	2.65524e-26	9.76562e-09	1.38107e-08	9.38902e-09	1.45103e-08
4.14606e-09	1.62125e-15	3.84215e-24	3.90625e-08	5.69429e-08	3.75561e-08	5.29199e-08
7.79288e-09	5.34058e-15	1.76458e-23	7.8125e-08	9.76562e-08	7.25515e-08	9.64508e-08
4.44416e-09	2.28882e-15	5.82504e-24	4.88281e-08	6.55098e-08	4.86522e-08	5.97483e-08
9.8223e-09	5.43594e-15	2.08492e-23	7.8125e-08	9.76562e-08	7.3405e-08	9.47437e-08
3.106e-09	1.62125e-15	2.73201e-24	3.90625e-08	5.69429e-08	3.75561e-08	5.29199e-08
7.15531e-09	7.24792e-15	2.83597e-23	6.83594e-08	1.23526e-07	6.82838e-08	1.21204e-07
1.53517e-08	2.86102e-15	1.21172e-23	5.85937e-08	7.04209e-08	5.20664e-08	6.91373e-08
3.89414e-09	2.86102e-15	5.85587e-24	5.85937e-08	7.04209e-08	5.54805e-08	6.82838e-08
1.06185e-08	3.62396e-15	1.55825e-23	5.85937e-08	7.8733e-08	5.88947e-08	7.76728e-08
3.72464e-09	1.81198e-15	2.6504e-24	4.83374e-08	5.69429e-08	4.09703e-08	5.37735e-08
2.55759e-09	8.58307e-16	1.19983e-24	2.92969e-08	4.36732e-08	2.38993e-08	4.01167e-08
8.49486e-09	4.00543e-15	1.57431e-23	5.85937e-08	8.40071e-08	5.88947e-08	8.27941e-08
5.04562e-09	2.95639e-15	7.64112e-24	4.88281e-08	7.43728e-08	4.86522e-08	7.42586e-08
9.36824e-09	4.00543e-15	1.45538e-23	5.85937e-08	9.21287e-08	5.03593e-08	8.62082e-08
4.44781e-09	1.90735e-15	3.74982e-24	4.88281e-08	5.69429e-08	4.5238e-08	5.54805e-08
4.3359e-09	3.14713e-15	6.58367e-24	5.85937e-08	7.43728e-08	5.63341e-08	7.08444e-08
3.17563e-09	8.58307e-16	1.42723e-24	2.92969e-08	4.1432e-08	2.98741e-08	4.18238e-08
9.43039e-09	3.43323e-15	1.30489e-23	5.85937e-08	7.8733e-08	5.88947e-08	7.59657e-08
1.43612e-08	5.05447e-15	2.49197e-23	7.8125e-08	9.26449e-08	6.82838e-08	8.96224e-08
1.1226e-08	2.95639e-15	1.04271e-23	4.88281e-08	7.43728e-08	4.86522e-08	7.42586e-08
9.62346e-09	4.19617e-15	1.73169e-23	5.85937e-08	9.00346e-08	5.88947e-08	8.62082e-08
1.84277e-08	4.19617e-15	2.19016e-23	5.85937e-08	8.73464e-08	5.88947e-08	8.45011e-08
3.81671e-09	2.86102e-15	7.55059e-24	5.85937e-08	7.04209e-08	5.54805e-08	6.82838e-08
8.15362e-09	3.62396e-15	1.03171e-23	5.85937e-08	8.73464e-08	4.95057e-08	8.45011e-08
1.41945e-08	3.52859e-15	1.23834e-23	6.83594e-08	7.8733e-08	5.71876e-08	7.42586e-08
3.97767e-09	3.62396e-15	8.36227e-24	6.83594e-08	7.8733e-08	5.63341e-08	7.42586e-08
4.03149e-09	3.52859e-15	9.18763e-24	5.85937e-08	8.05294e-08	5.54805e-08	7.85263e-08
4.07638e-09	2.86102e-15	6.48281e-24	5.85937e-08	7.04209e-08	5.54805e-08	6.82838e-08
1.36554e-08	5.05447e-15	2.4169e-23	7.8125e-08	9.26449e-08	6.74302e-08	9.13295e-08
3.04355e-09	1.43051e-15	2.85164e-24	3.90625e-08	5.52427e-08	3.92632e-08	5.54805e-08
1.47847e-08	4.3869e-15	2.12854e-23	6.83594e-08	8.73464e-08	6.31625e-08	8.36476e-08
2.34685e-09	3.8147e-16	3.71523e-25	1.95312e-08	2.76214e-08	1.96316e-08	2.8167e-08
5.23029e-09	3.52859e-15	1.03507e-23	6.83594e-08	7.6272e-08	6.14554e-08	7.08444e-08
6.61292e-09	1.33514e-15	6.41271e-25	3.45267e-08	6.90534e-08	2.8167e-08	5.63341e-08
6.79052e-09	1.33514e-15	5.64421e-25	3.45267e-08	6.90534e-08	2.8167e-08	5.63341e-08
4.13687e-09	2.47955e-15	5.80264e-24	5.52427e-08	7.04209e-08	4.69451e-08	6.82838e-08
1.87079e-08	3.91006e-15	1.82311e-23	6.83594e-08	8.05294e-08	6.4016e-08	7.85263e-08
3.73586e-09	2.57492e-15	5.15081e-24	4.88281e-08	7.04209e-08	4.86522e-08	6.4016e-08
3.81769e-09	3.14713e-15	7.24148e-24	4.88281e-08	8.05294e-08	4.86522e-08	7.93799e-08
3.62323e-09	2.19345e-15	4.33929e-24	4.88281e-08	6.25305e-08	4.86522e-08	6.14554e-08
1.01455e-08	3.71933e-15	1.3517e-23	5.85937e-08	8.40071e-08	5.88947e-08	7.85263e-08
1.83795e-08	4.48227e-15	2.27927e-23	6.83594e-08	8.73464e-08	6.74302e-08	8.45011e-08
5.06593e-09	4.3869e-15	1.22575e-23	6.83594e-08	8.73464e-08	6.74302e-08	8.1087e-08
1.25881e-08	5.43594e-15	2.99663e-23	7.8125e-08	9.76562e-08	7.42586e-08	9.47437e-08
4.82994e-09	6.10352e-15	1.64359e-23	7.8125e-08	1.0381e-07	7.85263e-08	9.90114e-08
2.37463e-09	7.62939e-16	8.53731e-25	2.92969e-08	4.1432e-08	2.8167e-08	4.18238e-08
4.93878e-09	3.71933e-15	8.90095e-24	6.83594e-08	8.34375e-08	5.4627e-08	8.1087e-08
5.26081e-09	3.62396e-15	9.87624e-24	5.85937e-08	8.40071e-08	5.4627e-08	7.85263e-08
8.10672e-09	4.57764e-15	1.72801e-23	5.85937e-08	9.26449e-08	5.88947e-08	8.87689e-08
1.19078e-08	3.62396e-15	1.34265e-23	5.85937e-08	8.40071e-08	5.29199e-08	8.1087e-08
2.5685e-09	9.53674e-17	4.97302e-26	9.76562e-09	1.38107e-08	9.38902e-09	1.45103e-08
1.13929e-08	8.58307e-16	2.49262e-24	1.95312e-08	5.25895e-08	1.96316e-08	5.03593e-08
4.53371e-09	3.14713e-15	8.45272e-24	4.88281e-08	7.8733e-08	4.86522e-08	7.42586e-08
7.87814e-09	4.76837e-15	1.74089e-23	6.83594e-08	9.21287e-08	6.82838e-08	9.0476e-08
1.2693e-08	6.29425e-15	4.05715e-23	6.83594e-08	1.09183e-07	6.91373e-08	1.04986e-07
1.16084e-08	5.05447e-15	2.26338e-23	6.83594e-08	9.61803e-08	6.91373e-08	9.13295e-08
1.17449e-08	5.72205e-15	3.0621e-23	7.8125e-08	1.00543e-07	7.08444e-08	9.64508e-08
2.97533e-09	1.43051e-15	1.70447e-24	3.90625e-08	5.25895e-08	3.75561e-08	5.03593e-08
1.07551e-08	4.57764e-15	2.24234e-23	6.83594e-08	9.00346e-08	6.82838e-08	8.62082e-08
8.09962e-09	3.62396e-15	1.19601e-23	5.85937e-08	8.28641e-08	5.88947e-08	8.27941e-08
9.62998e-09	4.19617e-15	1.66673e-23	5.85937e-08	8.73464e-08	5.88947e-08	8.45011e-08
1.11368e-08	4.00543e-15	1.66064e-23	5.85937e-08	8.73464e-08	5.80412e-08	8.45011e-08
3.91155e-09	9.53674e-16	1.75322e-24	2.92969e-08	4.36732e-08	2.90206e-08	4.01167e-08
1.0978e-08	3.24249e-15	1.44735e-23	5.85937e-08	7.6272e-08	5.88947e-08	7.16979e-08
9.22801e-09	3.71933e-15	1.21558e-23	5.85937e-08	8.40071e-08	5.80412e-08	7.93799e-08
4.4865e-09	3.14713e-15	6.85363e-24	5.85937e-08	7.8733e-08	5.29199e-08	7.3405e-08
7.41663e-09	5.62668e-15	2.15105e-23	6.83594e-08	1.01956e-07	6.82838e-08	1.00719e-07
8.40648e-09	2.86102e-15	9.37638e-24	4.88281e-08	7.43728e-08	4.86522e-08	7.3405e-08
4.15174e-09	1.04904e-15	1.64557e-24	2.92969e-08	4.97951e-08	2.98741e-08	4.86522e-08
1.49389e-08	6.67572e-15	4.3283e-23	7.8125e-08	1.14304e-07	7.08444e-08	1.10961e-07
1.61073e-08	3.43323e-15	1.78857e-23	5.85937e-08	8.28641e-08	5.88947e-08	8.27941e-08
4.64091e-09	2.95639e-15	7.11171e-24	5.85937e-08	7.43728e-08	5.03593e-08	7.25515e-08
3.74027e-09	1.14441e-15	2.2142e-24	3.90625e-08	4.88281e-08	3.07277e-08	4.5238e-08
6.99457e-09	5.34058e-15	1.88431e-23	5.85937e-08	1.05179e-07	5.88947e-08	1.01572e-07
9.21344e-09	1.14441e-15	3.53896e-24	1.95312e-08	6.90534e-08	1.96316e-08	6.91373e-08
1.54161e-08	5.14984e-15	2.35516e-23	7.8125e-08	9.21287e-08	6.91373e-08	8.96224e-08
