rel. 1/cm	CCD cts
 1.11928E+01	 6.90800E+02
 1.15945E+01	 6.87800E+02
 1.19963E+01	 6.88400E+02
 1.23979E+01	 6.89000E+02
 1.27996E+01	 6.85600E+02
 1.32012E+01	 6.81800E+02
 1.36028E+01	 6.81600E+02
 1.40044E+01	 6.85000E+02
 1.44060E+01	 6.86800E+02
 1.48075E+01	 6.82000E+02
 1.52090E+01	 6.85400E+02
 1.56104E+01	 6.85400E+02
 1.60119E+01	 6.88000E+02
 1.64133E+01	 6.86200E+02
 1.68147E+01	 6.81800E+02
 1.72161E+01	 6.83200E+02
 1.76174E+01	 6.78800E+02
 1.80187E+01	 6.84200E+02
 1.84200E+01	 6.77400E+02
 1.88212E+01	 6.79400E+02
 1.92225E+01	 6.78800E+02
 1.96237E+01	 6.83200E+02
 2.00248E+01	 6.85600E+02
 2.04260E+01	 6.79200E+02
 2.08271E+01	 6.79200E+02
 2.12282E+01	 6.79200E+02
 2.16293E+01	 6.78800E+02
 2.20303E+01	 6.87200E+02
 2.24313E+01	 6.84000E+02
 2.28323E+01	 6.88200E+02
 2.32332E+01	 6.87800E+02
 2.36342E+01	 6.87800E+02
 2.40351E+01	 6.93400E+02
 2.44360E+01	 6.88600E+02
 2.48368E+01	 6.98600E+02
 2.52376E+01	 6.94600E+02
 2.56384E+01	 6.96600E+02
 2.60392E+01	 6.99200E+02
 2.64399E+01	 7.09200E+02
 2.68407E+01	 7.04800E+02
 2.72413E+01	 7.10200E+02
 2.76420E+01	 7.13400E+02
 2.80426E+01	 7.13800E+02
 2.84432E+01	 7.16800E+02
 2.88438E+01	 7.32000E+02
 2.92444E+01	 7.33600E+02
 2.96449E+01	 7.35200E+02
 3.00454E+01	 7.43600E+02
 3.04459E+01	 7.42600E+02
 3.08463E+01	 7.41200E+02
 3.12468E+01	 7.23600E+02
 3.16471E+01	 7.05600E+02
 3.20475E+01	 6.96800E+02
 3.24478E+01	 6.82600E+02
 3.28482E+01	 6.76200E+02
 3.32484E+01	 6.64000E+02
 3.36487E+01	 6.62200E+02
 3.40489E+01	 6.60200E+02
