Sample,Feature,Feature Value,SHAP Value
MBE3-250620A-GG,Substrate temperature (°C),400.0,-0.21870799436111119
MBE3-250620A-GG,Bi surfactant,0.0,0.07180715933944451
MBE3-250620A-GG,In/Ga ratio,0.0,-0.8373191976772213
MBE3-250620A-GG,V/III ratio,3.5,-0.3618432261050003
MBE3-250620A-GG,Mean max height (nm),3.06975,-0.09547723942277746
MBE3-250620A-GG,Footprint area (nm²),909.6180613161199,-0.0346563017733331
MBE3-250703A-GG,Substrate temperature (°C),400.0,-0.2201105076944446
MBE3-250703A-GG,Bi surfactant,0.0,0.07180715933944451
MBE3-250703A-GG,In/Ga ratio,0.0,-0.8405278167883335
MBE3-250703A-GG,V/III ratio,3.5,-0.36548443477166725
MBE3-250703A-GG,Mean max height (nm),2.827881,-0.10222824031166673
MBE3-250703A-GG,Footprint area (nm²),537.640596814752,-0.04095695977333339
MBE3-260303A-MM,Substrate temperature (°C),393.0,0.13122483619095252
MBE3-260303A-MM,Bi surfactant,0.0,0.2590358750402772
MBE3-260303A-MM,In/Ga ratio,0.44943820224719117,0.5650286642610314
MBE3-260303A-MM,V/III ratio,2.588875340024388,0.18072158248742118
MBE3-260303A-MM,Mean max height (nm),8.861960917948718,0.04503528488599226
MBE3-260303A-MM,Footprint area (nm²),3808.631122847682,0.013803957134325721
MBE3-260408A-MM ,Substrate temperature (°C),393.0,0.08406207452079374
MBE3-260408A-MM ,Bi surfactant,0.0,0.08838250881583343
MBE3-260408A-MM ,In/Ga ratio,0.17808219178082196,-0.82047712257984
MBE3-260408A-MM ,V/III ratio,2.57029702970297,0.18769804574583332
MBE3-260408A-MM ,Mean max height (nm),3.969112,-0.11682760816250015
MBE3-260408A-MM ,Footprint area (nm²),1411.8336150662449,-0.057428698340118954
MBE3-260410A-MM ,Substrate temperature (°C),393.0,0.11897535705174618
MBE3-260410A-MM ,Bi surfactant,1.0,-0.18173784357034387
MBE3-260410A-MM ,In/Ga ratio,0.44943820224719117,0.5172377847595107
MBE3-260410A-MM ,V/III ratio,3.120356612184249,0.1566231960070503
MBE3-260410A-MM ,Mean max height (nm),6.375874,0.1009819444101984
MBE3-260410A-MM ,Footprint area (nm²),2569.231577517128,0.07114576134183868
MBE3-260410B-MM ,Substrate temperature (°C),393.0,0.13687666883912708
MBE3-260410B-MM ,Bi surfactant,0.0,0.2936791220446422
MBE3-260410B-MM ,In/Ga ratio,0.44943820224719117,0.6100197350952377
MBE3-260410B-MM ,V/III ratio,3.120356612184249,0.1983832153344841
MBE3-260410B-MM ,Mean max height (nm),6.902779,0.10860270338940468
MBE3-260410B-MM ,Footprint area (nm²),3711.149600311634,0.05499475529710307
MBE3-260414A-MM ,Substrate temperature (°C),380.0,0.10655442717666676
MBE3-260414A-MM ,Bi surfactant,0.0,0.09187809442615083
MBE3-260414A-MM ,In/Ga ratio,0.25242718446601947,-0.5130704477564296
MBE3-260414A-MM ,V/III ratio,2.419482785974933,0.2050431100983732
MBE3-260414A-MM ,Mean max height (nm),3.660831,-0.11367614634630961
MBE3-260414A-MM ,Footprint area (nm²),2143.36740115672,0.09319316240154756
MBE3-260512A-MM,Substrate temperature (°C),393.0,0.10770665847738113
MBE3-260512A-MM,Bi surfactant,1.0,-0.20703107392679934
MBE3-260512A-MM,In/Ga ratio,0.44943820224719117,0.4579734902841004
MBE3-260512A-MM,V/III ratio,2.79,0.16198269303412713
MBE3-260512A-MM,Mean max height (nm),11.021491,-0.018502205611878132
MBE3-260512A-MM,Footprint area (nm²),5298.990871575628,-0.07766136225693088
MBE3-260527A-MM,Substrate temperature (°C),393.0,0.12211400945407415
MBE3-260527A-MM,Bi surfactant,1.0,-0.15016936411468237
MBE3-260527A-MM,In/Ga ratio,0.44943820224719117,0.5156724552350926
MBE3-260527A-MM,V/III ratio,2.59,0.19324612576004005
MBE3-260527A-MM,Mean max height (nm),6.311286,0.12809480819408742
MBE3-260527A-MM,Footprint area (nm²),2214.36444697432,0.10264216547138928
MBE3-260528C-MM,Substrate temperature (°C),402.0,-0.29669418505812145
MBE3-260528C-MM,Bi surfactant,1.0,-0.07907137431828037
MBE3-260528C-MM,In/Ga ratio,0.3205317577548006,-0.3600942186800261
MBE3-260528C-MM,V/III ratio,3.42,-0.193148178577037
MBE3-260528C-MM,Mean max height (nm),10.990097,-0.002015160478703563
MBE3-260528C-MM,Footprint area (nm²),5332.176768668501,-0.0473116828878305
