Sample,Feature,Feature Value,SHAP Value
MBE3-250620A-GG,Substrate temperature (°C),400.0,-0.0005888306486111117
MBE3-250620A-GG,Bi surfactant,0.0,-0.18517609583590186
MBE3-250620A-GG,In/Ga ratio,0.0,-0.0029381093665674686
MBE3-250620A-GG,V/III ratio,3.5,0.02975222208180115
MBE3-250620A-GG,Mean max height (nm),3.06975,-0.051696652111033824
MBE3-250620A-GG,Footprint area (nm²),909.6180613161199,-0.04034603411968694
MBE3-250703A-GG,Substrate temperature (°C),400.0,-0.0013646443430555578
MBE3-250703A-GG,Bi surfactant,0.0,-0.18759269834988984
MBE3-250703A-GG,In/Ga ratio,0.0,-0.003952317022453716
MBE3-250703A-GG,V/III ratio,3.5,0.025151425212951953
MBE3-250703A-GG,Mean max height (nm),2.827881,-0.05796274692945312
MBE3-250703A-GG,Footprint area (nm²),537.640596814752,-0.04833551856809965
MBE3-260303A-MM,Substrate temperature (°C),393.0,0.008734493926587305
MBE3-260303A-MM,Bi surfactant,0.0,0.1955230338102822
MBE3-260303A-MM,In/Ga ratio,0.44943820224719117,-0.04450050390507496
MBE3-260303A-MM,V/III ratio,2.588875340024388,-0.0034500565484634005
MBE3-260303A-MM,Mean max height (nm),8.861960917948718,0.02281974061801815
MBE3-260303A-MM,Footprint area (nm²),3808.631122847682,0.013164792098650818
MBE3-260408A-MM ,Substrate temperature (°C),393.0,-0.006493494691726191
MBE3-260408A-MM ,Bi surfactant,0.0,-0.2762053490098543
MBE3-260408A-MM ,In/Ga ratio,0.17808219178082196,-0.020794186221917976
MBE3-260408A-MM ,V/III ratio,2.57029702970297,-0.009888229688981504
MBE3-260408A-MM ,Mean max height (nm),3.969112,-0.10258528582052914
MBE3-260408A-MM ,Footprint area (nm²),1411.8336150662449,-0.14280795456699075
MBE3-260410A-MM ,Substrate temperature (°C),393.0,0.011421639507321424
MBE3-260410A-MM ,Bi surfactant,1.0,0.22447913670218939
MBE3-260410A-MM ,In/Ga ratio,0.44943820224719117,0.05665330401674601
MBE3-260410A-MM ,V/III ratio,3.120356612184249,0.018426845066210257
MBE3-260410A-MM ,Mean max height (nm),6.375874,0.11976402043443778
MBE3-260410A-MM ,Footprint area (nm²),2569.231577517128,0.08524855427309513
MBE3-260410B-MM ,Substrate temperature (°C),393.0,0.010641235654265871
MBE3-260410B-MM ,Bi surfactant,0.0,0.2226499042345351
MBE3-260410B-MM ,In/Ga ratio,0.44943820224719117,0.061746478723112924
MBE3-260410B-MM ,V/III ratio,3.120356612184249,0.005529004135742975
MBE3-260410B-MM ,Mean max height (nm),6.902779,0.08828606291948639
MBE3-260410B-MM ,Footprint area (nm²),3711.149600311634,0.0479938143328572
MBE3-260414A-MM ,Substrate temperature (°C),380.0,-0.0063099271227579235
MBE3-260414A-MM ,Bi surfactant,0.0,-0.21391801050696632
MBE3-260414A-MM ,In/Ga ratio,0.25242718446601947,0.0004813790694709164
MBE3-260414A-MM ,V/III ratio,2.419482785974933,0.02013365461638444
MBE3-260414A-MM ,Mean max height (nm),3.660831,-0.007633849783262819
MBE3-260414A-MM ,Footprint area (nm²),2143.36740115672,-0.07047874627286818
MBE3-260512A-MM,Substrate temperature (°C),393.0,0.009771248618214282
MBE3-260512A-MM,Bi surfactant,1.0,0.20475257527297402
MBE3-260512A-MM,In/Ga ratio,0.44943820224719117,0.014230819892954192
MBE3-260512A-MM,V/III ratio,2.79,0.004421883186133166
MBE3-260512A-MM,Mean max height (nm),11.021491,0.030002664898752297
MBE3-260512A-MM,Footprint area (nm²),5298.990871575628,0.07713830813097214
MBE3-260527A-MM,Substrate temperature (°C),393.0,0.011949521319960308
MBE3-260527A-MM,Bi surfactant,1.0,0.24829569779406763
MBE3-260527A-MM,In/Ga ratio,0.44943820224719117,0.007005236453915362
MBE3-260527A-MM,V/III ratio,2.59,0.013510662570754
MBE3-260527A-MM,Mean max height (nm),6.311286,0.20622944717785702
MBE3-260527A-MM,Footprint area (nm²),2214.36444697432,0.11165193468344561
MBE3-260528C-MM,Substrate temperature (°C),402.0,-0.03181923220750002
MBE3-260528C-MM,Bi surfactant,1.0,-0.29945077615760607
MBE3-260528C-MM,In/Ga ratio,0.3205317577548006,-0.02719247898931218
MBE3-260528C-MM,V/III ratio,3.42,-0.0870527824076983
MBE3-260528C-MM,Mean max height (nm),10.990097,-0.13750577224628974
MBE3-260528C-MM,Footprint area (nm²),5332.176768668501,-0.13952045799159388
