#	z_max	A_0	V_L	D_min	D_max	M_min	M_max
9.86923e-10	4.19617e-17	8.80237e-28	5.85937e-09	9.76562e-09	5.97483e-09	9.38902e-09
1.14641e-09	1.14441e-17	5.21748e-28	3.90625e-09	5.52427e-09	2.73135e-09	4.95057e-09
1.47964e-09	1.60217e-16	7.38481e-26	1.17187e-08	1.74693e-08	1.17789e-08	1.69002e-08
1.80453e-09	1.52588e-16	8.43584e-26	1.36719e-08	1.66875e-08	1.19497e-08	1.62174e-08
8.86772e-10	1.90735e-17	2.77673e-28	3.90625e-09	7.04209e-09	3.92632e-09	6.65767e-09
1.12487e-09	4.95911e-17	6.93014e-27	5.85937e-09	1.05179e-08	5.80412e-09	1.00719e-08
9.60099e-10	1.52588e-17	-8.2623e-28	3.90625e-09	6.17632e-09	3.92632e-09	5.97483e-09
3.70798e-09	3.62396e-16	7.57112e-25	1.95312e-08	2.54656e-08	1.80952e-08	2.47529e-08
1.40394e-09	3.43323e-17	5.2535e-27	5.85937e-09	8.73464e-09	4.77986e-09	8.02334e-09
4.39863e-09	6.21796e-16	1.57251e-24	2.70774e-08	3.32605e-08	2.49236e-08	3.17519e-08
4.07205e-09	4.99725e-16	1.05379e-24	2.34375e-08	2.81684e-08	2.35579e-08	2.71428e-08
1.00618e-09	1.14441e-17	6.57753e-30	3.90625e-09	5.52427e-09	2.73135e-09	4.95057e-09
9.16649e-10	1.14441e-17	1.28228e-29	3.90625e-09	5.52427e-09	2.73135e-09	4.95057e-09
3.7204e-09	6.06537e-16	1.32409e-24	2.48592e-08	3.49386e-08	2.33872e-08	3.38005e-08
1.25859e-09	3.43323e-17	1.68749e-27	5.85937e-09	8.28641e-09	5.97483e-09	8.36476e-09
1.05817e-09	4.95911e-17	1.46838e-27	7.8125e-09	9.76562e-09	6.31625e-09	9.0476e-09
1.2236e-09	4.19617e-17	4.46993e-27	5.85937e-09	9.76562e-09	5.97483e-09	9.38902e-09
1.07158e-09	2.67029e-17	1.93616e-27	5.85937e-09	7.04209e-09	4.95057e-09	6.82838e-09
4.08547e-09	3.20435e-16	6.7147e-25	1.95312e-08	2.27772e-08	1.82659e-08	2.16801e-08
1.07004e-09	4.19617e-17	2.98482e-27	7.8125e-09	8.73464e-09	6.31625e-09	8.36476e-09
4.43488e-09	6.37054e-16	1.55209e-24	2.53906e-08	3.32031e-08	2.54357e-08	3.17519e-08
2.73549e-09	3.50952e-16	4.77887e-25	1.95312e-08	2.53906e-08	1.77538e-08	2.50943e-08
1.24124e-09	4.95911e-17	1.16594e-26	7.8125e-09	9.76562e-09	6.31625e-09	9.0476e-09
9.20689e-10	7.62939e-18	4.35876e-28	1.95312e-09	4.36732e-09	1.8778e-09	4.26773e-09
9.76025e-10	3.8147e-18	3.23886e-28	1.95312e-09	2.76214e-09	1.8778e-09	2.90206e-09
2.93774e-09	3.20435e-16	5.50188e-25	1.75781e-08	2.35997e-08	1.74124e-08	2.23629e-08
1.16587e-09	2.28882e-17	1.14744e-27	5.52427e-09	7.04209e-09	4.09703e-09	6.31625e-09
3.02763e-09	2.28882e-16	2.13488e-25	1.51917e-08	2.22691e-08	1.24618e-08	2.1168e-08
