#	z_max	A_0	V_L	D_min	D_max	M_min	M_max
9.86923e-10	1.14441e-17	-6.60721e-28	3.90625e-09	5.52427e-09	2.73135e-09	4.95057e-09
9.72529e-10	7.62939e-18	5.27668e-28	1.95312e-09	4.36732e-09	1.8778e-09	4.26773e-09
1.16373e-09	2.28882e-17	3.84962e-27	3.90625e-09	7.04209e-09	3.92632e-09	6.65767e-09
1.14641e-09	3.43323e-17	5.6193e-27	5.85937e-09	8.73464e-09	4.77986e-09	8.02334e-09
1.47964e-09	1.56403e-16	7.27688e-26	1.17187e-08	1.74693e-08	1.17789e-08	1.69002e-08
1.80453e-09	1.56403e-16	9.74131e-26	1.17187e-08	1.68014e-08	1.16082e-08	1.65588e-08
1.15029e-09	1.52588e-17	2.71771e-27	3.90625e-09	6.17632e-09	3.92632e-09	5.97483e-09
8.86772e-10	7.62939e-18	4.22313e-28	1.95312e-09	4.36732e-09	1.8778e-09	4.26773e-09
1.12487e-09	7.62939e-17	1.56473e-26	7.8125e-09	1.3102e-08	6.65767e-09	1.22911e-08
1.01967e-09	3.05176e-17	4.38056e-27	3.90625e-09	1.05179e-08	3.92632e-09	1.00719e-08
1.05303e-09	1.52588e-17	1.65385e-27	3.90625e-09	5.52427e-09	3.92632e-09	5.63341e-09
1.17886e-09	2.28882e-17	3.73512e-27	3.90625e-09	7.04209e-09	3.92632e-09	6.65767e-09
1.04213e-09	3.43323e-17	4.17167e-27	5.85937e-09	8.73464e-09	4.77986e-09	8.02334e-09
1.34071e-09	4.57764e-17	6.66346e-27	5.85937e-09	1.05179e-08	5.97483e-09	9.73043e-09
3.70798e-09	3.0899e-16	6.61932e-25	1.92162e-08	2.38409e-08	1.60467e-08	2.25336e-08
1.40394e-09	5.72205e-17	2.31404e-26	7.8125e-09	1.05179e-08	7.51121e-09	1.00719e-08
4.39863e-09	5.30243e-16	1.40307e-24	2.4457e-08	3.08816e-08	2.21922e-08	3.03863e-08
4.07205e-09	4.00543e-16	8.62654e-25	2.14844e-08	2.54656e-08	1.98023e-08	2.49236e-08
1.01356e-09	5.72205e-17	2.54054e-27	5.85937e-09	1.48746e-08	3.92632e-09	1.41689e-08
1.10014e-09	1.90735e-17	2.15082e-27	3.90625e-09	7.04209e-09	3.92632e-09	6.65767e-09
3.7204e-09	5.34058e-16	1.15456e-24	2.14844e-08	3.41657e-08	2.03144e-08	3.38005e-08
1.25859e-09	4.95911e-17	8.35663e-27	7.8125e-09	9.76562e-09	5.97483e-09	9.38902e-09
1.18668e-09	1.90735e-17	2.66223e-27	3.90625e-09	7.04209e-09	3.92632e-09	6.65767e-09
1.05946e-09	6.86646e-17	5.36002e-27	7.8125e-09	1.23526e-08	6.14554e-09	1.21204e-08
1.07587e-09	3.8147e-18	4.67102e-28	1.95312e-09	2.76214e-09	1.8778e-09	2.90206e-09
1.4185e-09	6.48499e-17	2.04801e-26	7.8125e-09	1.13886e-08	7.51121e-09	1.0584e-08
1.07158e-09	4.57764e-17	6.69647e-27	5.85937e-09	1.05179e-08	5.97483e-09	9.73043e-09
4.08547e-09	2.59399e-16	5.80174e-25	1.75781e-08	2.0762e-08	1.57053e-08	1.96316e-08
1.14307e-09	4.57764e-17	6.71367e-27	5.85937e-09	9.76562e-09	5.97483e-09	9.73043e-09
4.43488e-09	5.56946e-16	1.50547e-24	2.53906e-08	2.98132e-08	2.33872e-08	2.88499e-08
2.73549e-09	3.05176e-16	4.02287e-25	1.5625e-08	2.47053e-08	1.57053e-08	2.42407e-08
1.24124e-09	5.34058e-17	1.26905e-26	7.8125e-09	9.76562e-09	7.68192e-09	9.0476e-09
9.73125e-10	2.67029e-17	1.30135e-27	5.85937e-09	7.04209e-09	4.95057e-09	6.82838e-09
1.07643e-09	1.14441e-17	7.74814e-28	1.95312e-09	6.17632e-09	1.8778e-09	5.97483e-09
9.76025e-10	1.90735e-17	1.45798e-27	1.95312e-09	9.95902e-09	1.8778e-09	9.73043e-09
2.93774e-09	2.86102e-16	4.44855e-25	1.5625e-08	2.28607e-08	1.55346e-08	2.23629e-08
1.38704e-09	3.8147e-17	6.34821e-27	6.90534e-09	8.73464e-09	5.4627e-09	8.19405e-09
9.63428e-10	3.8147e-18	3.66717e-28	1.95312e-09	2.76214e-09	1.8778e-09	2.90206e-09
3.13704e-09	4.04358e-16	6.71306e-25	2.0716e-08	2.79645e-08	1.92902e-08	2.68014e-08
1.21847e-09	8.39233e-17	1.06728e-26	7.8125e-09	1.48746e-08	7.68192e-09	1.41689e-08
3.61728e-09	3.66211e-16	6.80569e-25	1.95312e-08	2.54656e-08	1.79245e-08	2.45822e-08
1.0571e-09	3.8147e-17	3.68638e-27	5.85937e-09	8.73464e-09	5.80412e-09	8.02334e-09
1.02072e-09	2.67029e-17	1.48221e-27	5.85937e-09	7.04209e-09	4.95057e-09	6.82838e-09
1.17675e-09	2.67029e-17	3.86074e-27	5.85937e-09	8.28641e-09	3.75561e-09	7.51121e-09
2.01659e-09	2.32697e-16	1.5099e-25	1.63209e-08	2.22691e-08	1.26325e-08	2.1168e-08
3.33163e-09	5.22614e-16	9.41907e-25	2.34375e-08	3.20336e-08	2.20215e-08	3.08984e-08
1.35743e-09	7.62939e-17	1.36158e-26	7.86118e-09	1.68014e-08	4.60915e-09	1.57053e-08
4.51932e-09	6.79016e-16	1.72902e-24	2.73437e-08	3.41657e-08	2.54357e-08	3.24348e-08
1.25172e-09	6.86646e-17	1.8959e-26	7.8125e-09	1.13886e-08	7.68192e-09	1.0584e-08
1.28394e-09	7.24792e-17	1.40397e-26	7.8125e-09	1.25061e-08	7.85263e-09	1.17789e-08
1.10271e-09	5.34058e-17	1.03378e-26	7.8125e-09	1.05179e-08	6.65767e-09	1.00719e-08
8.39364e-10	1.14441e-17	-4.06032e-29	3.90625e-09	5.52427e-09	2.73135e-09	4.95057e-09
2.98204e-09	3.66211e-16	6.14523e-25	1.95312e-08	2.65654e-08	1.77538e-08	2.54357e-08
1.50849e-09	1.90735e-16	5.8927e-26	1.36719e-08	1.92361e-08	1.16082e-08	1.86073e-08
3.50538e-09	3.35693e-16	6.3761e-25	1.75781e-08	2.56893e-08	1.57053e-08	2.56064e-08
1.88514e-09	2.25067e-16	1.37918e-25	1.36719e-08	2.10358e-08	1.36568e-08	2.01437e-08
1.09611e-09	7.62939e-18	1.00575e-27	1.95312e-09	4.36732e-09	1.8778e-09	4.26773e-09
3.0884e-09	4.57764e-16	7.12177e-25	2.14844e-08	2.72039e-08	2.15094e-08	2.62892e-08
4.49839e-09	4.31061e-16	1.04047e-24	2.27101e-08	2.72039e-08	1.9973e-08	2.62892e-08
9.9859e-10	3.8147e-18	2.77951e-28	1.95312e-09	2.76214e-09	1.8778e-09	2.90206e-09
1.89574e-09	2.09808e-16	1.23468e-25	1.5625e-08	2.01087e-08	1.36568e-08	1.94609e-08
1.02757e-09	1.14441e-17	1.17099e-27	3.90625e-09	5.52427e-09	2.73135e-09	4.95057e-09
1.03419e-09	2.28882e-17	2.05778e-28	3.90625e-09	8.05294e-09	3.92632e-09	7.68192e-09
3.02151e-09	2.89917e-16	3.94657e-25	1.92162e-08	2.22691e-08	1.65588e-08	2.20215e-08
1.26416e-09	2.67029e-17	8.48275e-27	5.85937e-09	7.04209e-09	4.95057e-09	6.82838e-09
1.13619e-09	1.14441e-17	1.86218e-27	1.95312e-09	6.17632e-09	1.8778e-09	5.97483e-09
9.82095e-10	1.52588e-17	1.12768e-27	3.90625e-09	5.52427e-09	3.92632e-09	5.63341e-09
9.49259e-10	1.14441e-17	6.78251e-28	3.90625e-09	5.52427e-09	2.73135e-09	4.95057e-09
1.33539e-09	9.53674e-17	2.78333e-26	9.76562e-09	1.48746e-08	8.36476e-09	1.48517e-08
1.16221e-09	8.7738e-17	2.00933e-26	9.76562e-09	1.25061e-08	9.73043e-09	1.22911e-08
1.52194e-09	6.48499e-17	2.96544e-26	7.8125e-09	1.13886e-08	7.51121e-09	1.0584e-08
1.08297e-09	3.8147e-17	4.65082e-27	5.85937e-09	8.73464e-09	5.80412e-09	8.02334e-09
1.46022e-09	9.91821e-17	3.32897e-26	9.76562e-09	1.57466e-08	9.0476e-09	1.4681e-08
1.10075e-09	5.34058e-17	3.3403e-27	5.85937e-09	1.23526e-08	5.80412e-09	1.17789e-08
4.66914e-09	6.2561e-16	1.67494e-24	2.76214e-08	3.25065e-08	2.5265e-08	3.15812e-08
4.79382e-09	5.07355e-16	1.28011e-24	2.34375e-08	2.97491e-08	2.21922e-08	2.88499e-08
2.80335e-09	2.89917e-16	4.02111e-25	1.95312e-08	2.11263e-08	1.69002e-08	2.03144e-08
1.33483e-09	5.72205e-17	1.45611e-26	7.8125e-09	1.10485e-08	7.85263e-09	1.10961e-08
1.01125e-09	4.95911e-17	3.45128e-27	5.85937e-09	1.05179e-08	5.80412e-09	1.00719e-08
1.07712e-09	7.62939e-18	9.79856e-28	1.95312e-09	4.36732e-09	1.8778e-09	4.26773e-09
9.89403e-10	2.67029e-17	2.13237e-27	5.52427e-09	8.28641e-09	2.90206e-09	8.36476e-09
9.41581e-10	1.52588e-17	1.65946e-27	3.90625e-09	5.52427e-09	3.92632e-09	5.63341e-09
1.19566e-09	9.15527e-17	1.24937e-26	7.8125e-09	1.61059e-08	5.80412e-09	1.57053e-08
3.99307e-09	4.99725e-16	1.12273e-24	2.14844e-08	3.05712e-08	2.15094e-08	2.95327e-08
8.31614e-10	3.8147e-18	4.33966e-29	1.95312e-09	2.76214e-09	1.8778e-09	2.90206e-09
1.00147e-09	4.19617e-17	1.03648e-27	5.55869e-09	1.23526e-08	2.73135e-09	1.19497e-08
9.26816e-10	7.62939e-18	1.08537e-28	1.95312e-09	4.36732e-09	1.8778e-09	4.26773e-09
3.29386e-09	2.32697e-16	3.72118e-25	1.65728e-08	1.95312e-08	1.38275e-08	1.94609e-08
1.32504e-09	9.91821e-17	2.59776e-26	9.76562e-09	1.4219e-08	9.73043e-09	1.36568e-08
1.05683e-09	1.14441e-17	3.92278e-28	3.90625e-09	5.52427e-09	2.73135e-09	4.95057e-09
1.0968e-09	3.8147e-17	6.20808e-27	5.85937e-09	9.76562e-09	4.43844e-09	9.0476e-09
2.35531e-09	2.13623e-16	2.00488e-25	1.5625e-08	1.95312e-08	1.41689e-08	1.89487e-08
