#	z_max	r_eq	V_L
6.452e-09	3.69599e-08	2.06561e-23
5.75361e-09	2.58426e-08	8.29767e-24
1.68337e-08	4.37316e-08	5.45983e-23
9.77382e-09	5.10945e-08	5.93053e-23
1.2684e-08	3.61293e-08	2.89546e-23
5.63976e-09	2.52485e-08	7.74031e-24
4.7173e-09	4.19604e-08	1.27859e-23
1.29143e-08	4.77151e-08	5.84895e-23
1.91559e-08	4.40773e-08	5.96334e-23
2.09556e-08	4.64253e-08	7.07783e-23
1.31944e-08	4.04876e-08	3.76205e-23
1.02988e-08	4.37316e-08	3.95169e-23
1.45472e-08	4.23205e-08	4.50342e-23
5.66139e-09	4.12305e-08	2.19993e-23
3.47695e-09	1.10193e-08	2.73399e-25
6.63855e-09	3.52791e-08	1.68964e-23
7.613e-09	4.04876e-08	2.67374e-23
1.04275e-08	5.34182e-08	6.75856e-23
1.22738e-08	4.30319e-08	4.18711e-23
1.31715e-08	4.12305e-08	4.10556e-23
3.39434e-09	9.54302e-09	1.75175e-25
1.40929e-08	4.73959e-08	6.0104e-23
1.58073e-08	3.89592e-08	3.76944e-23
4.27666e-09	2.33755e-08	4.1679e-24
5.67385e-09	3.11674e-08	1.00336e-23
3.32211e-09	1.98654e-08	6.77271e-25
1.4753e-08	4.47607e-08	5.12911e-23
1.07655e-08	4.33831e-08	4.04493e-23
7.17541e-09	3.21266e-08	1.73423e-23
1.40913e-08	3.93469e-08	3.47419e-23
1.86899e-08	4.04876e-08	4.40085e-23
1.86066e-08	4.33831e-08	5.47663e-23
1.98848e-08	4.04876e-08	4.60374e-23
1.50065e-08	3.39638e-08	2.72518e-23
5.96505e-09	3.3058e-08	1.24993e-23
5.68424e-09	3.16506e-08	1.13531e-23
1.27469e-08	3.97308e-08	3.57574e-23
1.68105e-08	4.98921e-08	7.58499e-23
1.49153e-08	3.77724e-08	3.25384e-23
1.10396e-08	3.57067e-08	2.78962e-23
4.26063e-09	2.86291e-08	6.62921e-24
1.8488e-08	5.22693e-08	9.0039e-23
4.49495e-09	3.16506e-08	6.67468e-24
3.46842e-09	1.55837e-08	7.89068e-25
4.5863e-09	2.464e-08	3.49909e-24
1.50288e-08	4.30319e-08	4.85561e-23
8.74937e-09	4.40773e-08	3.68411e-23
1.31666e-08	3.48462e-08	2.69278e-23
2.94442e-09	5.50966e-09	1.18149e-26
1.44615e-08	4.30319e-08	4.69587e-23
1.14515e-08	3.57067e-08	2.50777e-23
2.12578e-08	4.26777e-08	5.45557e-23
1.37223e-08	3.39638e-08	2.23549e-23
7.72638e-09	4.0111e-08	2.49011e-23
9.08989e-09	3.3514e-08	1.23664e-23
1.12659e-08	3.57067e-08	2.46623e-23
9.38636e-09	4.64253e-08	4.30654e-23
9.14462e-09	3.48462e-08	1.34576e-23
7.80054e-09	3.93469e-08	2.61358e-23
4.45139e-09	2.86291e-08	6.72234e-24
9.20785e-09	3.21266e-08	1.7285e-23
3.64158e-09	9.54302e-09	2.37216e-25
1.67863e-08	3.85676e-08	3.79121e-23
6.91553e-09	3.6547e-08	1.98578e-23
1.03695e-08	3.44078e-08	2.29e-23
3.75591e-09	1.55837e-08	7.95935e-25
9.00414e-09	2.20387e-08	8.22161e-24
1.59775e-08	4.30319e-08	4.81818e-23
3.91181e-09	2.06153e-08	1.73716e-24
