#	z_max	A_0	V_L	D_min	D_max	M_min	M_max
6.452e-09	4.29153e-15	2.06561e-23	6.83594e-08	9.00346e-08	6.06018e-08	8.62082e-08
5.75361e-09	2.09808e-15	8.29767e-24	3.90625e-08	6.55098e-08	3.92632e-08	6.14554e-08
1.68337e-08	6.00815e-15	5.45983e-23	6.83594e-08	1.09183e-07	6.82838e-08	1.0584e-07
9.77382e-09	8.2016e-15	5.93053e-23	8.78906e-08	1.19205e-07	8.79153e-08	1.13522e-07
1.2684e-08	4.1008e-15	2.89546e-23	5.85937e-08	8.73464e-08	5.80412e-08	8.45011e-08
5.63976e-09	2.00272e-15	7.74031e-24	4.88281e-08	6.25305e-08	4.26773e-08	6.14554e-08
4.7173e-09	5.53131e-15	1.27859e-23	5.85937e-08	1.09183e-07	5.88947e-08	1.04133e-07
1.29143e-08	7.15256e-15	5.84895e-23	7.8125e-08	1.17998e-07	6.82838e-08	1.16082e-07
1.91559e-08	6.10352e-15	5.96334e-23	7.8125e-08	1.00543e-07	7.76728e-08	9.55973e-08
2.09556e-08	6.77109e-15	7.07783e-23	7.8125e-08	1.09183e-07	7.85263e-08	1.04986e-07
1.31944e-08	5.14984e-15	3.76205e-23	7.8125e-08	9.76562e-08	7.3405e-08	9.47437e-08
1.02988e-08	6.00815e-15	3.95169e-23	8.78906e-08	9.76562e-08	7.85263e-08	9.64508e-08
1.45472e-08	5.62668e-15	4.50342e-23	7.8125e-08	9.61803e-08	7.85263e-08	9.47437e-08
5.66139e-09	5.34058e-15	2.19993e-23	4.88281e-08	1.23526e-07	4.86522e-08	1.17789e-07
3.47695e-09	3.8147e-16	2.73399e-25	1.95312e-08	2.76214e-08	1.96316e-08	2.8167e-08
6.63855e-09	3.91006e-15	1.68964e-23	3.90625e-08	1.11345e-07	3.92632e-08	1.084e-07
7.613e-09	5.14984e-15	2.67374e-23	6.83594e-08	1.00543e-07	6.82838e-08	9.30366e-08
1.04275e-08	8.96454e-15	6.75856e-23	7.8125e-08	1.4219e-07	6.82838e-08	1.38275e-07
1.22738e-08	5.81741e-15	4.18711e-23	6.83594e-08	1.05179e-07	6.82838e-08	1.01572e-07
