#	z_max	A_0	V_L	D_min	D_max	M_min	M_max
1.36893e-08	1.04904e-15	6.25659e-24	1.95313e-08	6.17632e-08	1.8778e-08	6.06018e-08
4.72671e-09	4.76837e-15	1.61503e-23	5.85938e-08	1.05179e-07	5.03593e-08	1.00719e-07
3.36996e-09	3.05176e-15	6.72739e-24	5.85938e-08	7.6272e-08	4.26773e-08	7.42586e-08
2.48908e-09	7.62939e-16	1.30508e-24	2.92969e-08	4.1432e-08	2.8167e-08	4.18238e-08
1.43883e-08	6.77109e-15	7.15199e-23	7.8125e-08	1.14304e-07	6.82838e-08	1.10961e-07
3.86161e-09	3.05176e-15	7.70996e-24	4.88281e-08	7.8733e-08	4.86522e-08	7.42586e-08
1.64322e-08	3.62396e-15	3.37024e-23	5.85938e-08	8.28641e-08	5.88947e-08	8.36476e-08
3.57217e-09	5.72205e-16	1.21808e-24	1.95313e-08	3.52105e-08	1.96316e-08	3.32883e-08
2.70227e-09	1.04904e-15	1.8117e-24	3.45267e-08	4.88281e-08	2.47529e-08	4.60915e-08
1.93282e-09	3.8147e-16	3.65731e-25	1.95313e-08	2.76214e-08	1.96316e-08	2.8167e-08
2.88176e-09	1.71661e-15	3.3434e-24	3.90625e-08	6.25305e-08	3.67025e-08	5.97483e-08
1.96435e-08	2.76566e-15	2.67429e-23	4.88281e-08	7.6272e-08	4.86522e-08	7.42586e-08
3.6036e-09	2.00272e-15	4.44856e-24	4.80405e-08	7.6272e-08	3.15812e-08	6.99908e-08
2.28602e-09	3.8147e-16	3.16192e-25	1.95313e-08	3.08816e-08	1.96316e-08	2.98741e-08
4.34867e-09	3.33786e-15	9.17637e-24	4.88281e-08	9.26449e-08	4.5238e-08	8.96224e-08
2.46788e-09	2.86102e-16	2.56359e-25	9.76563e-09	3.08816e-08	9.38902e-09	2.98741e-08
8.48942e-09	4.19617e-15	2.76578e-23	5.85938e-08	9.21287e-08	4.86522e-08	8.87689e-08
1.39387e-08	3.33786e-15	2.73234e-23	5.85938e-08	8.40071e-08	4.86522e-08	7.85263e-08
2.5965e-09	1.04904e-15	1.3647e-24	2.92969e-08	4.88281e-08	2.98741e-08	4.69451e-08
1.11889e-08	5.62668e-15	4.46999e-23	6.83594e-08	1.00543e-07	6.91373e-08	9.81579e-08
2.39663e-09	4.76837e-16	5.80864e-25	1.95313e-08	3.52105e-08	1.96316e-08	3.32883e-08
3.38221e-09	2.09808e-15	4.35473e-24	4.88281e-08	6.25305e-08	4.18238e-08	5.71876e-08
3.88372e-09	3.43323e-15	9.64193e-24	5.85938e-08	8.40071e-08	4.95057e-08	7.85263e-08
8.06015e-09	4.48227e-15	2.62671e-23	5.85938e-08	9.76563e-08	5.80412e-08	9.55973e-08
1.65069e-09	2.86102e-16	2.03882e-25	1.95313e-08	2.76214e-08	1.36568e-08	2.47529e-08
6.66755e-09	3.91006e-15	1.90839e-23	5.85938e-08	9.00346e-08	5.88947e-08	8.62082e-08
5.46677e-09	4.00543e-15	1.47911e-23	5.85938e-08	9.61803e-08	4.95057e-08	9.13295e-08
6.28267e-09	4.76837e-15	1.98213e-23	6.83594e-08	9.21287e-08	5.88947e-08	9.0476e-08
4.43475e-09	2.09808e-15	5.72828e-24	3.90625e-08	6.55098e-08	3.84096e-08	6.14554e-08
3.8222e-09	1.62125e-15	3.56228e-24	4.80405e-08	5.69429e-08	3.15812e-08	5.71876e-08
1.10267e-08	3.24249e-15	2.42831e-23	5.85938e-08	8.28641e-08	5.63341e-08	8.27941e-08
1.08397e-08	4.00543e-15	2.8484e-23	5.85938e-08	9.76563e-08	4.95057e-08	9.30366e-08
2.55783e-09	4.76837e-16	6.18182e-25	1.95313e-08	3.52105e-08	1.96316e-08	3.32883e-08
2.25857e-09	2.86102e-16	2.03898e-25	1.95313e-08	2.76214e-08	1.36568e-08	2.47529e-08
2.91985e-09	1.04904e-15	1.83528e-24	2.92969e-08	4.88281e-08	2.98741e-08	4.69451e-08
3.38118e-09	1.23978e-15	2.31572e-24	3.90625e-08	5.69429e-08	2.90206e-08	5.29199e-08
7.06642e-09	2.95639e-15	1.45478e-23	3.90625e-08	8.73464e-08	3.92632e-08	8.45011e-08
4.05392e-09	3.8147e-15	1.11932e-23	4.88281e-08	9.26449e-08	4.86522e-08	9.13295e-08
2.01635e-08	2.95639e-15	3.02303e-23	5.85938e-08	7.04209e-08	5.54805e-08	6.82838e-08
3.62042e-09	8.58307e-16	1.91067e-24	2.92969e-08	4.36732e-08	2.04851e-08	4.26773e-08
2.80118e-09	7.62939e-16	9.29819e-25	2.92969e-08	4.1432e-08	2.8167e-08	4.18238e-08
3.18495e-09	8.58307e-16	1.56716e-24	2.92969e-08	4.1432e-08	2.98741e-08	4.18238e-08
3.07416e-09	1.33514e-15	2.31041e-24	3.90625e-08	5.52427e-08	2.8167e-08	5.54805e-08
5.25752e-09	5.62668e-15	2.07994e-23	5.85938e-08	1.13886e-07	5.80412e-08	1.12668e-07
4.45157e-09	1.81198e-15	5.01899e-24	4.88281e-08	5.69429e-08	4.09703e-08	5.63341e-08
1.06283e-08	3.52859e-15	2.65047e-23	5.85938e-08	8.28641e-08	5.88947e-08	8.27941e-08
3.99955e-09	1.04904e-15	2.30134e-24	2.92969e-08	4.88281e-08	2.98741e-08	4.69451e-08
1.3818e-08	4.1008e-15	3.94444e-23	5.85938e-08	9.21287e-08	5.80412e-08	8.62082e-08
2.18859e-09	9.53674e-17	8.21128e-26	9.76563e-09	1.38107e-08	9.38902e-09	1.45103e-08
1.16541e-08	2.57492e-15	1.93981e-23	3.90625e-08	8.05294e-08	3.92632e-08	7.85263e-08
5.76688e-09	2.09808e-15	7.52976e-24	4.88281e-08	6.90534e-08	3.92632e-08	6.23089e-08
4.55868e-09	2.47955e-15	7.33998e-24	4.88281e-08	7.04209e-08	3.92632e-08	6.65767e-08
1.17075e-08	3.91006e-15	2.93752e-23	5.85938e-08	9.00346e-08	5.88947e-08	8.62082e-08
1.03223e-08	1.90735e-15	1.20705e-23	3.90625e-08	6.25305e-08	3.84096e-08	6.23089e-08
3.05199e-09	1.04904e-15	1.61503e-24	3.90625e-08	4.36732e-08	2.90206e-08	4.26773e-08
1.19479e-08	3.52859e-15	2.5657e-23	5.85938e-08	8.28641e-08	5.80412e-08	7.93799e-08
5.51519e-09	3.24249e-15	1.23895e-23	4.88281e-08	8.40071e-08	4.86522e-08	8.02334e-08
8.76483e-09	3.14713e-15	1.95319e-23	4.88281e-08	7.8733e-08	4.86522e-08	7.42586e-08
4.03371e-09	1.90735e-15	4.8029e-24	4.88281e-08	5.69429e-08	4.09703e-08	5.54805e-08
5.49192e-09	2.76566e-15	1.06621e-23	4.88281e-08	7.6272e-08	4.86522e-08	7.42586e-08
3.00759e-09	1.33514e-15	2.5493e-24	3.90625e-08	5.52427e-08	2.8167e-08	5.54805e-08
3.32395e-09	2.95639e-15	6.89203e-24	4.88281e-08	8.73464e-08	4.01167e-08	8.45011e-08
3.32824e-09	1.81198e-15	4.0853e-24	3.90625e-08	6.25305e-08	3.84096e-08	6.14554e-08
2.8336e-09	1.04904e-15	1.96264e-24	2.92969e-08	4.88281e-08	2.98741e-08	4.69451e-08
2.07154e-08	5.05447e-15	6.37694e-23	6.83594e-08	9.76563e-08	5.88947e-08	9.64508e-08
1.24192e-09	1.90735e-16	3.74187e-26	9.76563e-09	2.18366e-08	9.38902e-09	2.13387e-08
1.18219e-09	2.86102e-16	5.69132e-26	9.76563e-09	3.08816e-08	9.38902e-09	2.98741e-08
2.68412e-09	4.76837e-16	5.82661e-25	1.95313e-08	3.52105e-08	1.96316e-08	3.32883e-08
