#	z_max	A_0	V_L	D_min	D_max	M_min	M_max
1.34362e-08	6.96182e-15	3.10804e-23	6.83594e-08	1.4219e-07	6.4016e-08	1.37421e-07
2.1929e-08	1.06812e-14	6.32889e-23	8.78906e-08	1.49385e-07	8.79153e-08	1.4681e-07
1.46693e-08	7.34329e-15	3.29627e-23	6.83594e-08	1.38107e-07	6.82838e-08	1.36568e-07
1.40071e-08	3.24249e-15	1.42372e-23	5.85937e-08	7.8733e-08	5.29199e-08	7.3405e-08
2.06989e-08	8.67844e-15	5.11613e-23	8.78906e-08	1.32827e-07	7.85263e-08	1.31446e-07
9.11094e-09	1.21117e-14	4.71139e-23	5.85937e-08	2.36199e-07	5.80412e-08	2.27043e-07
7.3912e-09	3.14713e-15	9.0728e-24	4.88281e-08	9.61803e-08	4.95057e-08	9.47437e-08
1.27552e-08	1.06812e-14	5.65549e-23	7.8125e-08	1.63702e-07	7.76728e-08	1.62174e-07
8.70862e-09	6.86646e-15	3.38653e-23	4.88281e-08	1.51603e-07	4.86522e-08	1.47664e-07
1.12573e-08	6.86646e-15	2.27171e-23	5.85937e-08	1.51603e-07	5.88947e-08	1.41689e-07
1.55051e-08	9.53674e-15	5.25621e-23	7.8125e-08	1.45176e-07	7.85263e-08	1.41689e-07
1.58982e-08	1.16348e-14	6.39421e-23	7.8125e-08	1.73047e-07	7.76728e-08	1.67295e-07
7.56128e-09	4.3869e-15	1.67469e-23	4.88281e-08	1.20794e-07	3.84096e-08	1.17789e-07
1.19676e-08	4.29153e-15	1.57096e-23	5.85937e-08	1.00543e-07	5.80412e-08	9.73043e-08
1.67802e-08	8.86917e-15	4.76089e-23	7.8125e-08	1.4219e-07	7.42586e-08	1.41689e-07
8.69712e-09	9.63211e-15	3.94042e-23	5.85937e-08	1.80069e-07	5.88947e-08	1.77538e-07
1.404e-08	4.29153e-15	2.07786e-23	5.85937e-08	9.26449e-08	5.80412e-08	8.96224e-08
1.05398e-08	8.4877e-15	4.55724e-23	7.8125e-08	1.3029e-07	7.85263e-08	1.28032e-07
6.67311e-09	1.23978e-15	3.43636e-24	2.92969e-08	5.25895e-08	2.90206e-08	5.03593e-08
1.15532e-08	8.29697e-15	4.33092e-23	8.78906e-08	1.28447e-07	8.62082e-08	1.27178e-07
1.47478e-08	8.4877e-15	4.89271e-23	8.78906e-08	1.26953e-07	8.1087e-08	1.22057e-07
1.29788e-08	4.3869e-15	2.09662e-23	5.85937e-08	9.26449e-08	5.88947e-08	9.13295e-08
1.13791e-08	6.38962e-15	3.05993e-23	7.8125e-08	1.09183e-07	7.85263e-08	1.0584e-07
6.01388e-09	2.86102e-15	8.91449e-24	5.85937e-08	7.43728e-08	4.69451e-08	7.08444e-08
5.40075e-09	3.43323e-15	1.02333e-23	5.85937e-08	8.34375e-08	5.29199e-08	8.1087e-08
1.40413e-08	9.53674e-15	4.97041e-23	6.83594e-08	1.58973e-07	6.91373e-08	1.57906e-07
5.62252e-09	2.38419e-15	6.21684e-24	3.90625e-08	7.43728e-08	3.92632e-08	7.08444e-08
1.15429e-08	8.67844e-15	3.73856e-23	6.83594e-08	1.61059e-07	5.97483e-08	1.57906e-07
1.27531e-08	3.91006e-15	1.78231e-23	5.85937e-08	8.73464e-08	5.88947e-08	8.45011e-08
1.27114e-08	8.4877e-15	4.57326e-23	9.76562e-08	1.20794e-07	9.0476e-08	1.18643e-07
9.33461e-09	2.09808e-15	7.61376e-24	2.92969e-08	8.05294e-08	2.98741e-08	7.85263e-08
9.56002e-09	9.82285e-15	4.74124e-23	6.83594e-08	1.68581e-07	6.82838e-08	1.67295e-07
1.44804e-08	7.05719e-15	3.39476e-23	7.8125e-08	1.23526e-07	6.91373e-08	1.21204e-07
1.02058e-08	6.48499e-15	2.87606e-23	6.83594e-08	1.23526e-07	5.88947e-08	1.21204e-07
1.02133e-08	4.19617e-15	1.79311e-23	5.85937e-08	9.26449e-08	5.80412e-08	9.0476e-08
1.16246e-08	1.10626e-14	6.24096e-23	8.78906e-08	1.58973e-07	8.1087e-08	1.56199e-07
9.99538e-09	7.15256e-15	3.03469e-23	5.85937e-08	1.39822e-07	5.80412e-08	1.37421e-07
1.05768e-08	5.72205e-15	2.78696e-23	5.85937e-08	1.18804e-07	5.80412e-08	1.18643e-07
1.24786e-08	1.02997e-14	5.36068e-23	7.8125e-08	1.58973e-07	7.76728e-08	1.57906e-07
