#	z_max	A_0	V_L	D_min	D_max	M_min	M_max
1.34362e-08	5.91278e-15	3.06706e-23	4.88281e-08	1.39822e-07	4.95057e-08	1.36568e-07
2.1929e-08	8.01086e-15	6.32094e-23	6.83594e-08	1.39822e-07	6.82838e-08	1.37421e-07
1.46693e-08	5.43594e-15	3.2101e-23	4.88281e-08	1.28447e-07	4.86522e-08	1.27178e-07
1.40071e-08	2.57492e-15	1.34627e-23	4.88281e-08	7.10948e-08	4.86522e-08	6.91373e-08
2.06989e-08	6.48499e-15	5.11921e-23	6.83594e-08	1.20794e-07	6.74302e-08	1.18643e-07
9.11094e-09	1.2207e-14	6.38669e-23	5.16316e-08	2.95561e-07	3.92632e-08	2.94474e-07
1.27552e-08	8.10623e-15	5.55459e-23	5.85938e-08	1.58973e-07	5.88947e-08	1.57906e-07
8.70862e-09	6.58035e-15	3.30459e-23	4.88281e-08	1.49385e-07	4.86522e-08	1.47664e-07
1.19676e-08	8.4877e-15	5.16922e-23	5.17789e-08	2.08765e-07	3.92632e-08	2.06558e-07
1.55051e-08	7.15256e-15	5.22193e-23	5.85938e-08	1.39822e-07	5.80412e-08	1.38275e-07
1.58982e-08	8.58307e-15	6.34673e-23	5.85938e-08	1.68581e-07	5.88947e-08	1.68149e-07
7.56128e-09	3.24249e-15	1.56182e-23	2.92969e-08	1.18804e-07	2.90206e-08	1.16936e-07
1.67802e-08	6.86646e-15	4.75517e-23	5.85938e-08	1.39822e-07	5.80412e-08	1.37421e-07
8.69712e-09	6.67572e-15	3.77473e-23	3.90625e-08	1.80069e-07	3.84096e-08	1.76684e-07
1.404e-08	3.24249e-15	1.9559e-23	4.88281e-08	8.34375e-08	4.86522e-08	8.1087e-08
1.05398e-08	6.77109e-15	4.39643e-23	6.83594e-08	1.20794e-07	6.82838e-08	1.17789e-07
6.67311e-09	1.14441e-15	3.96833e-24	1.95313e-08	6.17632e-08	1.96316e-08	6.06018e-08
1.15532e-08	6.58035e-15	4.28772e-23	6.83594e-08	1.17998e-07	6.91373e-08	1.16936e-07
1.47478e-08	6.00815e-15	4.80526e-23	6.83594e-08	1.09183e-07	6.82838e-08	1.0584e-07
1.29787e-08	3.24249e-15	2.07205e-23	4.88281e-08	8.34375e-08	4.86522e-08	7.85263e-08
1.13791e-08	4.673e-15	2.97975e-23	5.85938e-08	9.61803e-08	5.80412e-08	9.55973e-08
6.01388e-09	2.38419e-15	8.53746e-24	3.90625e-08	7.43728e-08	3.92632e-08	7.08444e-08
5.40075e-09	2.86102e-15	8.43408e-24	4.88281e-08	7.8733e-08	4.86522e-08	7.42586e-08
1.40413e-08	6.86646e-15	4.88173e-23	5.85938e-08	1.56555e-07	4.86522e-08	1.56199e-07
5.62805e-09	2.00272e-15	5.98101e-24	2.92969e-08	8.05294e-08	2.90206e-08	7.93799e-08
1.15429e-08	6.38962e-15	3.58908e-23	4.88281e-08	1.57466e-07	4.95057e-08	1.56199e-07
1.27531e-08	2.95639e-15	1.69548e-23	4.88281e-08	8.05294e-08	4.86522e-08	7.85263e-08
1.27114e-08	6.48499e-15	4.50699e-23	7.8125e-08	1.09183e-07	7.76728e-08	1.0584e-07
9.33461e-09	2.28882e-15	9.4705e-24	2.92969e-08	9.00346e-08	2.90206e-08	8.79153e-08
9.56002e-09	8.2016e-15	4.59123e-23	5.85938e-08	1.61059e-07	5.88947e-08	1.57906e-07
1.44804e-08	5.24521e-15	3.43523e-23	5.85938e-08	1.18804e-07	5.71876e-08	1.18643e-07
1.02058e-08	4.76837e-15	2.77577e-23	4.88281e-08	1.18804e-07	4.86522e-08	1.16936e-07
1.02133e-08	3.24249e-15	1.71084e-23	4.88281e-08	8.34375e-08	4.86522e-08	8.1087e-08
1.16246e-08	8.7738e-15	6.16465e-23	6.83594e-08	1.49385e-07	6.82838e-08	1.47664e-07
9.99538e-09	4.86374e-15	2.90078e-23	3.90625e-08	1.32827e-07	3.92632e-08	1.31446e-07
1.05768e-08	4.3869e-15	2.68205e-23	4.88281e-08	1.05179e-07	4.86522e-08	1.01572e-07
1.24786e-08	7.43866e-15	5.30149e-23	5.85938e-08	1.4219e-07	5.80412e-08	1.41689e-07
1.00337e-08	3.43323e-15	1.66113e-23	3.90625e-08	9.95902e-08	3.84096e-08	9.81579e-08
1.24062e-08	7.34329e-15	4.53943e-23	5.85938e-08	1.49385e-07	5.88947e-08	1.47664e-07
6.83267e-09	4.673e-15	2.26707e-23	5.85938e-08	9.61803e-08	5.80412e-08	9.55973e-08
8.46705e-09	6.58035e-15	3.42512e-23	5.85938e-08	1.38107e-07	5.88947e-08	1.38275e-07
7.01506e-09	8.58307e-16	2.41757e-24	2.92969e-08	4.36732e-08	2.04851e-08	4.26773e-08
9.5197e-09	1.81198e-15	8.70139e-24	3.90625e-08	6.55098e-08	3.75561e-08	6.31625e-08
1.16408e-08	2.57492e-15	1.29071e-23	4.88281e-08	7.43728e-08	4.18238e-08	7.42586e-08
1.10187e-08	5.14984e-15	2.56178e-23	4.88281e-08	1.28447e-07	4.95057e-08	1.26325e-07
6.60026e-09	2.47955e-15	9.3763e-24	3.90625e-08	8.05294e-08	3.92632e-08	7.85263e-08
7.0085e-09	1.43051e-15	5.28059e-24	3.90625e-08	5.25895e-08	3.41419e-08	5.03593e-08
5.96954e-09	9.53674e-16	2.33242e-24	2.92969e-08	4.36732e-08	2.90206e-08	4.01167e-08
3.01667e-09	7.62939e-16	6.41233e-26	1.95313e-08	5.25895e-08	1.96316e-08	5.03593e-08
7.19541e-09	1.62125e-15	5.86614e-24	2.92969e-08	6.90534e-08	2.98741e-08	6.91373e-08
9.50102e-09	4.1008e-15	2.25566e-23	4.88281e-08	9.95902e-08	4.95057e-08	9.73043e-08
1.06591e-08	2.19345e-15	1.05104e-23	3.90625e-08	7.10948e-08	3.92632e-08	7.08444e-08
1.45858e-08	3.43323e-15	2.28777e-23	5.85938e-08	7.8733e-08	5.88947e-08	7.08444e-08
1.17977e-08	2.57492e-15	1.64229e-23	4.88281e-08	7.04209e-08	4.86522e-08	6.74302e-08
