#	z_max	A_0	V_L	D_min	D_max	M_min	M_max
3.30567e-09	1.04904e-15	1.56874e-24	2.92969e-08	4.88281e-08	2.98741e-08	4.69451e-08
3.37416e-09	1.62125e-15	2.45165e-24	3.90625e-08	5.69429e-08	3.75561e-08	5.29199e-08
3.53874e-09	5.72205e-16	8.26022e-25	1.95312e-08	4.02647e-08	1.96316e-08	3.84096e-08
2.34157e-09	3.8147e-16	4.89634e-25	1.95312e-08	2.76214e-08	1.96316e-08	2.8167e-08
1.89103e-09	9.53674e-17	9.52768e-26	9.76562e-09	1.38107e-08	9.38902e-09	1.45103e-08
3.94708e-09	9.53674e-16	1.77228e-24	2.92969e-08	4.36732e-08	2.90206e-08	4.01167e-08
4.38583e-09	7.62939e-16	1.54078e-24	2.92969e-08	4.36732e-08	2.21922e-08	4.18238e-08
2.35812e-09	2.86102e-16	3.65173e-25	9.76562e-09	3.08816e-08	9.38902e-09	2.98741e-08
3.11873e-09	3.8147e-16	5.46798e-25	1.95312e-08	3.08816e-08	1.96316e-08	2.98741e-08
2.77317e-09	4.76837e-16	7.16119e-25	1.95312e-08	3.52105e-08	1.96316e-08	3.32883e-08
2.48796e-09	5.72205e-16	8.49283e-25	1.95312e-08	3.52105e-08	1.96316e-08	3.32883e-08
3.14676e-09	1.04904e-15	1.4802e-24	2.92969e-08	4.88281e-08	2.98741e-08	4.69451e-08
3.90468e-09	6.67572e-16	1.03854e-24	1.95312e-08	4.36732e-08	1.96316e-08	4.26773e-08
2.87854e-09	1.04904e-15	1.49789e-24	2.92969e-08	4.88281e-08	2.98741e-08	4.69451e-08
3.4829e-09	9.53674e-16	1.57539e-24	2.92969e-08	4.36732e-08	2.90206e-08	4.01167e-08
3.16695e-09	5.72205e-16	6.47843e-25	1.95312e-08	4.02647e-08	1.96316e-08	3.84096e-08
3.04182e-09	5.72205e-16	8.07216e-25	1.95312e-08	3.52105e-08	1.96316e-08	3.32883e-08
2.83718e-09	9.53674e-16	1.15342e-24	3.39698e-08	5.52427e-08	2.21922e-08	5.4627e-08
2.83736e-09	5.72205e-16	7.86595e-25	1.95312e-08	3.52105e-08	1.96316e-08	3.32883e-08
2.0745e-09	9.53674e-17	8.66231e-26	9.76562e-09	1.38107e-08	9.38902e-09	1.45103e-08
2.86406e-09	6.67572e-16	8.10375e-25	2.92969e-08	3.52105e-08	2.47529e-08	3.41419e-08
3.43961e-09	1.33514e-15	1.33545e-24	3.90625e-08	4.88281e-08	3.84096e-08	4.5238e-08
3.13951e-09	8.58307e-16	1.19578e-24	2.92969e-08	4.1432e-08	2.98741e-08	4.18238e-08
2.8726e-09	3.8147e-16	5.24467e-25	1.95312e-08	2.76214e-08	1.96316e-08	2.8167e-08
3.31037e-09	1.23978e-15	1.73415e-24	3.90625e-08	4.88281e-08	3.15812e-08	4.5238e-08
3.94379e-09	9.53674e-16	1.55821e-24	2.92969e-08	4.36732e-08	2.98741e-08	4.09703e-08
2.93678e-09	5.72205e-16	8.34984e-25	1.95312e-08	3.52105e-08	1.96316e-08	3.32883e-08
2.84552e-09	5.72205e-16	6.24042e-25	2.76214e-08	3.52105e-08	2.04851e-08	3.15812e-08
3.47885e-09	5.72205e-16	6.16839e-25	2.76214e-08	3.52105e-08	2.04851e-08	3.15812e-08
3.44162e-09	1.52588e-15	2.75676e-24	3.90625e-08	5.25895e-08	3.67025e-08	5.03593e-08
3.23731e-09	9.53674e-16	1.22995e-24	2.92969e-08	4.36732e-08	2.90206e-08	4.01167e-08
3.64292e-09	1.23978e-15	1.73961e-24	3.90625e-08	4.88281e-08	3.15812e-08	4.5238e-08
3.44401e-09	6.67572e-16	9.18025e-25	2.92969e-08	3.52105e-08	2.47529e-08	3.41419e-08
3.31716e-09	1.14441e-15	1.40932e-24	3.90625e-08	4.88281e-08	3.07277e-08	4.5238e-08
3.29117e-09	1.14441e-15	1.54644e-24	3.90625e-08	4.36732e-08	2.8167e-08	4.18238e-08
2.48744e-09	7.62939e-16	8.11149e-25	2.92969e-08	4.02647e-08	2.30458e-08	4.01167e-08
