#	z_max	A_0	V_L	D_min	D_max	M_min	M_max
1.50213e-09	1.90735e-16	1.86044e-25	9.76562e-09	2.18366e-08	9.38902e-09	2.13387e-08
3.47218e-09	3.8147e-16	6.94588e-25	1.95312e-08	2.76214e-08	1.96316e-08	2.8167e-08
1.91978e-09	1.90735e-16	2.42499e-25	9.76562e-09	2.18366e-08	9.38902e-09	2.13387e-08
3.8869e-09	6.67572e-16	1.02259e-24	2.92969e-08	3.52105e-08	2.47529e-08	3.41419e-08
1.72964e-09	9.53674e-17	9.47968e-26	9.76562e-09	1.38107e-08	9.38902e-09	1.45103e-08
2.58985e-09	3.8147e-16	4.71099e-25	1.95312e-08	2.76214e-08	1.96316e-08	2.8167e-08
1.91233e-09	1.90735e-16	1.52191e-25	9.76562e-09	2.18366e-08	9.38902e-09	2.13387e-08
2.01975e-09	1.90735e-16	1.84106e-25	9.76562e-09	2.18366e-08	9.38902e-09	2.13387e-08
2.33733e-09	1.90735e-16	1.60777e-25	9.76562e-09	2.18366e-08	9.38902e-09	2.13387e-08
2.58768e-09	3.8147e-16	4.74573e-25	1.95312e-08	2.76214e-08	1.96316e-08	2.8167e-08
3.09468e-09	5.72205e-16	7.95211e-25	1.95312e-08	3.52105e-08	1.96316e-08	3.32883e-08
2.19755e-09	3.8147e-16	4.27402e-25	1.95312e-08	2.76214e-08	1.96316e-08	2.8167e-08
1.72573e-09	1.90735e-16	1.92576e-25	9.76562e-09	2.18366e-08	9.38902e-09	2.13387e-08
3.46906e-09	8.58307e-16	1.54891e-24	2.92969e-08	4.36732e-08	2.38993e-08	4.01167e-08
2.40774e-09	1.90735e-16	1.85258e-25	9.76562e-09	2.18366e-08	9.38902e-09	2.13387e-08
3.04114e-09	3.8147e-16	6.73783e-25	1.95312e-08	2.76214e-08	1.96316e-08	2.8167e-08
2.45721e-09	3.8147e-16	6.08516e-25	1.95312e-08	2.76214e-08	1.96316e-08	2.8167e-08
2.28416e-09	2.86102e-16	2.39482e-25	1.95312e-08	2.76214e-08	1.36568e-08	2.47529e-08
2.69786e-09	3.8147e-16	6.0694e-25	1.95312e-08	2.76214e-08	1.96316e-08	2.8167e-08
4.116e-09	7.62939e-16	1.39468e-24	2.92969e-08	4.1432e-08	2.8167e-08	4.18238e-08
2.26433e-09	3.8147e-16	4.1107e-25	1.95312e-08	2.76214e-08	1.96316e-08	2.8167e-08
4.24711e-09	7.62939e-16	1.6856e-24	2.92969e-08	4.1432e-08	2.8167e-08	4.18238e-08
2.32286e-09	3.8147e-16	6.10874e-25	1.95312e-08	2.76214e-08	1.96316e-08	2.8167e-08
3.28056e-09	4.76837e-16	6.65921e-25	1.95312e-08	3.52105e-08	1.96316e-08	3.32883e-08
4.15972e-09	5.72205e-16	8.89898e-25	2.76214e-08	3.52105e-08	2.04851e-08	3.15812e-08
2.69974e-09	1.90735e-16	2.20378e-25	9.76562e-09	2.18366e-08	9.38902e-09	2.13387e-08
2.40779e-09	2.86102e-16	3.12467e-25	1.95312e-08	2.76214e-08	1.36568e-08	2.47529e-08
1.28012e-09	9.53674e-17	6.55985e-26	9.76562e-09	1.38107e-08	9.38902e-09	1.45103e-08
2.85095e-09	3.8147e-16	5.59597e-25	1.95312e-08	2.76214e-08	1.96316e-08	2.8167e-08
3.49439e-09	6.67572e-16	9.2197e-25	2.92969e-08	3.52105e-08	2.47529e-08	3.41419e-08
1.30444e-09	9.53674e-17	5.28235e-26	9.76562e-09	1.38107e-08	9.38902e-09	1.45103e-08
2.90801e-09	3.8147e-16	5.75799e-25	1.95312e-08	2.76214e-08	1.96316e-08	2.8167e-08
2.67848e-09	1.90735e-16	2.88284e-25	9.76562e-09	2.18366e-08	9.38902e-09	2.13387e-08
1.33337e-09	9.53674e-17	4.95416e-26	9.76562e-09	1.38107e-08	9.38902e-09	1.45103e-08
2.63657e-09	4.76837e-16	5.09285e-25	1.95312e-08	3.52105e-08	1.96316e-08	3.32883e-08
3.17903e-09	5.72205e-16	9.57813e-25	1.95312e-08	3.52105e-08	1.96316e-08	3.32883e-08
1.05383e-09	9.53674e-17	4.11263e-26	9.76562e-09	1.38107e-08	9.38902e-09	1.45103e-08
1.97474e-09	2.86102e-16	2.76089e-25	1.95312e-08	2.76214e-08	1.36568e-08	2.47529e-08
1.15196e-09	2.86102e-16	1.54224e-25	1.95312e-08	2.76214e-08	1.36568e-08	2.47529e-08
1.04367e-09	1.90735e-16	1.30158e-25	9.76562e-09	2.18366e-08	9.38902e-09	2.13387e-08
3.29636e-09	5.72205e-16	6.82911e-25	1.95312e-08	3.52105e-08	1.96316e-08	3.32883e-08
1.44903e-09	1.90735e-16	1.48737e-25	9.76562e-09	2.18366e-08	9.38902e-09	2.13387e-08
2.7906e-09	1.90735e-16	1.87139e-25	9.76562e-09	2.18366e-08	9.38902e-09	2.13387e-08
1.96967e-09	2.86102e-16	2.6086e-25	1.95312e-08	2.76214e-08	1.36568e-08	2.47529e-08
1.30742e-09	9.53674e-17	5.1862e-26	9.76562e-09	1.38107e-08	9.38902e-09	1.45103e-08
3.04607e-09	1.90735e-16	2.4185e-25	9.76562e-09	2.18366e-08	9.38902e-09	2.13387e-08
2.41589e-09	2.86102e-16	2.70642e-25	1.95312e-08	2.76214e-08	1.36568e-08	2.47529e-08
2.22042e-09	2.86102e-16	2.99013e-25	1.95312e-08	2.76214e-08	1.36568e-08	2.47529e-08
2.30866e-09	1.90735e-16	2.05339e-25	9.76562e-09	2.18366e-08	9.38902e-09	2.13387e-08
2.3226e-09	1.90735e-16	2.06376e-25	9.76562e-09	2.18366e-08	9.38902e-09	2.13387e-08
2.1881e-09	1.90735e-16	1.96713e-25	9.76562e-09	2.18366e-08	9.38902e-09	2.13387e-08
1.09293e-09	1.90735e-16	1.34355e-25	9.76562e-09	2.18366e-08	9.38902e-09	2.13387e-08
3.03092e-09	4.76837e-16	6.04629e-25	1.95312e-08	3.52105e-08	1.96316e-08	3.32883e-08
1.02572e-09	9.53674e-17	3.37566e-26	9.76562e-09	1.38107e-08	9.38902e-09	1.45103e-08
3.85271e-09	5.72205e-16	1.14239e-24	2.76214e-08	3.52105e-08	2.04851e-08	3.15812e-08
1.13279e-09	1.90735e-16	1.18175e-25	9.76562e-09	2.18366e-08	9.38902e-09	2.13387e-08
2.0216e-09	1.90735e-16	2.03095e-25	9.76562e-09	2.18366e-08	9.38902e-09	2.13387e-08
2.18528e-09	1.90735e-16	1.6622e-25	9.76562e-09	2.18366e-08	9.38902e-09	2.13387e-08
