Elapsed Time (Seconds)	Peak Intensity (Pixel Intensity)
0.000000e+00	3.791000e+03
3.200000e-02	3.783000e+03
6.600000e-02	3.783000e+03
9.900000e-02	3.812000e+03
1.320000e-01	3.832000e+03
1.650000e-01	3.770000e+03
1.990000e-01	3.782000e+03
2.320000e-01	3.777000e+03
2.640000e-01	3.789000e+03
2.980000e-01	3.795000e+03
3.310000e-01	3.793000e+03
3.640000e-01	3.788000e+03
3.970000e-01	3.792000e+03
4.300000e-01	3.816000e+03
4.620000e-01	3.795000e+03
4.960000e-01	3.810000e+03
5.290000e-01	3.788000e+03
5.620000e-01	3.782000e+03
5.960000e-01	3.786000e+03
6.280000e-01	3.803000e+03
6.620000e-01	3.788000e+03
6.940000e-01	3.794000e+03
7.280000e-01	3.782000e+03
7.610000e-01	3.778000e+03
7.940000e-01	3.766000e+03
8.270000e-01	3.794000e+03
8.600000e-01	3.783000e+03
8.930000e-01	3.753000e+03
9.270000e-01	3.809000e+03
9.590000e-01	3.788000e+03
9.930000e-01	3.776000e+03
1.026000e+00	3.798000e+03
1.059000e+00	3.817000e+03
1.092000e+00	3.786000e+03
1.125000e+00	3.807000e+03
1.158000e+00	3.788000e+03
1.191000e+00	3.822000e+03
1.224000e+00	3.814000e+03
1.257000e+00	3.820000e+03
1.290000e+00	3.792000e+03
1.324000e+00	3.834000e+03
1.357000e+00	3.798000e+03
1.390000e+00	3.759000e+03
1.423000e+00	3.804000e+03
1.455000e+00	3.787000e+03
1.489000e+00	3.805000e+03
1.522000e+00	3.805000e+03
1.555000e+00	3.825000e+03
1.588000e+00	3.786000e+03
1.621000e+00	3.784000e+03
1.654000e+00	3.780000e+03
1.688000e+00	3.806000e+03
1.721000e+00	3.789000e+03
1.754000e+00	3.817000e+03
1.787000e+00	3.800000e+03
1.820000e+00	3.779000e+03
1.853000e+00	3.831000e+03
1.886000e+00	3.821000e+03
1.919000e+00	3.811000e+03
1.952000e+00	3.828000e+03
1.985000e+00	3.799000e+03
2.018000e+00	3.802000e+03
2.052000e+00	3.805000e+03
2.085000e+00	3.791000e+03
2.118000e+00	3.804000e+03
2.151000e+00	3.792000e+03
2.184000e+00	3.800000e+03
2.217000e+00	3.790000e+03
2.250000e+00	3.799000e+03
2.283000e+00	3.788000e+03
2.316000e+00	3.801000e+03
2.349000e+00	3.811000e+03
2.382000e+00	3.803000e+03
2.416000e+00	3.805000e+03
2.471000e+00	3.801000e+03
2.482000e+00	3.815000e+03
2.515000e+00	3.787000e+03
2.548000e+00	3.796000e+03
2.581000e+00	3.778000e+03
2.614000e+00	3.772000e+03
2.647000e+00	3.766000e+03
2.680000e+00	3.827000e+03
2.713000e+00	3.768000e+03
2.747000e+00	3.804000e+03
2.779000e+00	3.769000e+03
2.813000e+00	3.793000e+03
2.846000e+00	3.794000e+03
2.879000e+00	3.779000e+03
2.912000e+00	3.788000e+03
2.945000e+00	3.773000e+03
2.978000e+00	3.753000e+03
3.011000e+00	3.754000e+03
3.044000e+00	3.746000e+03
3.077000e+00	3.814000e+03
3.110000e+00	3.800000e+03
3.143000e+00	3.754000e+03
3.177000e+00	3.765000e+03
3.210000e+00	3.831000e+03
3.243000e+00	3.834000e+03
3.276000e+00	3.817000e+03
3.309000e+00	3.809000e+03
3.342000e+00	3.819000e+03
3.375000e+00	3.817000e+03
3.408000e+00	3.829000e+03
3.442000e+00	3.794000e+03
3.474000e+00	3.788000e+03
3.508000e+00	3.755000e+03
3.540000e+00	3.701000e+03
3.574000e+00	3.736000e+03
3.607000e+00	3.718000e+03
3.640000e+00	3.704000e+03
3.673000e+00	3.644000e+03
3.706000e+00	3.703000e+03
3.739000e+00	3.682000e+03
3.772000e+00	3.662000e+03
3.806000e+00	3.648000e+03
3.838000e+00	3.663000e+03
3.872000e+00	3.567000e+03
3.905000e+00	3.574000e+03
3.938000e+00	3.577000e+03
3.971000e+00	3.544000e+03
4.004000e+00	3.527000e+03
4.059000e+00	3.514000e+03
4.070000e+00	3.464000e+03
4.103000e+00	3.460000e+03
4.136000e+00	3.456000e+03
4.169000e+00	3.393000e+03
4.203000e+00	3.401000e+03
4.236000e+00	3.336000e+03
4.269000e+00	3.305000e+03
4.302000e+00	3.271000e+03
4.335000e+00	3.305000e+03
4.368000e+00	3.240000e+03
4.401000e+00	3.248000e+03
4.434000e+00	3.227000e+03
4.467000e+00	3.158000e+03
4.501000e+00	3.110000e+03
4.533000e+00	3.090000e+03
4.566000e+00	3.132000e+03
4.599000e+00	3.072000e+03
4.633000e+00	3.019000e+03
4.666000e+00	2.975000e+03
4.699000e+00	2.991000e+03
4.732000e+00	2.969000e+03
4.765000e+00	2.966000e+03
4.798000e+00	2.898000e+03
4.831000e+00	2.904000e+03
4.864000e+00	2.869000e+03
4.897000e+00	2.841000e+03
4.931000e+00	2.825000e+03
4.964000e+00	2.821000e+03
4.997000e+00	2.777000e+03
5.029000e+00	2.818000e+03
5.063000e+00	2.767000e+03
5.096000e+00	2.726000e+03
5.129000e+00	2.704000e+03
5.162000e+00	2.661000e+03
5.195000e+00	2.657000e+03
5.228000e+00	2.693000e+03
5.262000e+00	2.623000e+03
5.294000e+00	2.611000e+03
5.328000e+00	2.604000e+03
