 ,Area,StdDev,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,0.0007,0,0.1003,0.0022,0.0247,0.0315,0.0292,0.0335,0.0276,48.8763,0.9086,0.0374,1,22,32.7352,0.0289,1.2114,0.8255,0.9231
2,0.0007,0,0.1066,2.0899,0.0360,0.0360,0.0292,0.0323,0.0257,31.7062,0.7198,0.0369,930,26,37.5686,0.0287,1.2560,0.7962,0.8217
3,0.0006,0,0.0969,0.6876,0.0404,0.0337,0.0247,0.0320,0.0233,5.9987,0.7843,0.0344,306,23,168.6901,0.0247,1.3747,0.7274,0.8821
4,0.0009,0,0.1138,2.9393,0.0404,0.0360,0.0315,0.0363,0.0317,12.9555,0.8776,0.0398,1309,30,42.7094,0.0315,1.1471,0.8717,0.9347
5,0.0007,0,0.1008,1.3730,0.0629,0.0292,0.0315,0.0331,0.0268,121.1015,0.8613,0.0369,611,30,142.4314,0.0292,1.2348,0.8098,0.9139
6,0.0007,0,0.0995,3.3865,0.0629,0.0337,0.0292,0.0336,0.0253,135.3433,0.8458,0.0372,1507,30,154.9831,0.0268,1.3298,0.7520,0.9010
7,0.0010,0,0.1233,1.0427,0.0652,0.0315,0.0404,0.0400,0.0333,84.0362,0.8640,0.0436,466,46,55.4915,0.0315,1.1993,0.8338,0.9303
8,0.0010,0,0.1299,2.9798,0.0652,0.0247,0.0494,0.0536,0.0228,86.1510,0.7147,0.0526,1328,51,70.0169,0.0247,2.3539,0.4248,0.9026
9,0.0012,0,0.1368,1.7506,0.0697,0.0292,0.0494,0.0518,0.0292,88.3000,0.7970,0.0512,783,53,74.7449,0.0292,1.7731,0.5640,0.9126
10,0.0011,0,0.1312,2.2247,0.0719,0.0315,0.0427,0.0452,0.0320,86.8246,0.8295,0.0493,991,51,59.9314,0.0315,1.4095,0.7095,0.9336
11,0.0016,0,0.1548,0.2000,0.0764,0.0449,0.0427,0.0484,0.0413,160.4248,0.8240,0.0544,90,34,141.7098,0.0418,1.1719,0.8533,0.9215
12,0.0014,0,0.1497,3.2315,0.0989,0.0315,0.0517,0.0565,0.0309,82.5417,0.7700,0.0573,1440,67,64.4400,0.0315,1.8275,0.5472,0.9444
