#	z_max	r_eq	V_L
2.33486e-09	2.13388e-08	1.46863e-24
3.0736e-09	3.3514e-08	4.45884e-24
2.81839e-09	1.6529e-08	1.70918e-24
2.74811e-09	1.10193e-08	4.26047e-25
2.76393e-09	3.73684e-08	5.14166e-24
3.22837e-09	2.80939e-08	4.82917e-24
3.05992e-09	1.6529e-08	2.1509e-24
2.39094e-09	2.52485e-08	2.94647e-24
3.44332e-09	2.64234e-08	3.68105e-24
4.03126e-09	2.86291e-08	3.86569e-24
3.22476e-09	2.13388e-08	2.32736e-24
1.91495e-09	1.10193e-08	6.57307e-25
3.38175e-09	3.16506e-08	4.52522e-24
3.00007e-09	2.40161e-08	2.8915e-24
4.28266e-09	3.06765e-08	5.47456e-24
1.61726e-09	1.55837e-08	6.69066e-25
2.10574e-09	1.45772e-08	1.207e-24
3.45713e-09	2.64234e-08	3.31436e-24
3.87428e-09	2.33755e-08	2.83539e-24
2.29782e-09	1.6529e-08	1.44885e-24
2.9861e-09	2.27169e-08	2.09056e-24
2.26412e-09	2.27169e-08	3.07658e-24
3.12894e-09	2.40161e-08	1.91233e-24
3.87026e-09	2.96704e-08	5.24772e-24
3.86957e-09	2.64234e-08	5.99937e-24
3.08352e-09	1.98654e-08	3.00806e-24
3.29316e-09	3.69599e-08	1.06024e-23
2.98599e-09	1.98654e-08	2.96235e-24
3.56296e-09	3.01777e-08	5.5317e-24
3.77137e-09	2.58426e-08	4.42567e-24
3.61706e-09	2.75483e-08	4.63186e-24
2.80165e-09	1.74231e-08	1.95683e-24
3.86468e-09	3.06765e-08	4.03659e-24
4.0839e-09	3.44078e-08	5.9256e-24
3.55732e-09	2.91544e-08	3.08852e-24
2.53585e-09	2.06153e-08	2.62353e-24
3.93493e-09	2.13388e-08	3.54866e-24
3.88586e-09	3.21266e-08	7.74674e-24
3.37462e-09	3.3514e-08	6.79707e-24
3.20128e-09	2.91544e-08	5.77288e-24
2.65148e-09	2.20387e-08	2.74452e-24
3.17145e-09	2.69917e-08	3.91092e-24
3.72671e-09	2.96704e-08	6.07878e-24
2.83865e-09	2.86291e-08	2.76391e-24
3.18011e-09	3.06765e-08	6.16309e-24
4.40467e-09	2.91544e-08	6.26702e-24
1.79341e-09	1.74231e-08	1.24288e-24
3.02949e-09	2.464e-08	3.03992e-24
2.22356e-09	2.13388e-08	2.06924e-24
1.75497e-09	1.6529e-08	9.39987e-25
3.95896e-09	2.75483e-08	4.22247e-24
3.13475e-09	2.40161e-08	2.37114e-24
3.82564e-09	3.25956e-08	6.06236e-24
4.21717e-09	3.16506e-08	6.83583e-24
4.24512e-09	2.75483e-08	5.07626e-24
4.31506e-09	2.91544e-08	2.87009e-24
4.90445e-09	4.04876e-08	1.25714e-23
3.60318e-09	2.64234e-08	3.84945e-24
4.12797e-09	2.64234e-08	3.739e-24
2.55542e-09	2.33755e-08	1.80106e-24
4.9345e-09	3.39638e-08	7.48455e-24
2.13925e-09	1.10193e-08	2.38257e-25
4.28165e-09	2.69917e-08	3.44389e-24
3.84589e-09	2.69917e-08	2.70861e-24
4.36456e-09	4.12305e-08	1.23433e-23
3.6128e-09	2.91544e-08	3.58864e-24
3.58884e-09	3.97308e-08	8.87551e-24
3.8004e-09	2.52485e-08	3.54398e-24
3.84416e-09	3.73684e-08	7.23535e-24
3.69215e-09	2.69917e-08	3.47436e-24
3.60877e-09	3.85676e-08	8.83123e-24
3.79772e-09	3.16506e-08	6.76762e-24
3.48703e-09	2.64234e-08	2.9387e-24
3.74757e-09	2.91544e-08	5.23747e-24
3.51559e-09	2.86291e-08	3.2144e-24
3.50278e-09	2.80939e-08	4.9297e-24
4.08268e-09	3.3514e-08	6.74186e-24
2.95334e-09	4.26777e-08	1.13505e-23
4.01771e-09	3.48462e-08	3.92129e-24
2.15697e-09	1.6529e-08	6.43896e-25
3.68153e-09	3.69599e-08	8.31101e-24
3.80888e-09	3.61293e-08	9.21868e-24
1.95088e-09	1.55837e-08	8.9428e-25
3.44819e-09	1.9086e-08	1.32159e-24
4.05983e-09	3.16506e-08	6.39154e-24
4.23834e-09	3.81721e-08	8.10309e-24
2.51609e-09	2.27169e-08	3.07173e-24
4.43783e-09	3.25956e-08	6.1696e-24
3.58414e-09	3.39638e-08	6.25909e-24
2.13938e-09	1.74231e-08	1.54684e-24
4.73893e-09	2.96704e-08	5.71473e-24
3.53501e-09	2.58426e-08	3.74826e-24
3.45887e-09	2.96704e-08	3.36345e-24
3.66569e-09	3.89592e-08	6.35703e-24
4.65525e-09	3.3514e-08	9.923e-24
5.37008e-09	3.48462e-08	7.14152e-24
2.19409e-09	1.34959e-08	8.32182e-25
1.93937e-09	1.9086e-08	1.0281e-24
3.16461e-09	3.52791e-08	6.05674e-24
4.7644e-09	3.3058e-08	6.74248e-24
3.94923e-09	3.69599e-08	1.02713e-23
3.57465e-09	3.48462e-08	6.28379e-24
3.77959e-09	2.80939e-08	4.52144e-24
2.89817e-09	3.01777e-08	4.10602e-24
3.77949e-09	2.80939e-08	4.95661e-24
3.35532e-09	4.26777e-08	1.03517e-23
3.50217e-09	3.73684e-08	5.94999e-24
2.47643e-09	2.27169e-08	2.17594e-24
3.05614e-09	3.52791e-08	6.95132e-24
3.698e-09	2.86291e-08	4.61747e-24
3.85607e-09	2.91544e-08	4.37514e-24
2.94989e-09	2.06153e-08	1.82961e-24
4.31775e-09	3.3514e-08	7.447e-24
3.86926e-09	3.3514e-08	7.45251e-24
3.26816e-09	2.40161e-08	3.38629e-24
4.3542e-09	3.21266e-08	5.47346e-24
3.38407e-09	2.64234e-08	4.58428e-24
3.56923e-09	2.86291e-08	5.05061e-24
4.18156e-09	2.91544e-08	6.46244e-24
3.07558e-09	3.52791e-08	5.20588e-24
4.4609e-09	3.44078e-08	8.59518e-24
4.14044e-09	3.44078e-08	5.47498e-24
3.32052e-09	3.52791e-08	7.05192e-24
3.77258e-09	2.96704e-08	5.65084e-24
3.39028e-09	2.91544e-08	4.69396e-24
3.94688e-09	3.57067e-08	6.82816e-24
2.59024e-09	1.82735e-08	1.79251e-24
3.19242e-09	3.06765e-08	5.41363e-24
3.67221e-09	3.93469e-08	1.08745e-23
3.76369e-09	4.08608e-08	9.89718e-24
4.13303e-09	3.01777e-08	7.28732e-24
4.06924e-09	2.96704e-08	4.64994e-24
2.55842e-09	2.27169e-08	2.98466e-24
4.02187e-09	3.06765e-08	6.3285e-24
4.09119e-09	3.11674e-08	6.48015e-24
2.58719e-09	3.16506e-08	4.40822e-24
2.9621e-09	1.45772e-08	9.27355e-25
3.70843e-09	3.3514e-08	6.37125e-24
3.19903e-09	3.3058e-08	5.84929e-24
3.62509e-09	3.25956e-08	7.85029e-24
3.75344e-09	3.01777e-08	3.04488e-24
