#	z_max	A_0	V_L	D_min	D_max	M_min	M_max
2.93221e-09	3.05176e-15	4.85257e-24	5.85937e-08	8.40071e-08	4.95057e-08	7.93799e-08
2.59616e-09	3.14713e-15	5.51006e-24	4.88281e-08	7.8733e-08	4.86522e-08	7.42586e-08
3.20936e-09	1.71661e-15	3.21784e-24	3.90625e-08	6.17632e-08	3.92632e-08	5.88947e-08
2.70593e-09	1.33514e-15	2.28175e-24	3.90625e-08	5.25895e-08	3.32883e-08	4.86522e-08
3.54974e-09	9.53674e-16	1.8598e-24	2.92969e-08	5.25895e-08	2.30458e-08	5.12128e-08
3.09728e-09	1.71661e-15	4.10352e-24	1.95312e-08	9.81433e-08	1.96316e-08	9.81579e-08
3.81927e-09	4.95911e-15	9.16722e-24	6.83594e-08	1.13886e-07	5.88947e-08	1.12668e-07
3.09283e-09	2.76566e-15	3.6517e-24	5.85937e-08	7.04209e-08	4.95057e-08	6.74302e-08
3.52635e-09	3.33786e-15	7.27227e-24	5.85937e-08	8.34375e-08	5.4627e-08	7.85263e-08
3.41198e-09	1.23978e-15	2.15869e-24	3.90625e-08	5.9402e-08	2.90206e-08	5.03593e-08
4.50162e-09	4.3869e-15	5.90594e-24	6.83594e-08	9.21287e-08	6.06018e-08	8.62082e-08
3.0067e-09	2.09808e-15	2.32942e-24	4.88281e-08	6.90534e-08	4.5238e-08	6.23089e-08
2.52573e-09	1.33514e-15	1.65669e-24	2.92969e-08	6.17632e-08	2.30458e-08	6.06018e-08
3.26685e-09	2.95639e-15	5.67224e-24	5.85937e-08	7.10948e-08	5.12128e-08	6.91373e-08
3.00684e-09	2.47955e-15	4.81986e-24	4.88281e-08	7.04209e-08	4.86522e-08	6.74302e-08
2.45047e-09	1.33514e-15	2.48041e-24	3.90625e-08	4.88281e-08	3.84096e-08	4.5238e-08
3.42348e-09	2.95639e-15	3.98093e-24	5.85937e-08	8.28641e-08	4.95057e-08	8.27941e-08
3.77665e-09	2.86102e-15	4.2628e-24	5.85937e-08	7.6272e-08	5.03593e-08	6.91373e-08
2.99548e-09	2.95639e-15	5.76014e-24	5.85937e-08	7.04209e-08	5.54805e-08	6.82838e-08
3.20563e-09	2.19345e-15	4.63362e-24	3.90625e-08	7.10948e-08	3.92632e-08	6.74302e-08
2.45791e-09	1.90735e-16	2.79652e-25	9.76562e-09	2.18366e-08	9.38902e-09	2.13387e-08
3.47036e-09	1.33514e-15	2.36637e-24	2.92969e-08	6.17632e-08	2.90206e-08	6.14554e-08
2.25396e-09	1.14441e-15	5.53332e-25	3.85202e-08	7.04209e-08	2.21922e-08	6.06018e-08
2.53115e-09	1.43051e-15	2.43422e-24	2.92969e-08	6.17632e-08	2.90206e-08	5.88947e-08
3.55775e-09	3.52859e-15	5.98456e-24	5.85937e-08	8.28641e-08	5.80412e-08	7.85263e-08
4.83106e-09	4.29153e-15	7.74204e-24	6.83594e-08	9.26449e-08	5.88947e-08	9.0476e-08
3.23604e-09	3.33786e-15	7.04221e-24	4.88281e-08	8.73464e-08	4.86522e-08	8.45011e-08
3.51749e-09	1.23978e-15	2.47138e-24	2.92969e-08	6.17632e-08	2.90206e-08	6.14554e-08
1.96058e-09	7.62939e-16	1.15921e-24	1.95312e-08	4.97951e-08	1.96316e-08	4.86522e-08
3.97794e-09	2.47955e-15	3.86517e-24	4.88281e-08	8.05294e-08	4.26773e-08	7.42586e-08
3.64644e-09	1.62125e-15	3.30674e-24	2.92969e-08	7.10948e-08	2.98741e-08	6.82838e-08
2.3527e-09	1.04904e-15	7.59385e-25	2.92969e-08	5.25895e-08	2.98741e-08	5.03593e-08
4.1848e-09	3.62396e-15	5.42694e-24	6.90534e-08	8.05294e-08	5.54805e-08	7.93799e-08
4.80659e-09	5.05447e-15	7.77734e-24	6.83594e-08	9.76562e-08	6.82838e-08	9.55973e-08
2.59624e-09	7.62939e-16	1.4939e-24	1.95312e-08	4.97951e-08	1.96316e-08	4.86522e-08
3.80005e-09	2.19345e-15	3.62544e-24	3.90625e-08	7.04209e-08	3.92632e-08	6.74302e-08
4.14532e-09	3.24249e-15	6.36826e-24	6.83594e-08	7.43728e-08	5.63341e-08	7.08444e-08
3.57875e-09	3.43323e-15	6.58448e-24	6.21481e-08	8.40071e-08	4.95057e-08	8.27941e-08
3.44177e-09	4.3869e-15	7.03833e-24	6.50187e-08	1.00543e-07	4.69451e-08	9.55973e-08
3.41881e-09	2.86102e-15	4.05723e-24	6.21481e-08	7.10948e-08	5.12128e-08	6.91373e-08
2.61434e-09	1.04904e-15	1.46259e-24	2.92969e-08	4.88281e-08	2.98741e-08	4.69451e-08
4.10901e-09	3.71933e-15	6.75745e-24	6.83594e-08	7.8733e-08	6.14554e-08	7.42586e-08
2.98625e-09	4.1008e-15	8.18379e-24	6.83594e-08	9.00346e-08	5.88947e-08	8.87689e-08
2.98124e-09	2.38419e-15	1.4725e-24	5.67752e-08	7.10948e-08	4.18238e-08	7.08444e-08
3.14881e-09	2.19345e-15	4.23581e-24	4.83374e-08	7.43728e-08	3.75561e-08	7.42586e-08
3.9752e-09	7.24792e-15	1.05617e-23	9.6081e-08	1.45176e-07	6.74302e-08	1.38275e-07
2.56477e-09	9.53674e-16	1.62366e-24	2.92969e-08	4.36732e-08	2.90206e-08	4.01167e-08
3.40389e-09	2.00272e-15	2.07943e-24	4.1432e-08	7.04209e-08	3.15812e-08	6.91373e-08
3.52924e-09	3.8147e-15	7.87924e-24	6.83594e-08	8.40071e-08	5.80412e-08	8.02334e-08
3.62205e-09	1.62125e-15	2.44207e-24	4.83374e-08	6.25305e-08	3.84096e-08	5.37735e-08
3.476e-09	2.38419e-15	4.51838e-24	4.88281e-08	6.55098e-08	4.95057e-08	6.31625e-08
3.54936e-09	3.14713e-15	5.43556e-24	5.85937e-08	7.43728e-08	5.03593e-08	7.08444e-08
3.36225e-09	5.24521e-15	9.83008e-24	7.22656e-08	1.11345e-07	5.12128e-08	1.03279e-07
3.21623e-09	6.19888e-15	1.09823e-23	8.73464e-08	1.23526e-07	6.82838e-08	1.18643e-07
3.76734e-09	3.71933e-15	5.59618e-24	6.83594e-08	8.34375e-08	5.4627e-08	8.1087e-08
2.56517e-09	1.14441e-15	2.02288e-24	3.90625e-08	4.36732e-08	2.8167e-08	4.18238e-08
4.18581e-09	4.1008e-15	6.83081e-24	6.83594e-08	8.73464e-08	6.74302e-08	8.02334e-08
3.09086e-09	1.62125e-15	2.98505e-24	4.80405e-08	5.69429e-08	3.41419e-08	5.37735e-08
2.98673e-09	1.43051e-15	1.83165e-24	3.45267e-08	6.90534e-08	2.47529e-08	6.31625e-08
4.46841e-09	4.76837e-15	7.05889e-24	7.59587e-08	9.00346e-08	6.65767e-08	8.87689e-08
3.4862e-09	3.24249e-15	4.09178e-24	5.85937e-08	9.26449e-08	4.5238e-08	9.0476e-08
3.10414e-09	1.23978e-15	1.74867e-24	3.90625e-08	4.88281e-08	3.15812e-08	4.60915e-08
3.15677e-09	2.38419e-15	3.71557e-24	5.52427e-08	6.55098e-08	4.43844e-08	6.06018e-08
3.2059e-09	3.14713e-15	3.9733e-24	5.52427e-08	9.26449e-08	4.77986e-08	9.13295e-08
3.30787e-09	2.28882e-15	4.4408e-24	4.88281e-08	6.55098e-08	4.86522e-08	6.4016e-08
2.87961e-09	1.04904e-15	1.8246e-24	3.45267e-08	4.88281e-08	2.47529e-08	4.60915e-08
