#	z_max	r_eq	V_L
3.84269e-09	1.6529e-08	1.59578e-24
6.84206e-09	2.58426e-08	4.6435e-24
3.30395e-09	1.45772e-08	9.46885e-25
5.86522e-09	2.20387e-08	4.38551e-24
5.66135e-09	2.33755e-08	3.79634e-24
6.6229e-09	2.13388e-08	3.26783e-24
6.26813e-09	1.98654e-08	2.60922e-24
6.5043e-09	2.27169e-08	2.88157e-24
4.96924e-09	2.13388e-08	2.86383e-24
5.58682e-09	2.464e-08	3.15525e-24
5.73387e-09	2.464e-08	2.7261e-24
6.1073e-09	2.40161e-08	3.94355e-24
5.5534e-09	2.27169e-08	4.52222e-24
5.50106e-09	1.9086e-08	2.92683e-24
5.34099e-09	2.52485e-08	3.83488e-24
5.0846e-09	2.20387e-08	3.31467e-24
4.70802e-09	2.13388e-08	2.13585e-24
5.74593e-09	2.464e-08	3.72854e-24
2.07592e-09	1.55837e-08	1.26418e-24
3.13587e-09	1.55837e-08	1.04749e-24
5.27571e-09	2.27169e-08	3.97595e-24
6.72927e-09	2.464e-08	5.75203e-24
4.66728e-09	1.74231e-08	1.60037e-24
5.78625e-09	2.20387e-08	2.85619e-24
4.84635e-09	2.20387e-08	2.95206e-24
5.2553e-09	2.33755e-08	3.18118e-24
3.35373e-09	1.82735e-08	1.19627e-24
6.45847e-09	1.82735e-08	2.78034e-24
4.21426e-09	1.74231e-08	1.88932e-24
6.74196e-09	2.40161e-08	5.14408e-24
4.97618e-09	2.06153e-08	2.4753e-24
3.10506e-09	1.82735e-08	1.82451e-24
6.33066e-09	1.98654e-08	2.87089e-24
5.99075e-09	2.33755e-08	2.78342e-24
4.98486e-09	2.13388e-08	3.30575e-24
4.27189e-09	1.74231e-08	1.76086e-24
6.20193e-09	2.464e-08	4.79912e-24
5.50276e-09	2.13388e-08	2.32142e-24
5.59854e-09	2.06153e-08	3.21739e-24
5.67732e-09	2.06153e-08	2.47626e-24
2.0681e-10	5.50966e-09	2.2965e-27
6.80985e-09	2.33755e-08	4.12107e-24
6.16853e-09	2.40161e-08	4.03089e-24
5.97655e-09	2.40161e-08	3.69615e-24
3.41226e-09	1.74231e-08	1.1435e-24
2.23396e-09	1.55837e-08	5.63642e-25
3.63751e-09	1.9086e-08	1.76181e-24
6.51372e-09	2.464e-08	4.75667e-24
5.98832e-09	2.58426e-08	3.94611e-24
7.60778e-09	2.52485e-08	5.93637e-24
5.51818e-09	1.82735e-08	2.74056e-24
5.7806e-09	2.64234e-08	5.13631e-24
4.31116e-09	1.74231e-08	1.59962e-24
4.08318e-09	1.98654e-08	2.68106e-24
1.32935e-09	1.55837e-08	9.60532e-25
6.30143e-09	2.464e-08	4.59671e-24
4.79047e-09	2.13388e-08	3.12826e-24
5.55562e-09	2.27169e-08	3.45917e-24
1.74834e-09	1.45772e-08	9.55332e-25
7.47193e-09	3.11674e-08	6.34681e-24
6.04938e-09	2.06153e-08	1.15567e-24
5.58707e-09	9.54302e-09	5.73187e-25
6.19977e-09	2.33755e-08	3.45863e-24
6.78144e-09	1.98654e-08	2.97614e-24
5.8032e-09	2.33755e-08	3.65453e-24
4.15779e-09	1.98654e-08	1.60732e-24
6.24259e-09	2.06153e-08	2.54397e-24
7.17972e-09	3.01777e-08	6.74046e-24
7.28316e-09	2.20387e-08	3.05862e-24
6.38966e-09	2.58426e-08	3.57029e-24
6.17423e-09	2.58426e-08	3.99759e-24
5.17757e-09	2.13388e-08	2.8772e-24
5.15509e-09	2.20387e-08	3.76572e-24
5.34408e-09	2.33755e-08	3.61814e-24
7.24842e-09	2.33755e-08	5.10203e-24
5.99401e-09	2.40161e-08	2.87337e-24
6.68302e-09	2.33755e-08	4.59124e-24
3.40549e-09	1.74231e-08	1.44267e-24
5.05552e-09	2.13388e-08	3.03936e-24
6.60119e-09	2.52485e-08	4.24832e-24
1.88687e-09	1.55837e-08	1.05679e-24
