#	z_max	r_eq	V_L
4.39561e-09	4.0111e-08	1.00741e-23
9.56449e-09	4.64253e-08	2.64634e-23
5.97982e-09	3.93469e-08	1.60728e-23
1.03069e-08	6.4958e-08	5.98774e-23
6.34836e-09	5.95961e-08	4.07927e-23
1.12961e-08	6.4489e-08	6.35747e-23
9.08708e-09	6.01033e-08	4.99246e-23
5.95979e-09	5.77858e-08	4.91234e-23
1.23736e-08	7.92703e-08	1.19005e-22
3.878e-09	1.45772e-08	9.2976e-25
8.99847e-09	7.09871e-08	8.07736e-23
9.74044e-09	6.5886e-08	6.76099e-23
1.86152e-08	1.00391e-07	3.0252e-22
1.46424e-08	4.64253e-08	4.28842e-23
7.46142e-09	6.06063e-08	3.92179e-23
7.82155e-09	6.7254e-08	5.98043e-23
1.55058e-08	8.5533e-08	1.49463e-22
2.92236e-09	2.40161e-08	2.92534e-24
1.08002e-08	8.30115e-08	1.2386e-22
3.03973e-09	1.74231e-08	1.04778e-24
1.02367e-08	6.3779e-08	5.39359e-23
1.34942e-08	8.05994e-08	1.11919e-22
4.73885e-09	4.83471e-08	2.12694e-23
8.99647e-09	6.25778e-08	5.97528e-23
7.3717e-09	4.80321e-08	2.54004e-23
1.89704e-08	9.2523e-08	2.25159e-22
1.14597e-08	6.7028e-08	7.21889e-23
1.03402e-08	6.47239e-08	6.57855e-23
4.25755e-09	3.11674e-08	5.16022e-24
5.15717e-09	5.45429e-08	2.78724e-23
9.67448e-09	6.92554e-08	7.08405e-23
5.78326e-09	6.33012e-08	4.88011e-23
4.08135e-09	4.98921e-08	2.35753e-23
4.80861e-09	4.54339e-08	1.8824e-23
7.09111e-09	6.3779e-08	4.90158e-23
1.38076e-08	4.54339e-08	3.24825e-23
1.2747e-08	7.01266e-08	8.55302e-23
3.08936e-09	2.96704e-08	4.94787e-24
6.83714e-09	5.13907e-08	3.0152e-23
6.11875e-09	5.77858e-08	4.20912e-23
5.49042e-09	5.45429e-08	2.44389e-23
8.74959e-09	6.3779e-08	5.15372e-23
5.01883e-09	2.80939e-08	5.56466e-24
8.56339e-09	8.11624e-08	1.11111e-22
4.62455e-09	4.15971e-08	1.20739e-23
1.19362e-08	8.96908e-08	1.38354e-22
5.6851e-09	5.19781e-08	2.78757e-23
4.82424e-09	4.73959e-08	2.10154e-23
1.35494e-08	8.51773e-08	1.34054e-22
6.53735e-09	5.37016e-08	2.97278e-23
1.09904e-08	6.68011e-08	6.68201e-23
4.50679e-09	4.0111e-08	1.35818e-23
4.08528e-09	3.97308e-08	1.20081e-23
1.13801e-08	8.48202e-08	1.25214e-22
4.59349e-09	3.89592e-08	9.8335e-24
4.90582e-09	4.44203e-08	1.59701e-23
7.87926e-09	6.4958e-08	5.40112e-23
4.08055e-09	4.04876e-08	1.00629e-23
1.44224e-08	8.44615e-08	1.31576e-22
8.42217e-09	7.47367e-08	9.46925e-23
3.92995e-09	2.64234e-08	3.53944e-24
1.16347e-08	6.88157e-08	7.40135e-23
9.55525e-09	6.88157e-08	7.43949e-23
4.19613e-09	3.81721e-08	1.05793e-23
8.44819e-09	5.98503e-08	4.42259e-23
4.55129e-09	5.56449e-08	2.48405e-23
1.39285e-08	9.44711e-08	1.69782e-22
6.92773e-09	5.10945e-08	3.13924e-23
5.06355e-09	6.28198e-08	4.43911e-23
6.58901e-09	5.90846e-08	4.32471e-23
3.93318e-09	3.16506e-08	5.49117e-24
1.07998e-08	6.96923e-08	7.30179e-23
2.90558e-09	1.9086e-08	1.48535e-24
