 ,Area,StdDev,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,0.0038,0,0.2405,3.2292,0.0921,0.0787,0.0562,0.0829,0.059,4.8813,0.8351,0.0856,1437,62,23.1986,0.0562,1.4039,0.7123,0.9518
2,0.0013,0,0.1368,0.5551,0.1101,0.0472,0.0337,0.0479,0.0345,19.6602,0.8716,0.0524,247,62,30.9638,0.0337,1.3873,0.7208,0.9519
3,0.0024,0,0.183,1.8135,0.1146,0.0607,0.0427,0.0645,0.0465,4.5266,0.8826,0.0661,808,69,35.3112,0.0427,1.3871,0.7209,0.9718
4,0.0017,0,0.1574,1.3393,0.1281,0.0494,0.0404,0.0509,0.0424,6.8462,0.8607,0.0567,597,74,33.6901,0.0404,1.1991,0.8339,0.9372
5,0.0017,0,0.1534,2.9955,0.1371,0.0449,0.0449,0.0477,0.0446,73.5634,0.8921,0.053,1334,80,53.6156,0.0449,1.0691,0.9354,0.9511
6,0.0016,0,0.1495,2.0382,0.2157,0.0494,0.0404,0.0497,0.0398,163.3849,0.8745,0.0544,907,101,150.2551,0.0404,1.2483,0.8011,0.9362
7,0.0024,0,0.1939,0.2112,0.2247,0.0697,0.0382,0.0741,0.0409,2.1701,0.795,0.0739,94,113,19.5367,0.0382,1.8129,0.5516,0.9642
8,0.0064,0,0.3105,0.609,0.2921,0.1079,0.0652,0.116,0.0698,2.9112,0.8286,0.1157,272,154,24.0755,0.0652,1.6614,0.6019,0.9722
9,0.0024,0,0.1849,2.0045,0.3843,0.0629,0.0427,0.0644,0.0466,0.6533,0.8667,0.0654,892,187,15.9454,0.0427,1.382,0.7236,0.9619
10,0.0016,0,0.1521,0.4427,0.4112,0.0539,0.036,0.0552,0.0359,11.7152,0.8445,0.0568,197,196,18.4349,0.036,1.5404,0.6492,0.939
11,0.0027,0,0.1952,3.2831,0.4157,0.0674,0.0427,0.0732,0.0461,5.2065,0.8742,0.0735,1461,202,23.4287,0.0427,1.5883,0.6296,0.9813
12,0.0038,0,0.2388,1.2652,0.4292,0.0787,0.0539,0.0847,0.0573,3.536,0.8399,0.0865,563,211,27.8973,0.0539,1.4791,0.6761,0.9618
13,0.004,0,0.2452,2.7933,0.436,0.0809,0.0562,0.0859,0.06,3.0522,0.8465,0.0875,1244,215,29.1975,0.0562,1.4321,0.6983,0.9634
14,0.0008,0,0.1543,1.2562,0.4921,0.0427,0.0404,0.0345,0.0303,31.8016,0.4344,0.0481,561,237,52.5946,0.0401,1.1385,0.8783,0.6546
15,0.0007,0,0.1066,2.8315,0.5011,0.0337,0.0292,0.0341,0.0275,153.5162,0.8147,0.0387,1261,226,144.4623,0.0291,1.2375,0.8081,0.8985
16,0.0026,0,0.201,1.5798,0.5169,0.0719,0.0404,0.0759,0.0435,1.2816,0.8072,0.0764,703,245,24.3045,0.0404,1.7436,0.5735,0.959
17,0.0077,0,0.3362,2.1101,0.5281,0.1056,0.0787,0.1139,0.0857,5.7365,0.8524,0.1203,940,268,32.7995,0.0787,1.3287,0.7526,0.9746
18,0.0019,0,0.1656,0.6382,0.5348,0.0562,0.0404,0.0589,0.0419,170.6548,0.8884,0.0614,284,241,156.2505,0.0404,1.4062,0.7111,0.96
19,0.0037,0,0.2433,1.209,0.5461,0.0831,0.0472,0.0916,0.0509,1.9723,0.777,0.0906,538,260,23.3852,0.0472,1.8018,0.555,0.966
20,0.0022,0,0.1804,1.5213,0.5775,0.0539,0.0472,0.0555,0.051,7.5109,0.8578,0.0622,681,278,49.3987,0.0472,1.0872,0.9198,0.9555
21,0.0009,0,0.113,2.1124,0.6562,0.036,0.0337,0.0377,0.0307,25.1175,0.8946,0.0405,941,305,33.6901,0.0326,1.225,0.8163,0.9091
