#	z_max	r_eq	V_L
2.93675e-09	1.6529e-08	1.08102e-24
6.37714e-09	4.30319e-08	2.1087e-23
4.59223e-09	2.86291e-08	6.01009e-24
7.17645e-09	3.11674e-08	7.91419e-24
5.61379e-09	5.10945e-08	3.20588e-23
6.98017e-09	5.45429e-08	3.24606e-23
6.41914e-09	5.42639e-08	3.50073e-23
3.26768e-09	1.6529e-08	1.18287e-24
5.40296e-09	4.98921e-08	2.2516e-23
5.72546e-09	5.42639e-08	3.10332e-23
9.09124e-09	6.42532e-08	5.43516e-23
2.73445e-09	2.64234e-08	2.44169e-24
6.49774e-09	3.44078e-08	6.34902e-24
5.77439e-09	3.61293e-08	6.54264e-24
6.10351e-09	5.80479e-08	3.78261e-23
2.80022e-09	2.06153e-08	1.20428e-24
4.68242e-09	4.98921e-08	3.06624e-23
3.06501e-09	2.464e-08	2.60769e-24
6.27903e-09	4.64253e-08	2.14578e-23
4.7265e-09	5.5917e-08	3.05051e-23
4.1343e-09	3.97308e-08	1.06577e-23
5.46294e-09	5.01954e-08	2.66302e-23
8.7226e-09	6.28198e-08	5.24544e-23
5.87398e-09	5.13907e-08	3.2798e-23
2.73651e-09	1.55837e-08	6.33115e-25
6.28053e-09	5.34182e-08	3.10637e-23
4.9714e-09	4.70746e-08	1.80957e-23
4.65148e-09	5.01954e-08	2.53493e-23
3.05218e-09	2.06153e-08	1.64236e-24
5.62039e-09	4.6751e-08	2.21234e-23
8.01681e-09	5.16852e-08	3.01364e-23
4.41482e-09	2.86291e-08	5.30609e-24
5.02349e-09	4.40773e-08	1.83219e-23
5.03546e-09	4.77151e-08	1.94216e-23
6.56705e-09	5.67255e-08	3.26537e-23
3.57541e-09	3.6547e-08	9.65184e-24
5.57306e-09	5.72581e-08	3.38711e-23
4.68242e-09	4.8971e-08	2.23869e-23
6.44709e-09	5.42639e-08	3.04137e-23
3.59487e-09	3.44078e-08	7.90023e-24
5.69646e-09	4.866e-08	2.66333e-23
7.49946e-09	5.37016e-08	3.15643e-23
7.587e-09	5.53714e-08	3.43481e-23
2.85361e-09	1.34959e-08	5.29642e-25
2.44133e-09	1.45772e-08	1.03937e-25
6.51742e-09	5.90846e-08	3.12706e-23
6.75753e-09	5.19781e-08	2.67997e-23
5.85972e-09	4.80321e-08	2.32554e-23
3.77223e-09	3.39638e-08	8.43172e-24
7.52994e-09	3.6547e-08	9.74332e-24
6.63797e-09	5.39835e-08	3.11901e-23
7.27738e-09	4.0111e-08	8.09644e-24
4.07724e-09	1.232e-08	1.30902e-24
4.18615e-09	3.97308e-08	1.02839e-23
6.03153e-09	5.16852e-08	2.76483e-23
