#	z_max	A_0	V_L	D_min	D_max	M_min	M_max
2.84565e-09	9.53674e-16	1.16294e-24	2.92969e-08	5.25895e-08	1.96316e-08	5.12128e-08
5.63372e-09	5.43594e-15	1.8323e-23	6.83594e-08	1.05179e-07	6.4016e-08	9.90114e-08
4.57978e-09	2.95639e-15	6.85914e-24	4.88281e-08	7.8733e-08	4.95057e-08	7.42586e-08
3.23863e-09	1.04904e-15	1.1996e-24	3.90625e-08	4.36732e-08	3.15812e-08	4.18238e-08
6.53738e-09	2.67029e-15	7.18401e-24	2.92969e-08	1.09183e-07	2.90206e-08	1.084e-07
5.57718e-09	3.52859e-15	6.02048e-24	5.52427e-08	9.76563e-08	4.43844e-08	8.62082e-08
5.40639e-09	4.29153e-15	8.44093e-24	6.90534e-08	1.00543e-07	6.06018e-08	9.38902e-08
6.87773e-09	9.82285e-15	3.31096e-23	1.07422e-07	1.27328e-07	1.01572e-07	1.23764e-07
6.43274e-09	9.05991e-15	3.35584e-23	9.76563e-08	1.3102e-07	8.87689e-08	1.27178e-07
3.29696e-09	1.52588e-15	2.64354e-24	3.90625e-08	5.69429e-08	3.32883e-08	5.29199e-08
5.36711e-09	8.2016e-15	2.23621e-23	8.78906e-08	1.3102e-07	8.45011e-08	1.26325e-07
5.66886e-09	9.44138e-15	3.11337e-23	9.76563e-08	1.3102e-07	9.0476e-08	1.26325e-07
8.69315e-09	1.21117e-14	4.9669e-23	1.17188e-07	1.40842e-07	1.12668e-07	1.3486e-07
2.50346e-09	5.72205e-16	3.53179e-25	2.76214e-08	3.52105e-08	2.04851e-08	3.15812e-08
2.6656e-09	2.67029e-15	2.93524e-24	4.88281e-08	7.8733e-08	4.09703e-08	7.42586e-08
6.43523e-09	3.8147e-15	6.31599e-24	6.21481e-08	9.76563e-08	5.29199e-08	9.47437e-08
5.75979e-09	4.19617e-15	6.51927e-24	6.21481e-08	1.00543e-07	4.86522e-08	9.55973e-08
5.87365e-09	1.04904e-14	3.76492e-23	1.07422e-07	1.40842e-07	9.73043e-08	1.35714e-07
2.79049e-09	2.19345e-15	3.21427e-24	4.88281e-08	6.55098e-08	4.09703e-08	6.31625e-08
4.18647e-09	7.53403e-15	2.62194e-23	9.17137e-08	1.25061e-07	8.1087e-08	1.2035e-07
3.03026e-09	2.09808e-15	2.94494e-24	4.83374e-08	6.55098e-08	3.67025e-08	6.4016e-08
6.38355e-09	7.72476e-15	2.2284e-23	8.78906e-08	1.22363e-07	8.02334e-08	1.16082e-07
4.52102e-09	1.01089e-14	3.07148e-23	9.88212e-08	1.54408e-07	8.45011e-08	1.47664e-07
4.1337e-09	5.81741e-15	1.15691e-23	7.8125e-08	1.05179e-07	6.31625e-08	1.00719e-07
5.44401e-09	8.10623e-15	2.66514e-23	8.78906e-08	1.3102e-07	7.76728e-08	1.27178e-07
8.43198e-09	1.20163e-14	5.03829e-23	1.17188e-07	1.40842e-07	1.10961e-07	1.38275e-07
5.92165e-09	8.29697e-15	3.37461e-23	8.78906e-08	1.3102e-07	8.62082e-08	1.25471e-07
2.7714e-09	1.71661e-15	1.80638e-24	3.90625e-08	6.17632e-08	3.92632e-08	6.06018e-08
2.50193e-09	4.76837e-16	2.8593e-25	1.95313e-08	3.52105e-08	1.96316e-08	3.32883e-08
4.9633e-09	7.72476e-15	1.83162e-23	8.97694e-08	1.32827e-07	8.27941e-08	1.28032e-07
6.2576e-09	9.15527e-15	3.1737e-23	9.76563e-08	1.27328e-07	9.55973e-08	1.22057e-07
4.5268e-09	8.2016e-15	2.5618e-23	9.6081e-08	1.25061e-07	8.45011e-08	1.23764e-07
2.81173e-09	1.52588e-15	1.99032e-24	2.92969e-08	6.55098e-08	2.98741e-08	6.4016e-08
5.52135e-09	3.24249e-15	3.40554e-24	6.21481e-08	8.40071e-08	4.69451e-08	7.85263e-08
5.31814e-09	3.43323e-15	5.63326e-24	6.21481e-08	8.73464e-08	5.03593e-08	8.45011e-08
4.37e-09	3.24249e-15	5.77823e-24	5.85938e-08	8.73464e-08	5.03593e-08	8.36476e-08
7.91609e-09	8.67844e-15	3.06682e-23	9.76563e-08	1.19205e-07	9.73043e-08	1.11815e-07
5.04846e-09	6.58035e-15	1.87984e-23	8.28641e-08	1.19205e-07	7.16979e-08	1.12668e-07
4.99067e-09	7.62939e-15	1.99793e-23	8.78906e-08	1.22363e-07	8.1087e-08	1.16082e-07
6.4963e-09	1.02043e-14	3.28085e-23	8.78906e-08	1.45176e-07	8.79153e-08	1.41689e-07
3.43531e-09	5.14984e-15	1.1866e-23	6.83594e-08	1.05179e-07	6.31625e-08	1.01572e-07
5.36854e-09	1.01089e-14	3.37134e-23	1.07422e-07	1.32827e-07	9.47437e-08	1.29739e-07
4.69595e-09	8.39233e-15	2.28005e-23	9.5733e-08	1.27328e-07	8.1087e-08	1.24618e-07
6.35503e-09	9.63211e-15	3.08468e-23	1.0358e-07	1.38796e-07	9.55973e-08	1.35714e-07
3.62528e-09	4.00543e-15	8.29195e-24	6.83594e-08	8.73464e-08	5.88947e-08	8.45011e-08
5.63575e-09	7.9155e-15	2.76268e-23	9.6081e-08	1.25061e-07	8.62082e-08	1.2035e-07
7.42464e-09	9.05991e-15	3.17641e-23	1.07422e-07	1.22363e-07	9.47437e-08	1.16936e-07
7.44084e-09	9.72748e-15	3.3776e-23	9.76563e-08	1.36019e-07	8.96224e-08	1.31446e-07
2.84298e-09	2.00272e-15	3.02463e-24	3.90625e-08	6.55098e-08	3.92632e-08	6.06018e-08
6.32895e-09	1.07765e-14	2.97395e-23	1.0358e-07	1.57466e-07	8.27941e-08	1.51931e-07
6.78049e-09	8.96454e-15	2.74231e-23	1.0358e-07	1.25061e-07	9.55973e-08	1.16936e-07
5.97453e-09	7.9155e-15	2.37881e-23	9.76563e-08	1.17998e-07	8.53547e-08	1.15229e-07
3.63019e-09	4.00543e-15	8.77723e-24	6.79396e-08	9.21287e-08	5.80412e-08	8.62082e-08
7.31259e-09	3.62396e-15	8.86137e-24	5.52427e-08	1.0381e-07	4.69451e-08	9.38902e-08
6.54166e-09	9.15527e-15	3.12714e-23	1.07422e-07	1.31383e-07	9.73043e-08	1.24618e-07
7.22084e-09	4.86374e-15	7.95107e-24	6.21481e-08	1.13886e-07	5.03593e-08	1.09254e-07
4.11621e-09	5.43594e-15	1.04384e-23	7.8125e-08	1.13886e-07	6.74302e-08	1.07547e-07
3.97619e-09	8.58307e-16	1.81795e-24	1.95313e-08	5.9402e-08	1.96316e-08	5.88947e-08
5.91478e-09	8.86917e-15	2.86e-23	9.76563e-08	1.27328e-07	9.0476e-08	1.24618e-07
4.02099e-09	2.86102e-15	5.28203e-24	5.67752e-08	7.43728e-08	4.18238e-08	7.08444e-08
4.5377e-09	6.29425e-15	1.49423e-23	6.83594e-08	1.14304e-07	6.82838e-08	1.11815e-07
5.15308e-09	6.10352e-15	1.67078e-23	7.8125e-08	1.13886e-07	6.31625e-08	1.11815e-07
5.3205e-09	6.58035e-15	1.87363e-23	8.78906e-08	1.11345e-07	8.27941e-08	1.07547e-07
6.11939e-09	2.95639e-15	4.31609e-24	5.52427e-08	9.00346e-08	4.77986e-08	8.02334e-08
5.85767e-09	3.52859e-15	4.59356e-24	6.21481e-08	9.21287e-08	5.12128e-08	9.0476e-08
3.5184e-09	2.95639e-15	4.67999e-24	4.88281e-08	8.34375e-08	4.86522e-08	8.02334e-08
4.62268e-09	8.29697e-15	2.85227e-23	9.5733e-08	1.22363e-07	8.45011e-08	1.16082e-07
4.71017e-09	5.24521e-15	1.46095e-23	6.83594e-08	1.09183e-07	6.31625e-08	1.0584e-07
5.63388e-09	9.82285e-15	3.57744e-23	9.76563e-08	1.36019e-07	8.53547e-08	1.31446e-07
5.35997e-09	4.19617e-15	1.44257e-23	5.85938e-08	9.61803e-08	5.80412e-08	9.13295e-08
5.83548e-09	4.48227e-15	1.25632e-23	5.85938e-08	9.61803e-08	5.88947e-08	9.13295e-08
3.22497e-09	1.33514e-15	1.82088e-24	3.90625e-08	5.25895e-08	3.41419e-08	5.12128e-08
6.52867e-09	8.7738e-15	3.16497e-23	9.76563e-08	1.27328e-07	9.21831e-08	1.22911e-07
5.01768e-09	6.77109e-15	1.88605e-23	7.8125e-08	1.17998e-07	7.59657e-08	1.10961e-07
5.1008e-09	8.96454e-15	3.01554e-23	1.0358e-07	1.31383e-07	8.87689e-08	1.24618e-07
5.46327e-09	8.96454e-15	2.81331e-23	1.07422e-07	1.25061e-07	9.64508e-08	1.19497e-07
3.85008e-09	1.81198e-15	2.38146e-24	4.80405e-08	5.69429e-08	3.15812e-08	5.71876e-08
7.10994e-09	3.71933e-15	5.09021e-24	6.21481e-08	9.76563e-08	5.4627e-08	8.62082e-08
2.8296e-09	9.53674e-16	1.15574e-24	2.92969e-08	4.88281e-08	2.21922e-08	4.5238e-08
3.57479e-09	7.15256e-15	1.65212e-23	7.8125e-08	1.3102e-07	6.82838e-08	1.23764e-07
6.79488e-09	4.86374e-15	6.92889e-24	6.90534e-08	1.05179e-07	5.63341e-08	9.9865e-08
5.10263e-09	2.28882e-15	2.52144e-24	4.83374e-08	8.28641e-08	3.75561e-08	7.59657e-08
4.7408e-09	4.3869e-15	7.49989e-24	6.90534e-08	9.76563e-08	5.88947e-08	9.13295e-08
8.37633e-09	4.57764e-15	7.05169e-24	6.21481e-08	1.19205e-07	4.86522e-08	1.084e-07
2.97637e-09	3.71933e-15	4.88379e-24	6.83594e-08	8.34375e-08	5.54805e-08	8.02334e-08
8.38822e-09	6.67572e-15	1.10885e-23	6.90534e-08	1.32827e-07	6.14554e-08	1.23764e-07
6.16481e-09	7.62939e-15	2.22714e-23	8.78906e-08	1.23526e-07	7.85263e-08	1.17789e-07
6.94099e-09	9.53674e-15	3.63748e-23	9.76563e-08	1.40842e-07	8.45011e-08	1.3486e-07
3.28757e-09	1.52588e-15	1.90717e-24	3.90625e-08	5.69429e-08	3.92632e-08	5.4627e-08
4.5853e-09	6.10352e-15	1.45044e-23	7.8125e-08	1.13886e-07	6.82838e-08	1.12668e-07
5.79207e-09	6.67572e-15	1.97224e-23	7.8125e-08	1.19205e-07	7.76728e-08	1.12668e-07
3.24612e-09	1.52588e-15	2.11165e-24	3.90625e-08	5.69429e-08	3.32883e-08	5.29199e-08
4.73413e-09	6.86646e-15	1.88425e-23	8.28641e-08	1.22363e-07	7.59657e-08	1.16082e-07
5.50763e-09	9.34601e-15	3.08309e-23	9.7109e-08	1.36019e-07	8.79153e-08	1.29739e-07
4.60063e-09	7.15256e-15	1.7955e-23	7.8125e-08	1.23526e-07	7.59657e-08	1.18643e-07
4.04574e-09	8.01086e-15	2.03478e-23	9.17137e-08	1.27328e-07	8.02334e-08	1.24618e-07
7.73039e-09	9.63211e-15	3.95994e-23	1.07422e-07	1.27328e-07	1.00719e-07	1.23764e-07
7.37773e-09	6.00815e-15	1.82588e-23	8.78906e-08	9.95902e-08	8.02334e-08	9.90114e-08
4.00357e-09	2.28882e-15	4.63996e-24	4.88281e-08	7.04209e-08	3.92632e-08	6.31625e-08
5.34936e-09	8.96454e-15	2.69312e-23	1.03421e-07	1.32827e-07	8.79153e-08	1.28032e-07
6.00998e-09	8.10623e-15	3.02329e-23	9.17137e-08	1.27328e-07	8.02334e-08	1.21204e-07
8.00515e-09	3.62396e-15	5.16738e-24	4.83374e-08	1.10485e-07	4.01167e-08	1.00719e-07
7.86034e-09	5.43594e-15	9.04329e-24	6.21481e-08	1.25061e-07	5.03593e-08	1.12668e-07
6.64121e-09	3.91006e-15	6.33751e-24	6.21481e-08	1.0381e-07	5.4627e-08	9.30366e-08
5.19445e-09	5.05447e-15	1.27064e-23	7.59587e-08	1.00543e-07	6.31625e-08	9.47437e-08
7.70504e-09	8.39233e-15	3.38676e-23	9.76563e-08	1.19205e-07	9.47437e-08	1.10961e-07
6.24478e-09	4.95911e-15	7.56136e-24	6.90534e-08	1.10485e-07	5.88947e-08	1.01572e-07
6.96935e-09	8.01086e-15	2.98298e-23	8.78906e-08	1.20794e-07	8.79153e-08	1.18643e-07
7.00928e-09	6.58035e-15	1.79983e-23	8.78906e-08	1.05631e-07	7.85263e-08	1.00719e-07
2.60766e-09	1.52588e-15	1.70946e-24	3.90625e-08	5.69429e-08	3.92632e-08	5.4627e-08
5.03057e-09	6.19888e-15	1.5293e-23	7.8125e-08	1.09183e-07	7.08444e-08	1.04986e-07
6.48929e-09	9.44138e-15	2.7396e-23	1.0358e-07	1.32827e-07	9.0476e-08	1.27178e-07
8.72935e-10	9.53674e-17	-5.34793e-27	9.76563e-09	1.38107e-08	9.38902e-09	1.45103e-08
3.46886e-09	4.00543e-15	7.76534e-24	6.79396e-08	9.21287e-08	5.63341e-08	8.96224e-08
6.6567e-09	2.76566e-15	6.38489e-24	4.83374e-08	9.00346e-08	3.75561e-08	8.53547e-08
1.96749e-09	1.90735e-16	5.16377e-26	9.76563e-09	2.18366e-08	9.38902e-09	2.13387e-08
6.68147e-09	3.14713e-15	4.60162e-24	5.52427e-08	8.73464e-08	4.09703e-08	8.27941e-08
4.84224e-09	5.53131e-15	1.60219e-23	7.7204e-08	1.14304e-07	6.4016e-08	1.10961e-07
6.49591e-09	3.05176e-15	3.36508e-24	5.52427e-08	9.00346e-08	4.18238e-08	8.36476e-08
6.08303e-09	3.14713e-15	3.52252e-24	5.52427e-08	9.76563e-08	4.77986e-08	8.70618e-08
4.30437e-09	4.00543e-15	9.6437e-24	6.83594e-08	9.61803e-08	5.29199e-08	9.47437e-08
4.96849e-09	5.62668e-15	1.14954e-23	7.8125e-08	1.05179e-07	6.4016e-08	1.02426e-07
1.83062e-09	9.53674e-17	1.00735e-26	9.76563e-09	1.38107e-08	9.38902e-09	1.45103e-08
1.80356e-09	9.53674e-17	8.92649e-27	9.76563e-09	1.38107e-08	9.38902e-09	1.45103e-08
3.32261e-10	9.53674e-17	-5.72645e-27	9.76563e-09	1.38107e-08	9.38902e-09	1.45103e-08
5.62855e-09	9.05991e-15	3.23328e-23	1.0358e-07	1.32827e-07	9.47437e-08	1.28886e-07
6.43675e-09	3.24249e-15	3.80601e-24	5.52427e-08	9.76563e-08	4.86522e-08	8.62082e-08
4.88968e-09	6.19888e-15	1.49102e-23	6.83594e-08	1.14304e-07	6.82838e-08	1.11815e-07
6.18151e-09	4.29153e-15	5.60005e-24	6.90534e-08	1.00543e-07	5.03593e-08	9.55973e-08
4.8485e-09	6.10352e-15	1.64843e-23	7.8125e-08	1.05179e-07	7.85263e-08	1.01572e-07
3.89522e-09	3.8147e-15	6.54141e-24	5.85938e-08	9.21287e-08	5.63341e-08	8.87689e-08
3.21733e-09	3.43323e-15	5.19115e-24	5.85938e-08	8.34375e-08	5.29199e-08	8.1087e-08
3.4156e-09	5.24521e-15	1.03159e-23	6.83594e-08	1.09183e-07	6.31625e-08	1.0584e-07
2.8205e-09	2.09808e-15	2.6054e-24	4.88281e-08	6.25305e-08	4.18238e-08	5.71876e-08
6.6676e-09	7.53403e-15	2.39934e-23	8.78906e-08	1.17998e-07	8.27941e-08	1.14375e-07
2.56477e-09	1.90735e-16	9.75951e-26	9.76563e-09	2.18366e-08	9.38902e-09	2.13387e-08
4.32601e-09	5.05447e-15	1.21301e-23	7.8125e-08	9.76563e-08	6.91373e-08	9.0476e-08
7.37169e-09	7.53403e-15	2.59453e-23	9.66748e-08	1.13886e-07	8.62082e-08	1.06693e-07
7.10966e-09	7.53403e-15	3.06962e-23	9.66748e-08	1.14304e-07	8.96224e-08	1.10961e-07
4.94542e-09	8.01086e-15	2.68961e-23	9.76563e-08	1.25061e-07	8.87689e-08	1.19497e-07
5.50287e-09	9.25064e-15	3.41559e-23	1.07422e-07	1.27328e-07	9.55973e-08	1.24618e-07
6.35355e-09	8.29697e-15	2.90534e-23	9.66748e-08	1.3102e-07	8.62082e-08	1.26325e-07
4.68461e-09	3.43323e-15	8.32667e-24	6.83594e-08	8.05294e-08	5.71876e-08	7.85263e-08
4.11179e-09	3.91006e-15	8.47784e-24	6.55098e-08	8.73464e-08	5.12128e-08	8.02334e-08
5.9011e-09	8.67844e-15	2.54011e-23	9.76563e-08	1.23526e-07	8.53547e-08	1.18643e-07
4.65351e-09	7.72476e-15	2.14873e-23	8.78906e-08	1.23526e-07	7.85263e-08	1.21204e-07
6.56287e-09	3.62396e-15	3.9908e-24	5.52427e-08	1.05179e-07	4.86522e-08	9.90114e-08
6.54757e-09	8.4877e-15	2.95002e-23	9.76563e-08	1.27328e-07	8.79153e-08	1.22911e-07
3.77422e-09	4.1008e-15	8.84481e-24	6.83594e-08	8.73464e-08	5.4627e-08	8.45011e-08
6.12e-09	3.91006e-15	6.63772e-24	6.21481e-08	9.76563e-08	5.4627e-08	8.96224e-08
3.76573e-09	4.1008e-15	9.00977e-24	6.48514e-08	9.61803e-08	5.29199e-08	9.13295e-08
6.70798e-09	8.86917e-15	3.56644e-23	8.78906e-08	1.32827e-07	8.79153e-08	1.28032e-07
6.15326e-09	8.96454e-15	2.75611e-23	9.76563e-08	1.28447e-07	9.13295e-08	1.24618e-07
8.17175e-09	1.08719e-14	4.12405e-23	1.07422e-07	1.36019e-07	1.0584e-07	1.31446e-07
4.51283e-09	4.673e-15	1.1717e-23	6.83594e-08	9.61803e-08	6.06018e-08	9.0476e-08
5.00725e-09	5.91278e-15	1.64077e-23	7.8125e-08	1.05179e-07	7.3405e-08	1.02426e-07
3.72313e-09	2.00272e-15	3.38969e-24	3.90625e-08	6.55098e-08	3.92632e-08	6.06018e-08
2.77715e-09	1.52588e-15	1.65823e-24	3.90625e-08	5.69429e-08	3.32883e-08	5.29199e-08
7.03794e-09	8.39233e-15	2.85241e-23	9.76563e-08	1.19205e-07	8.96224e-08	1.12668e-07
3.70759e-09	2.67029e-15	5.48172e-24	5.67752e-08	7.04209e-08	4.5238e-08	6.74302e-08
4.44449e-09	7.72476e-15	2.31754e-23	9.6081e-08	1.19205e-07	8.53547e-08	1.12668e-07
4.83151e-09	5.14984e-15	1.18717e-23	6.83594e-08	1.05631e-07	6.82838e-08	1.01572e-07
3.5221e-09	4.86374e-15	8.8061e-24	6.83594e-08	1.05631e-07	5.80412e-08	1.01572e-07
3.30817e-09	2.19345e-15	3.58794e-24	4.83374e-08	7.04209e-08	3.84096e-08	6.48696e-08
4.00374e-09	5.91278e-15	1.33713e-23	7.8125e-08	1.09183e-07	6.82838e-08	1.04986e-07
7.5785e-09	1.06812e-14	3.98066e-23	1.07422e-07	1.32827e-07	1.07547e-07	1.24618e-07
5.23741e-09	3.24249e-15	4.64191e-24	5.52427e-08	9.66748e-08	4.5238e-08	8.45011e-08
4.99301e-09	3.43323e-15	5.87333e-24	5.52427e-08	1.00543e-07	4.18238e-08	9.55973e-08
5.73169e-09	9.72748e-15	3.51745e-23	1.0358e-07	1.38107e-07	9.55973e-08	1.38275e-07
4.2302e-09	5.81741e-15	1.4057e-23	8.64685e-08	1.00543e-07	7.08444e-08	9.47437e-08
4.26384e-09	4.95911e-15	1.02133e-23	6.83594e-08	9.61803e-08	6.82838e-08	9.0476e-08
5.37706e-09	9.34601e-15	3.08945e-23	9.88212e-08	1.40842e-07	8.79153e-08	1.35714e-07
5.40948e-09	6.86646e-15	1.94284e-23	8.78906e-08	1.09183e-07	8.02334e-08	1.0584e-07
6.03644e-09	8.10623e-15	3.14183e-23	9.76563e-08	1.13886e-07	9.0476e-08	1.12668e-07
5.96789e-09	6.29425e-15	1.73498e-23	8.78906e-08	1.05179e-07	8.1087e-08	1.00719e-07
