#	z_max	r_eq	V_L
2.08926e-08	3.52791e-08	3.34516e-23
1.18575e-08	2.27169e-08	8.01962e-24
3.85787e-09	2.80939e-08	6.66935e-24
4.19118e-09	2.75483e-08	7.86081e-24
1.15907e-08	3.06765e-08	1.5048e-23
4.75679e-09	3.25956e-08	8.43946e-24
6.80681e-09	3.73684e-08	1.41751e-23
8.53112e-09	3.39638e-08	1.35531e-23
5.99511e-09	3.81721e-08	1.49739e-23
4.08475e-09	2.96704e-08	5.80302e-24
4.13684e-09	2.58426e-08	4.75899e-24
5.81876e-09	4.44203e-08	1.80572e-23
1.57546e-08	3.6547e-08	1.9694e-23
1.57461e-08	2.20387e-08	6.15169e-24
1.74448e-08	3.52791e-08	1.76111e-23
6.37336e-09	3.6547e-08	1.23569e-23
4.10094e-09	2.75483e-08	4.93757e-24
4.50839e-09	3.93469e-08	1.14208e-23
3.33073e-09	1.45772e-08	8.91445e-25
3.02082e-09	1.6529e-08	1.24085e-24
2.59241e-09	1.34959e-08	4.96819e-25
2.4139e-09	9.54302e-09	1.92107e-25
8.49135e-09	2.96704e-08	9.00139e-24
3.4813e-09	2.27169e-08	3.0875e-24
4.49168e-09	3.52791e-08	1.01942e-23
3.05244e-09	1.55837e-08	1.33728e-24
6.99803e-09	4.19604e-08	1.96294e-23
3.94157e-09	2.91544e-08	5.51169e-24
3.36383e-09	2.464e-08	4.01512e-24
4.76271e-09	1.232e-08	1.61237e-24
1.4071e-08	3.89592e-08	2.54681e-23
5.69239e-09	2.75483e-08	6.67075e-24
8.4286e-09	3.3058e-08	1.17696e-23
1.35936e-08	3.57067e-08	1.57225e-23
5.08611e-09	4.47607e-08	1.78046e-23
2.21909e-08	4.40773e-08	3.65112e-23
1.36258e-08	4.04876e-08	2.41084e-23
5.67831e-09	3.21266e-08	9.6866e-24
6.64268e-09	5.01954e-08	3.00868e-23
2.71806e-09	1.6529e-08	1.06274e-24
7.55822e-09	4.92799e-08	3.09342e-23
1.10538e-08	4.64253e-08	2.85214e-23
4.99441e-09	3.16506e-08	7.90011e-24
1.33518e-08	4.70746e-08	3.93628e-23
3.3933e-09	2.80939e-08	6.13457e-24
3.71012e-09	1.45772e-08	1.09232e-24
7.21711e-09	5.10945e-08	3.5685e-23
1.39879e-09	1.6529e-08	1.4936e-25
1.26316e-08	3.81721e-08	2.21639e-23
3.58246e-09	1.232e-08	8.15166e-25
6.99235e-09	4.57667e-08	2.46165e-23
4.87859e-09	3.01777e-08	6.52963e-24
3.01635e-09	1.98654e-08	2.33121e-24
3.23621e-09	1.9086e-08	1.59333e-24
4.20682e-09	3.25956e-08	7.70758e-24
1.93488e-09	7.79184e-09	4.56114e-26
5.40436e-09	3.52791e-08	1.13288e-23
1.31846e-08	3.73684e-08	1.94073e-23
3.53612e-09	2.80939e-08	3.7162e-24
6.44685e-09	2.75483e-08	8.7284e-24
1.08294e-08	3.97308e-08	2.09229e-23
7.01026e-09	3.77724e-08	1.68022e-23
3.15601e-09	3.06765e-08	6.89272e-24
4.14054e-09	2.58426e-08	3.75614e-24
1.59375e-08	3.52791e-08	1.99397e-23
3.55191e-09	2.58426e-08	4.70117e-24
6.66637e-09	3.01777e-08	8.22551e-24
7.78592e-09	3.61293e-08	1.42473e-23
3.14439e-09	1.55837e-08	1.16487e-24
4.07539e-09	3.11674e-08	6.60407e-24
3.74416e-09	2.464e-08	3.948e-24
1.87695e-09	7.79184e-09	4.52859e-26
5.27187e-09	4.0111e-08	1.37703e-23
4.54423e-09	3.93469e-08	1.32456e-23
4.00712e-09	3.3058e-08	6.59597e-24
4.01665e-09	2.33755e-08	4.08737e-24
8.39797e-09	3.77724e-08	1.6601e-23
1.65908e-08	4.33831e-08	2.51088e-23
2.79629e-09	1.45772e-08	8.63307e-25
3.95924e-09	3.93469e-08	1.3002e-23
1.08852e-08	3.85676e-08	1.63205e-23
3.84044e-09	2.58426e-08	4.50794e-24
6.66807e-09	3.3058e-08	9.63385e-24
6.66473e-09	3.11674e-08	8.50547e-24
1.37932e-08	3.52791e-08	1.46287e-23
1.41341e-08	5.56449e-08	6.63776e-23
4.58797e-09	2.86291e-08	6.45688e-24
7.66355e-09	3.89592e-08	1.89828e-23
3.41417e-09	1.6529e-08	1.09751e-24
2.70503e-09	1.10193e-08	5.8734e-25
1.13012e-08	3.61293e-08	1.51896e-23
1.01057e-08	3.85676e-08	1.78379e-23
9.25059e-09	4.26777e-08	2.37369e-23
2.60418e-09	5.50966e-09	5.25085e-26
2.2028e-09	5.50966e-09	2.65524e-26
4.14606e-09	2.27169e-08	3.84215e-24
7.79288e-09	4.12305e-08	1.76458e-23
4.44416e-09	2.69917e-08	5.82504e-24
9.8223e-09	4.15971e-08	2.08492e-23
3.106e-09	2.27169e-08	2.73201e-24
7.15531e-09	4.80321e-08	2.83597e-23
1.53517e-08	3.01777e-08	1.21172e-23
3.89414e-09	3.01777e-08	5.85587e-24
1.06185e-08	3.39638e-08	1.55825e-23
3.72464e-09	2.40161e-08	2.6504e-24
2.55759e-09	1.6529e-08	1.19983e-24
8.49486e-09	3.57067e-08	1.57431e-23
5.04562e-09	3.06765e-08	7.64112e-24
9.36824e-09	3.57067e-08	1.45538e-23
4.44781e-09	2.464e-08	3.74982e-24
4.3359e-09	3.16506e-08	6.58367e-24
3.17563e-09	1.6529e-08	1.42723e-24
9.43039e-09	3.3058e-08	1.30489e-23
1.43612e-08	4.0111e-08	2.49197e-23
1.1226e-08	3.06765e-08	1.04271e-23
9.62346e-09	3.6547e-08	1.73169e-23
1.84277e-08	3.6547e-08	2.19016e-23
3.81671e-09	3.01777e-08	7.55059e-24
8.15362e-09	3.39638e-08	1.03171e-23
1.41945e-08	3.3514e-08	1.23834e-23
3.97767e-09	3.39638e-08	8.36227e-24
4.03149e-09	3.3514e-08	9.18763e-24
4.07638e-09	3.01777e-08	6.48281e-24
1.36554e-08	4.0111e-08	2.4169e-23
