#	z_max	r_eq	V_L
3.36872e-09	1.34959e-08	9.89677e-25
6.96816e-09	2.52485e-08	7.14312e-24
5.85823e-09	3.44078e-08	1.11062e-23
1.00079e-08	1.6529e-08	2.58288e-24
5.34864e-09	3.11674e-08	9.49168e-24
3.59119e-09	2.96704e-08	6.29609e-24
4.63652e-09	2.06153e-08	3.47376e-24
8.92514e-09	1.45772e-08	2.24237e-24
6.76808e-09	3.52791e-08	1.16589e-23
3.79956e-09	1.74231e-08	1.90579e-24
6.23951e-09	3.48462e-08	1.1422e-23
4.48687e-09	1.82735e-08	2.36398e-24
7.51512e-09	2.06153e-08	3.86045e-24
5.42078e-09	3.01777e-08	8.14758e-24
1.34977e-08	5.19781e-08	3.76127e-23
4.54093e-09	2.52485e-08	5.15026e-24
5.81931e-09	3.39638e-08	1.06339e-23
4.57883e-09	2.64234e-08	6.2497e-24
4.93219e-09	3.16506e-08	8.66199e-24
4.60227e-09	2.52485e-08	4.76519e-24
9.14209e-09	3.97308e-08	1.74666e-23
5.1657e-09	2.52485e-08	3.72072e-24
4.82163e-09	3.3058e-08	6.25501e-24
1.15332e-08	3.57067e-08	1.48379e-23
5.22119e-09	2.40161e-08	3.58217e-24
6.23261e-09	3.11674e-08	7.95229e-24
6.20947e-09	3.25956e-08	1.00573e-23
5.73062e-09	2.58426e-08	5.83477e-24
9.93078e-09	3.85676e-08	1.67967e-23
3.48705e-09	1.6529e-08	1.49497e-24
8.17868e-09	3.01777e-08	7.85902e-24
4.58948e-09	3.3058e-08	8.83291e-24
4.4895e-09	2.69917e-08	5.6397e-24
4.42177e-09	2.464e-08	4.1776e-24
4.84268e-09	3.01777e-08	8.30998e-24
5.74931e-09	2.27169e-08	4.67606e-24
3.30956e-09	1.6529e-08	1.32711e-24
1.43367e-08	3.61293e-08	1.66031e-23
5.84071e-09	2.86291e-08	7.2068e-24
2.9282e-09	7.79184e-09	6.00637e-26
5.73622e-09	3.06765e-08	8.0001e-24
3.63251e-09	1.34959e-08	9.78388e-25
6.94167e-09	3.39638e-08	1.14798e-23
7.41954e-09	3.11674e-08	8.41128e-24
1.5646e-08	4.30319e-08	2.31622e-23
4.36399e-09	2.91544e-08	6.87634e-24
5.83169e-09	2.69917e-08	6.08782e-24
6.59274e-09	2.27169e-08	3.72308e-24
3.12086e-09	1.232e-08	5.92909e-25
6.44675e-09	3.93469e-08	1.3475e-23
5.31373e-09	2.52485e-08	5.10293e-24
1.44988e-08	3.3058e-08	1.41426e-23
5.25403e-09	3.61293e-08	1.22421e-23
7.02199e-09	2.91544e-08	7.85505e-24
8.53042e-09	3.16506e-08	9.87992e-24
1.00063e-08	3.21266e-08	9.72777e-24
5.07296e-09	3.39638e-08	7.71333e-24
6.66057e-09	3.25956e-08	8.84316e-24
6.85308e-09	3.3514e-08	9.77262e-24
1.98042e-08	6.06063e-08	9.53063e-23
6.64113e-09	2.69917e-08	7.54079e-24
8.08852e-09	3.61293e-08	1.30743e-23
3.67742e-09	1.74231e-08	1.58595e-24
4.28375e-09	1.55837e-08	1.23481e-24
9.19112e-09	3.61293e-08	1.12105e-23
9.62001e-09	3.06765e-08	1.06802e-23
1.93393e-09	5.50966e-09	5.29438e-26
6.98649e-09	2.58426e-08	5.26772e-24
3.73266e-09	1.34959e-08	5.63537e-25
2.32978e-09	5.50966e-09	6.59093e-27
1.28044e-08	3.3058e-08	1.13961e-23
3.44882e-09	1.82735e-08	1.90744e-24
-3.83131e-10	5.50966e-09	-7.73537e-26
1.36712e-08	4.47607e-08	1.94384e-23
8.48467e-09	2.80939e-08	7.86254e-24
8.23598e-09	2.75483e-08	5.77743e-24
7.97324e-09	4.23205e-08	2.11259e-23
6.93693e-09	2.75483e-08	6.12912e-24
4.48363e-09	2.40161e-08	4.42598e-24
4.35572e-09	3.25956e-08	8.90316e-24
5.61432e-09	2.91544e-08	6.01689e-24
5.59994e-09	2.91544e-08	7.41524e-24
5.14388e-09	1.9086e-08	2.29001e-24
1.32015e-08	3.48462e-08	1.35951e-23
4.18376e-09	1.9086e-08	3.06906e-24
6.82947e-09	3.57067e-08	1.42329e-23
5.74142e-09	2.27169e-08	4.49802e-24
9.23921e-09	2.96704e-08	8.47963e-24
5.53261e-09	3.3058e-08	9.01234e-24
1.28231e-08	3.81721e-08	1.69476e-23
9.51484e-09	3.61293e-08	1.18203e-23
1.00071e-08	3.16506e-08	9.00933e-24
3.16559e-09	1.232e-08	5.39054e-25
7.55165e-09	2.58426e-08	6.33371e-24
4.15592e-09	2.06153e-08	3.57632e-24
8.0701e-09	3.61293e-08	1.36193e-23
