#	z_max	A_0	V_L	D_min	D_max	M_min	M_max
4.85035e-09	3.8147e-16	6.83329e-25	1.95312e-08	2.76214e-08	1.96316e-08	2.8167e-08
8.58748e-09	1.33514e-15	6.61879e-24	2.92969e-08	7.10948e-08	2.30458e-08	7.08444e-08
1.0712e-08	3.8147e-16	2.21634e-24	9.76562e-09	4.02647e-08	9.38902e-09	4.01167e-08
6.47827e-09	2.00272e-15	6.92374e-24	4.83374e-08	6.25305e-08	3.75561e-08	6.14554e-08
5.04694e-09	2.09808e-15	4.84937e-24	3.90625e-08	6.55098e-08	3.84096e-08	6.14554e-08
6.00428e-09	1.04904e-15	3.15728e-24	2.92969e-08	4.88281e-08	2.98741e-08	4.69451e-08
1.00842e-08	3.8147e-16	1.96109e-24	9.76562e-09	4.02647e-08	9.38902e-09	4.01167e-08
4.79846e-09	5.72205e-16	1.1053e-24	1.95312e-08	3.52105e-08	1.96316e-08	3.32883e-08
5.80586e-09	7.62939e-16	1.99493e-24	2.92969e-08	4.1432e-08	2.8167e-08	4.18238e-08
6.89039e-09	2.09808e-15	7.96554e-24	4.88281e-08	6.25305e-08	4.26773e-08	5.97483e-08
7.9996e-09	2.19345e-15	1.01332e-23	4.88281e-08	6.25305e-08	4.86522e-08	5.80412e-08
7.3052e-09	2.19345e-15	9.32133e-24	4.88281e-08	6.90534e-08	4.18238e-08	6.91373e-08
1.47423e-08	5.05447e-15	3.45594e-23	7.10554e-08	1.27328e-07	5.88947e-08	1.16082e-07
6.07312e-09	1.71661e-15	5.06793e-24	4.80405e-08	5.69429e-08	3.92632e-08	5.29199e-08
9.01472e-09	7.62939e-16	3.08141e-24	2.92969e-08	4.1432e-08	2.8167e-08	4.18238e-08
7.01488e-09	2.00272e-15	7.29373e-24	4.88281e-08	6.25305e-08	4.18238e-08	5.80412e-08
7.20892e-09	2.28882e-15	9.72332e-24	4.88281e-08	6.90534e-08	4.86522e-08	6.91373e-08
5.69386e-09	1.62125e-15	4.3117e-24	3.90625e-08	5.69429e-08	3.32883e-08	5.29199e-08
6.45145e-09	2.09808e-15	6.6892e-24	4.88281e-08	6.90534e-08	4.18238e-08	6.91373e-08
6.21784e-09	1.52588e-15	3.27354e-24	3.90625e-08	6.55098e-08	9.38902e-09	5.88947e-08
6.04447e-09	1.33514e-15	4.09575e-24	3.90625e-08	4.88281e-08	3.84096e-08	4.5238e-08
1.04604e-08	2.95639e-15	1.56308e-23	5.85937e-08	7.04209e-08	5.54805e-08	6.82838e-08
5.86729e-09	1.71661e-15	5.47161e-24	3.90625e-08	6.25305e-08	3.67025e-08	6.23089e-08
1.23962e-08	2.09808e-15	1.35366e-23	4.88281e-08	6.25305e-08	4.01167e-08	5.97483e-08
6.48751e-09	9.53674e-16	2.75169e-24	2.92969e-08	4.36732e-08	2.90206e-08	4.01167e-08
7.42759e-09	2.09808e-15	8.24807e-24	4.88281e-08	6.55098e-08	3.92632e-08	6.14554e-08
7.3534e-09	1.62125e-15	6.57302e-24	3.90625e-08	5.69429e-08	3.92632e-08	5.54805e-08
6.78594e-09	1.14441e-15	4.66942e-24	2.92969e-08	4.88281e-08	2.98741e-08	4.86522e-08
1.10882e-08	2.57492e-15	1.51836e-23	4.88281e-08	7.04209e-08	4.86522e-08	6.4016e-08
4.79426e-09	6.67572e-16	1.14967e-24	2.92969e-08	3.52105e-08	2.47529e-08	3.41419e-08
6.0422e-09	2.19345e-15	6.23291e-24	4.88281e-08	6.55098e-08	4.09703e-08	6.31625e-08
9.29998e-09	1.33514e-15	6.74946e-24	2.92969e-08	5.69429e-08	2.90206e-08	5.63341e-08
5.69691e-09	1.62125e-15	4.82066e-24	3.90625e-08	5.69429e-08	3.75561e-08	5.29199e-08
5.41323e-09	1.23978e-15	3.21405e-24	3.90625e-08	4.88281e-08	2.98741e-08	4.69451e-08
6.3216e-09	2.19345e-15	6.7341e-24	4.88281e-08	6.55098e-08	4.5238e-08	6.31625e-08
5.05729e-09	7.62939e-16	1.55267e-24	1.95312e-08	4.36732e-08	1.96316e-08	4.18238e-08
7.25389e-09	1.14441e-15	4.33646e-24	2.92969e-08	4.88281e-08	2.98741e-08	4.86522e-08
4.15645e-09	3.8147e-16	2.47686e-25	1.95312e-08	3.08816e-08	1.96316e-08	2.98741e-08
4.20912e-09	4.76837e-16	4.92613e-25	1.95312e-08	3.52105e-08	1.96316e-08	3.32883e-08
1.5424e-08	2.00272e-15	1.50042e-23	4.88281e-08	6.25305e-08	4.43844e-08	5.80412e-08
6.9465e-09	1.43051e-15	5.36245e-24	3.90625e-08	5.52427e-08	3.92632e-08	5.54805e-08
7.10548e-09	1.90735e-15	7.17823e-24	3.90625e-08	6.55098e-08	3.92632e-08	6.06018e-08
8.25289e-09	2.28882e-15	9.72066e-24	4.88281e-08	7.04209e-08	4.01167e-08	6.74302e-08
1.72272e-08	2.95639e-15	2.22774e-23	5.85937e-08	7.10948e-08	5.29199e-08	6.91373e-08
5.63781e-09	2.00272e-15	6.16424e-24	4.88281e-08	6.25305e-08	4.18238e-08	5.80412e-08
7.10345e-09	1.52588e-15	5.56973e-24	3.90625e-08	5.69429e-08	3.67025e-08	5.63341e-08
8.48707e-09	1.62125e-15	7.69698e-24	3.90625e-08	5.69429e-08	3.75561e-08	5.29199e-08
4.40685e-09	5.72205e-16	9.1275e-25	1.95312e-08	3.52105e-08	1.96316e-08	3.32883e-08
7.85257e-09	8.58307e-16	3.19269e-24	2.92969e-08	4.1432e-08	2.98741e-08	4.18238e-08
7.86545e-09	3.62396e-15	1.31959e-23	4.88281e-08	9.61803e-08	4.5238e-08	9.13295e-08
6.50305e-09	1.43051e-15	5.22835e-24	3.90625e-08	5.52427e-08	3.92632e-08	5.54805e-08
6.19062e-09	2.28882e-15	7.87812e-24	4.88281e-08	6.90534e-08	4.86522e-08	6.91373e-08
1.58198e-08	1.90735e-15	1.31767e-23	3.90625e-08	6.17632e-08	3.84096e-08	6.06018e-08
8.24927e-09	1.43051e-15	6.72542e-24	2.92969e-08	5.69429e-08	2.98741e-08	5.71876e-08
9.61704e-09	1.90735e-15	8.64491e-24	4.88281e-08	5.69429e-08	4.09703e-08	5.54805e-08
6.26325e-09	1.71661e-15	5.8733e-24	3.90625e-08	6.25305e-08	3.67025e-08	6.23089e-08
1.07648e-08	1.62125e-15	8.6693e-24	3.90625e-08	5.69429e-08	3.75561e-08	5.29199e-08
7.63348e-09	1.43051e-15	6.55356e-24	2.92969e-08	5.69429e-08	2.98741e-08	5.71876e-08
5.03386e-09	3.8147e-16	5.66737e-25	1.95312e-08	3.08816e-08	1.96316e-08	2.98741e-08
7.80705e-09	2.09808e-15	8.45655e-24	4.88281e-08	6.25305e-08	4.18238e-08	5.71876e-08
5.06463e-09	1.04904e-15	2.07395e-24	3.90625e-08	4.36732e-08	2.90206e-08	4.26773e-08
2.22024e-08	8.29697e-15	9.59861e-23	9.76562e-08	1.31383e-07	8.79153e-08	1.24618e-07
8.25879e-09	1.52588e-15	7.0981e-24	3.90625e-08	5.52427e-08	3.84096e-08	5.54805e-08
5.52518e-09	1.81198e-15	3.76032e-24	4.1432e-08	8.28641e-08	2.38993e-08	7.59657e-08
9.61876e-09	2.47955e-15	1.22369e-23	4.88281e-08	6.55098e-08	4.86522e-08	6.4016e-08
1.06131e-08	2.09808e-15	1.01154e-23	4.88281e-08	6.55098e-08	3.92632e-08	6.4016e-08
1.12308e-08	1.90735e-15	1.03204e-23	4.88281e-08	5.69429e-08	4.09703e-08	5.54805e-08
