 ,Area,StdDev,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,0.0011,0,0.1904,1.1978,0.0022,0.0854,0.0157,0.0924,0.0150,177.3728,0.3764,0.0865,533,1,171.0274,0.0157,6.1750,0.1619,0.9307
2,0.0016,0,0.1550,1.9146,0.0022,0.0517,0.0337,0.0549,0.0375,3.3662,0.8453,0.0573,852,14,25.5600,0.0337,1.4627,0.6837,0.9697
3,0.0020,0,0.1688,3.1955,0.0292,0.0494,0.0494,0.0518,0.0501,49.9090,0.8976,0.0586,1422,32,32.4712,0.0494,1.0341,0.9671,0.9460
4,0.0021,0,0.1701,1.5079,0.0382,0.0539,0.0449,0.0570,0.0469,162.5029,0.9123,0.0611,672,19,143.9726,0.0449,1.2167,0.8219,0.9596
5,0.0055,0,0.2804,0.0944,0.0787,0.0809,0.0764,0.0853,0.0820,12.0549,0.8783,0.0967,43,64,35.5377,0.0764,1.0409,0.9607,0.9663
6,0.0018,0,0.1579,0.6787,0.0787,0.0494,0.0427,0.0506,0.0445,8.4617,0.8904,0.0549,303,52,34.9920,0.0427,1.1357,0.8805,0.9421
7,0.0012,0,0.1460,0.0022,0.0809,0.0270,0.0539,0.0594,0.0266,87.4435,0.7323,0.0568,1,36,108.4349,0.0270,2.2309,0.4482,0.9535
8,0.0029,0,0.1989,3.0539,0.0966,0.0562,0.0584,0.0636,0.0575,61.5394,0.9124,0.0706,1359,65,37.2348,0.0557,1.1070,0.9034,0.9628
9,0.0025,0,0.2023,1.3236,0.1011,0.0629,0.0449,0.0672,0.0471,179.7946,0.7626,0.0736,589,64,31.2637,0.0449,1.4281,0.7002,0.9292
10,0.0020,0,0.1669,2.0607,0.1393,0.0539,0.0427,0.0566,0.0457,175.8021,0.9155,0.0586,918,64,147.5288,0.0427,1.2373,0.8082,0.9617
11,0.0008,0,0.1066,1.7236,0.1528,0.0292,0.0337,0.0340,0.0284,110.4036,0.8370,0.0387,768,69,125.5377,0.0292,1.1959,0.8362,0.9009
12,0.0015,0,0.1495,0.9640,0.1708,0.0539,0.0360,0.0552,0.0352,166.2032,0.8575,0.0556,429,82,165.9638,0.0350,1.5702,0.6369,0.9321
13,0.0068,0,0.3142,2.6674,0.1888,0.0921,0.0854,0.0990,0.0874,155.2953,0.8643,0.1113,1190,85,133.3634,0.0832,1.1333,0.8824,0.9645
14,0.0015,0,0.1439,0.6427,0.2000,0.0427,0.0404,0.0458,0.0425,158.1941,0.9284,0.0509,287,90,131.4237,0.0404,1.0780,0.9276,0.9604
15,0.0008,0,0.1056,2.3798,0.2449,0.0315,0.0292,0.0350,0.0300,167.9761,0.9284,0.0387,1059,111,144.4623,0.0292,1.1657,0.8579,0.9588
16,0.0020,0,0.1741,0.7843,0.2607,0.0607,0.0382,0.0633,0.0411,177.4559,0.8462,0.0633,349,128,16.5044,0.0382,1.5413,0.6488,0.9573
17,0.0023,0,0.1830,1.5775,0.2831,0.0517,0.0494,0.0554,0.0520,9.8552,0.8485,0.0656,702,146,38.0470,0.0492,1.0673,0.9369,0.9432
18,0.0028,0,0.1997,1.9056,0.2831,0.0607,0.0517,0.0647,0.0549,174.1020,0.8799,0.0698,848,146,33.1785,0.0517,1.1786,0.8485,0.9592
19,0.0017,0,0.1542,0.8427,0.3011,0.0382,0.0494,0.0520,0.0410,78.1750,0.8858,0.0562,376,154,53.1301,0.0382,1.2678,0.7887,0.9637
20,0.0019,0,0.1598,1.1371,0.3034,0.0449,0.0494,0.0523,0.0451,87.4643,0.9120,0.0544,508,155,51.7098,0.0445,1.1580,0.8636,0.9459
21,0.0016,0,0.1516,2.2809,0.3416,0.0472,0.0404,0.0492,0.0426,171.0385,0.9003,0.0530,1016,154,143.6156,0.0404,1.1540,0.8666,0.9491
22,0.0017,0,0.1542,1.3213,0.3573,0.0494,0.0382,0.0514,0.0418,3.1458,0.8912,0.0555,588,174,31.7595,0.0382,1.2304,0.8128,0.9584
23,0.0016,0,0.1534,1.4494,0.3753,0.0517,0.0360,0.0539,0.0378,178.5372,0.8543,0.0547,645,181,19.1790,0.0360,1.4270,0.7008,0.9463
24,0.0006,0,0.0894,3.2067,0.3753,0.0270,0.0270,0.0289,0.0280,56.3798,0.9996,0.0319,1427,177,39.2894,0.0270,1.0307,0.9702,0.9545
25,0.0023,0,0.1804,2.3843,0.3933,0.0472,0.0562,0.0594,0.0494,75.1381,0.8910,0.0643,1063,199,53.5308,0.0472,1.2024,0.8317,0.9551
26,0.0028,0,0.2047,3.2270,0.4135,0.0674,0.0494,0.0695,0.0517,176.5764,0.8462,0.0735,1436,202,23.4287,0.0493,1.3457,0.7431,0.9499
27,0.0036,0,0.2349,0.1326,0.4180,0.0809,0.0517,0.0871,0.0528,176.0682,0.8224,0.0853,59,202,18.4349,0.0505,1.6517,0.6055,0.9584
28,0.0018,0,0.1574,1.2067,0.4292,0.0449,0.0449,0.0494,0.0462,144.1152,0.9093,0.0556,538,192,133.3634,0.0449,1.0712,0.9335,0.9595
29,0.0014,0,0.1368,1.5955,0.4427,0.0382,0.0427,0.0450,0.0397,81.6348,0.9429,0.0468,712,198,125.2176,0.0382,1.1335,0.8823,0.9537
30,0.0024,0,0.1823,2.1461,0.4831,0.0539,0.0517,0.0582,0.0535,14.9264,0.9244,0.0643,956,235,36.4692,0.0517,1.0884,0.9188,0.9632
31,0.0007,0,0.1175,0.6157,0.5011,0.0247,0.0404,0.0416,0.0212,84.8074,0.6298,0.0420,278,223,105.5241,0.0247,1.9681,0.5081,0.8035
32,0.0018,0,0.1696,0.8876,0.5079,0.0607,0.0360,0.0645,0.0364,176.4840,0.8056,0.0627,395,237,14.5345,0.0352,1.7721,0.5643,0.9383
33,0.0011,0,0.1246,1.6899,0.5326,0.0382,0.0360,0.0407,0.0356,40.6380,0.9194,0.0455,752,250,32.9052,0.0360,1.1423,0.8754,0.9395
34,0.0035,0,0.2278,0.3506,0.5461,0.0787,0.0517,0.0844,0.0532,176.0474,0.8551,0.0824,156,259,17.4472,0.0517,1.5851,0.6309,0.9641
35,0.0012,0,0.1299,1.9843,0.5618,0.0382,0.0360,0.0398,0.0372,165.1566,0.8652,0.0461,884,250,133.0251,0.0358,1.0704,0.9343,0.9293
36,0.0013,0,0.1376,0.2562,0.5663,0.0337,0.0449,0.0475,0.0352,85.1737,0.8720,0.0486,115,270,56.3099,0.0337,1.3516,0.7399,0.9489
37,0.0012,0,0.1254,3.2472,0.5820,0.0382,0.0337,0.0415,0.0356,10.6034,0.9283,0.0468,1445,272,35.2176,0.0337,1.1644,0.8588,0.9644
