#	z_max	A_0	V_L	D_min	D_max	M_min	M_max
4.05491e-09	2.47955e-15	6.10893e-24	3.90625e-08	7.43728e-08	3.92632e-08	7.08444e-08
7.15867e-09	2.28882e-15	1.10629e-23	2.92969e-08	9.00346e-08	2.90206e-08	8.87689e-08
3.75568e-09	1.33514e-15	2.74746e-24	2.92969e-08	5.69429e-08	2.90206e-08	5.63341e-08
3.20106e-09	1.71661e-15	3.18192e-24	2.92969e-08	7.10948e-08	2.98741e-08	6.91373e-08
2.75988e-09	1.14441e-15	1.40874e-24	3.90625e-08	4.88281e-08	3.07277e-08	4.5238e-08
3.67784e-09	1.90735e-15	3.90646e-24	2.92969e-08	8.05294e-08	2.90206e-08	7.93799e-08
3.20868e-09	1.14441e-15	2.1475e-24	1.95312e-08	7.8733e-08	1.96316e-08	7.76728e-08
4.27774e-09	2.09808e-15	4.25472e-24	4.88281e-08	6.17632e-08	4.18238e-08	5.88947e-08
4.12126e-09	2.00272e-15	2.38557e-24	4.88281e-08	6.25305e-08	4.18238e-08	5.80412e-08
4.04055e-09	1.81198e-15	2.80028e-24	4.80405e-08	6.25305e-08	3.84096e-08	6.14554e-08
2.94126e-09	1.33514e-15	1.3171e-24	3.90625e-08	5.25895e-08	3.32883e-08	5.03593e-08
2.81389e-09	6.67572e-16	7.57031e-25	1.95312e-08	4.36732e-08	1.96316e-08	4.26773e-08
3.17303e-09	9.53674e-16	1.55773e-24	2.92969e-08	4.36732e-08	2.90206e-08	4.01167e-08
7.14913e-09	4.95911e-15	1.29879e-23	7.8125e-08	9.76562e-08	5.88947e-08	9.55973e-08
3.0818e-09	1.43051e-15	1.82876e-24	3.90625e-08	5.25895e-08	3.75561e-08	5.03593e-08
4.86578e-09	5.14984e-15	1.15926e-23	5.85937e-08	1.11345e-07	5.03593e-08	1.084e-07
3.05644e-09	1.14441e-15	9.97489e-25	3.90625e-08	4.88281e-08	3.07277e-08	4.5238e-08
2.21346e-09	2.86102e-16	2.66682e-25	1.95312e-08	2.76214e-08	1.36568e-08	2.47529e-08
2.6143e-09	5.72205e-16	7.71392e-25	1.95312e-08	3.52105e-08	1.96316e-08	3.32883e-08
3.15856e-09	1.04904e-15	1.52766e-24	3.90625e-08	4.36732e-08	3.15812e-08	4.18238e-08
2.96293e-09	1.23978e-15	9.09103e-25	3.90625e-08	4.88281e-08	3.15812e-08	4.5238e-08
3.94377e-09	2.19345e-15	3.07416e-24	4.88281e-08	6.55098e-08	4.5238e-08	6.31625e-08
2.74787e-09	8.58307e-16	1.27274e-24	2.92969e-08	4.36732e-08	2.04851e-08	4.26773e-08
2.64064e-09	2.00272e-15	3.42235e-24	3.90625e-08	6.55098e-08	3.92632e-08	6.14554e-08
3.753e-09	2.86102e-15	4.42781e-24	4.88281e-08	7.43728e-08	4.86522e-08	7.3405e-08
3.60575e-09	1.43051e-15	2.16656e-24	3.90625e-08	5.9402e-08	2.98741e-08	5.97483e-08
3.55546e-09	1.71661e-15	2.01462e-24	3.90625e-08	6.25305e-08	3.92632e-08	5.80412e-08
2.83037e-09	1.33514e-15	1.70759e-24	3.90625e-08	4.88281e-08	3.84096e-08	4.5238e-08
3.22145e-09	1.23978e-15	2.2777e-24	3.90625e-08	4.88281e-08	3.15812e-08	4.5238e-08
