#	z_max	r_eq	V_L
8.24709e-09	3.48462e-08	1.292e-23
8.33262e-09	2.69917e-08	2.3339e-24
8.82513e-09	4.0111e-08	2.15805e-23
8.70672e-09	4.15971e-08	2.20659e-23
8.31661e-09	3.44078e-08	1.34988e-23
6.8899e-09	3.77724e-08	1.72587e-23
7.39696e-09	3.3514e-08	1.21778e-23
8.1013e-09	4.30319e-08	2.4084e-23
7.85506e-09	3.97308e-08	1.88911e-23
7.63623e-09	4.33831e-08	2.45202e-23
7.44586e-09	3.52791e-08	1.4368e-23
8.58499e-09	3.97308e-08	1.98031e-23
7.23774e-09	3.21266e-08	1.17054e-23
6.87348e-09	3.3514e-08	1.2836e-23
8.43453e-09	4.12305e-08	2.29498e-23
6.84486e-09	2.33755e-08	6.42489e-24
8.41072e-09	3.69599e-08	1.69865e-23
8.42105e-09	3.97308e-08	2.10287e-23
7.02303e-09	3.73684e-08	1.78396e-23
7.29935e-09	3.85676e-08	1.71751e-23
6.78172e-09	2.96704e-08	1.05513e-23
7.90287e-09	2.91544e-08	9.66814e-24
8.39296e-09	3.77724e-08	1.67704e-23
8.94919e-09	4.77151e-08	3.24581e-23
7.88278e-09	3.3058e-08	1.344e-23
7.03446e-09	2.64234e-08	8.15138e-24
9.26365e-09	4.08608e-08	2.14679e-23
7.11834e-09	3.6547e-08	1.54455e-23
8.22331e-09	4.23205e-08	1.98999e-23
7.95058e-09	3.57067e-08	1.63932e-23
9.71785e-09	4.73959e-08	2.95285e-23
7.73026e-09	3.85676e-08	1.73228e-23
9.8466e-09	4.44203e-08	3.07509e-23
7.99779e-09	3.81721e-08	1.51268e-23
7.65401e-09	3.48462e-08	1.26685e-23
8.74274e-09	3.77724e-08	1.71879e-23
7.02799e-09	3.57067e-08	1.47746e-23
8.02484e-09	4.0111e-08	2.12716e-23
8.81101e-09	3.81721e-08	2.1397e-23
1.05716e-08	3.89592e-08	2.12075e-23
8.43631e-09	3.85676e-08	1.77756e-23
8.90209e-09	4.54339e-08	2.80163e-23
7.88132e-09	4.0111e-08	2.01207e-23
9.67463e-09	4.0111e-08	2.29414e-23
6.68623e-09	2.40161e-08	4.04403e-24
9.35923e-09	5.07966e-08	3.95757e-23
8.65821e-09	3.69599e-08	1.86752e-23
7.25768e-09	3.44078e-08	1.39309e-23
7.62846e-09	3.44078e-08	1.52614e-23
6.28373e-09	1.82735e-08	3.33588e-24
8.16231e-09	3.73684e-08	1.5328e-23
5.29466e-09	1.6529e-08	-3.78185e-25
7.27331e-09	3.25956e-08	1.24906e-23
7.10143e-09	3.16506e-08	1.11669e-23
7.78856e-09	4.12305e-08	2.35305e-23
7.86903e-09	2.27169e-08	3.67474e-24
8.22441e-09	4.19604e-08	2.11312e-23
6.30489e-09	2.75483e-08	8.02791e-24
9.96662e-09	4.77151e-08	3.62689e-23
6.97977e-09	1.98654e-08	4.58365e-24
9.22883e-09	3.3058e-08	1.37621e-23
8.43191e-09	3.69599e-08	1.58506e-23
7.88626e-09	3.81721e-08	1.56764e-23
6.56091e-09	3.01777e-08	1.06405e-23
7.46586e-09	3.57067e-08	1.63829e-23
7.44982e-09	3.25956e-08	1.24982e-23
7.13832e-09	3.01777e-08	4.81623e-24
7.88245e-09	3.3058e-08	1.30296e-23
7.24965e-09	3.06765e-08	4.52149e-24
1.07961e-08	4.54339e-08	3.08136e-23
8.04892e-09	3.73684e-08	1.66372e-23
7.35196e-09	4.08608e-08	2.06526e-23
8.05407e-09	2.96704e-08	1.00677e-23
7.66733e-09	3.48462e-08	1.62895e-23
8.76679e-09	3.77724e-08	1.82448e-23
6.84204e-09	1.82735e-08	3.93208e-24
7.49823e-09	4.6751e-08	2.83997e-23
1.0063e-08	5.22693e-08	4.24921e-23
9.00895e-09	4.0111e-08	1.97114e-23
7.31516e-09	2.40161e-08	6.79376e-24
9.19819e-09	4.54339e-08	2.81117e-23
7.76494e-09	3.85676e-08	1.86033e-23
8.02011e-09	4.15971e-08	2.31976e-23
8.71317e-09	4.54339e-08	2.63004e-23
8.08277e-09	4.15971e-08	2.0868e-23
6.91245e-09	3.25956e-08	1.16454e-23
7.84692e-09	4.64253e-08	2.48623e-23
8.59719e-09	4.33831e-08	2.4815e-23
8.58445e-09	3.93469e-08	1.6699e-23
1.03798e-08	4.08608e-08	2.3972e-23
7.82351e-09	3.3514e-08	1.24221e-23
7.1948e-09	2.464e-08	6.73983e-24
8.31108e-09	4.04876e-08	2.01742e-23
8.6732e-09	4.6751e-08	2.94104e-23
8.03383e-09	4.19604e-08	2.28552e-23
1.0918e-08	4.33831e-08	2.51824e-23
8.36878e-09	3.73684e-08	1.92878e-23
7.10817e-09	3.16506e-08	1.1191e-23
7.95881e-09	4.6751e-08	2.92097e-23
7.14324e-09	2.80939e-08	9.39995e-24
9.68753e-09	4.26777e-08	2.70195e-23
7.11053e-09	3.01777e-08	1.05409e-23
8.62768e-09	3.77724e-08	1.89718e-23
8.95592e-09	3.81721e-08	1.86556e-23
6.10933e-09	4.33831e-08	2.24496e-23
8.60162e-09	4.866e-08	3.251e-23
7.57697e-09	3.3514e-08	1.34012e-23
6.97752e-09	3.44078e-08	1.37635e-23
8.88137e-09	3.97308e-08	2.07484e-23
7.41253e-09	3.57067e-08	1.28778e-23
7.89063e-09	3.21266e-08	1.0932e-23
9.2513e-09	4.19604e-08	2.44857e-23
7.74379e-09	3.16506e-08	1.20701e-23
7.43626e-09	4.6751e-08	2.70916e-23
7.9878e-09	3.97308e-08	1.90619e-23
9.40615e-09	4.44203e-08	2.33837e-23
7.19402e-09	3.44078e-08	1.23071e-23
8.04535e-09	4.19604e-08	1.95479e-23
8.2969e-09	3.61293e-08	1.43207e-23
8.20761e-09	3.93469e-08	1.77638e-23
7.5697e-09	3.25956e-08	1.12151e-23
7.97514e-09	3.93469e-08	2.07413e-23
8.60826e-09	3.85676e-08	1.86715e-23
8.03279e-09	4.33831e-08	2.5072e-23
9.18363e-09	4.6751e-08	2.96685e-23
1.00169e-08	3.39638e-08	1.24518e-23
8.47692e-09	4.04876e-08	2.09707e-23
8.34944e-09	3.89592e-08	2.02116e-23
8.24251e-09	3.61293e-08	1.53855e-23
7.66792e-09	3.3514e-08	1.46028e-23
8.75662e-09	4.40773e-08	2.94616e-23
9.61908e-09	4.50985e-08	2.91327e-23
7.94197e-09	3.77724e-08	1.73288e-23
8.68143e-09	3.61293e-08	1.79859e-23
7.52567e-09	4.0111e-08	2.26589e-23
8.66942e-09	3.93469e-08	2.25068e-23
6.95265e-09	3.57067e-08	1.35993e-23
8.78914e-09	4.54339e-08	2.96775e-23
8.1958e-09	1.74231e-08	3.91919e-24
1.01154e-08	5.10945e-08	3.79565e-23
8.13847e-09	3.93469e-08	1.73209e-23
9.83603e-09	4.92799e-08	3.28981e-23
